"state","week","state_name","freq_trump","total_negative_trump","total_tweet_trump","perc_negative_usa","total_tweet_usa","total_negative_usa","mean_sentiment","mean_usage14_15","total_pop","total_hispanic","percent_hispanic","total_chinese","percent_chinese","total_asian","percent_asian","total_under_25","total_25_44","total_45_64","total_65andover","pct_under_25","pct_25_44","pct_45_64","pct_65andover","tot_less_than_high_school","tot_high_school_grad","tot_college_associate","tot_bachelor","tot_grad_prof_degree","pct_less_than_high_school","pct_high_school_grad","pct_college_associate","pct_bachelor","pct_grad_prof_degree","unemplyment_rate","mean_HH_income","pct_below_poverty_level","election16_republicans"
"AK",1,"Alaska",0.1,2,20,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",2,"Alaska",0.162790697674419,7,43,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",3,"Alaska",0.0227272727272727,1,44,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",4,"Alaska",0.0588235294117647,3,51,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",5,"Alaska",0,0,39,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",6,"Alaska",0.0740740740740741,2,27,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",7,"Alaska",0.0666666666666667,2,30,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",8,"Alaska",0,0,27,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",9,"Alaska",0,0,33,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",10,"Alaska",0,0,28,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",11,"Alaska",0.0465116279069767,2,43,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
"AK",12,"Alaska",0,0,23,NA,NA,NA,NA,376.5,738516,51186,6.9,2381,0.3,61274,8.3,260789,211198,188101,78428,35.2,28.5,25.4,10.6,34760,133851,169471,88053,51592,7.3,28,35.5,18.4,10.8,7.4,96499,10.8," 1"
