"date","text_clean","WordCount","SentimentGI","state"
2017-04-19,"sometimes  delayed   airport     find  wall  plants ",6,-0.166666666666667,"AL"
2017-04-19,"sb187 engross criminal procedure appeals  capital punishment reduce appeal time fair justice act ",12,0.166666666666667,"AL"
2017-04-18,"stories   road  reverse commute   border  georgia  stopped  blakely ",8,0,"AL"
2017-04-18,"need custom border patterns   mosaics   ",5,-0.2,"AL"
2017-04-18,"still  pending videos  make sure  check   new videos  finessewall  ",9,0,"AL"
2017-04-18,"fish   wall simplertimes shadows  light newnan scout  tanks ",8,0,"AL"
2017-04-18,"finessewall tg  ie e   dance moves   shoutout ",4,0.25,"AL"
2017-04-17," backwardsforwards w bwaller12 finessewall tag  friends  ",5,0.2,"AL"
2017-04-17,"  jennifer coggin art  wait  get    wall ",6,-0.166666666666667,"AL"
2017-04-17,"finessewall bwaller12  litdances2017 trendingdances populardancetrends ",5,0,"AL"
2017-04-17,"woke   finessewall  bwaller12 repost  entertainment ",5,0.2,"AL"
2017-04-16,"mask  forking mask  bwaller12 finessewall repost backwardsforwards  bruhcuz ",8,0,"AL"
2017-04-16,"tophandsports tophand12u determined gavinthewallharvey gthewall thehammer76  ",6,0,"AL"
2017-04-16,"crossing  first state   way  tuskegee university al border ",7,0,"AL"
2017-04-16,"happy easter   james gang  martin lake ",6,0.166666666666667,"AL"
2017-04-16,"ll finessewall bwaller12   enjoyed  follow     ",4,0.25,"AL"
2017-04-15,"bwaller12 finessewall  brothers activity center ",5,0.2,"AL"
2017-04-15,"  enjoyed  follow      bwaller12 finessewall ",4,0.25,"AL"
2017-04-14,"owen   wall  ultimate trampoline arena ",5,0,"AL"
2017-04-14,"live  5  finessewall   bwaller12   mine  entertainment ",5,0.2,"AL"
2017-04-14,"todays special   border tater  freshly baked potato topped  cheese chili  ",10,0.2,"AL"
2017-04-14,"sb372 new unmanned aircraft systems  drones use  prohibited  certain conditions criminal penalties  ",11,-0.0909090909090909,"AL"
2017-04-14,"hb453 engross madison co beer tax proceeds distribution senior citizens prescription drug program funded ",12,-0.0833333333333333,"AL"
2017-04-13,"welcome   gang willie  wait    meet  ",5,0.2,"AL"
2017-04-12,"newest brewery   wall   michigan come try  dirty bastard rbaus pc pils  ",10,-0.2,"AL"
2017-04-12,"clay deputies make animal cruelty drug arrests ",7,-0.142857142857143,"AL"
2017-04-12,"hb498 new unmanned aircraft systems  drones use  prohibited  certain conditions criminal penalties  ",11,-0.0909090909090909,"AL"
2017-04-12,"hb497 new criminal sex offenders  age 21 sex offenses  child 12 years  age  younger surgical c ",12,-0.25,"AL"
2017-04-12,"hb203 engross schedule  controlled substances fentanyl  fentanyl analogues included criminal penalties fo ",10,-0.1,"AL"
2017-04-10,"gonna make mexico great  also ",5,0.2,"AL"
2017-04-10," know    st vincents hospital      wall ",4,0.5,"AL"
2017-04-10," know    st vincents hospital      wall ",4,0.5,"AL"
2017-04-09,"resort mexico elmo well im intrigued ",5,0.4,"AL"
2017-04-09,"    peostill tryna get moe thaygz mixtapeontheway ga border ",7,-0.142857142857143,"AL"
2017-04-08,"soccer stadiums  mexico football stadiums   us",5,0,"AL"
2017-04-08,"   throw canada  mexico   mix rio tinto gets knocked way   ladder",10,-0.4,"AL"
2017-04-08,"  looking   buyer  3086 border creek road crestview fl realestate ",7,0,"AL"
2017-04-08,"sb363 new drug tests falsification  crime established sale  synthestic urine crime established  exc ",12,0,"AL"
2017-04-07,"reaction media  bowe inc present t  hustle gang tour friday april 28th sloss ",11,-0.0909090909090909,"AL"
2017-04-07,"reaction media  bowe inc present t  hustle gang tour friday april 28th sloss ",11,-0.0909090909090909,"AL"
2017-04-07,"reaction media  bowe inc present t  hustle gang tour friday april 28th sloss ",11,-0.0909090909090909,"AL"
2017-04-07,"prom 2017   gang  york farms ",4,0,"AL"
2017-04-07,"hb466 new sports shooting ranges clarifying immunity  civil liability  criminal prosecution  operat ",11,-0.0909090909090909,"AL"
2017-04-07," auburn tigers will square    auburn tigers   annual day football game tomorrow ll win gang  say  tigers",15,0.2,"AL"
2017-04-07,"wall ball circuit song 100 shots  young dolph  birmingham ",8,0,"AL"
2017-04-06,"hb279 engross expungement  criminal records expanded  include  felony offenses subject   successful  ",10,-0.2,"AL"
2017-04-06," perfect wall accessory   dorm room  clothes pin photo holder will help  share ",12,0.25,"AL"
2017-04-05,"spotr 7 miles sw  heflin al 2117 utc  rotating wall cloudlarge wall cloud 1 mile   southwest",11,0,"AL"
2017-04-05,"barrier wall  divider cleared  65  exit 173 sr 152 northern blvd",7,-0.285714285714286,"AL"
2017-04-05,"spotr 5 miles se  alabaster al 1716 utc rotating wall cloudbroad rotation near shelby airfield",11,0,"AL"
2017-04-05,"hb453 new madison co beer tax proceeds distribution senior citizens prescription drug program funded fun ",13,-0.0769230769230769,"AL"
2017-04-05,"spotr 5 miles sw  montgomery al 1517 utc rotating wall cloudweakly rotating wall cloud near 65  blvd lowering persist",14,-0.0714285714285714,"AL"
2017-04-05,"new moderncarbine rifles   new gun wall   ms freedom modernoutfitters ",8,0,"AL"
2017-04-04," communicate    tonight   sound wall  opelika al  great ",6,0.5,"AL"
2017-04-04,"almost  good   orange wall pic  bar  kitchen ",7,0,"AL"
2017-04-03,"   wapo  first reported  story  trump threatened  invade mexico wasnt ",9,-0.222222222222222,"AL"
2017-04-03,"barrier wall  divider  65 n  exit 173 sr 152 northern blvd",6,-0.5,"AL"
2017-04-02,"conquered  first rock wall  highpointbirmingham thanks   help michaelisms ",8,0.25,"AL"
2017-04-02,"arrested   result  routine traffic stops   many drug traffickers  caught   forgot  signal",11,0,"AL"
2017-04-02,"two cups toast    gang bahamamama  sigma fraternity  university  alabama ",9,0,"AL"
2017-04-01,"see  virtual tour   listing  3086 border creek road crestview fl realestate ",9,0,"AL"
2017-03-31,"birmingham bike  eric johnson  can find   erics metal wall art  ",10,0.1,"AL"
2017-03-31,"gang    fan  atlanta athens   top five southern town atlanta  way  many people",12,0,"AL"
2017-03-29,"soitgoes yeah  last time  annexed  bunch  mexico turned  pretty well  think",11,0.0909090909090909,"AL"
2017-03-29," old gang  back together    fun unexpected night  davidson chophouse ",9,0.111111111111111,"AL"
2017-03-29,"  go easy  unfrozen caveman drug dealers  festival must  frightened  confused  ",9,0,"AL"
2017-03-29,"sneaker gang iheartnikemetcons niketraining nikemetconclub stopexercising starttraining ",7,0,"AL"
2017-03-28,"squats low  rock climbing wall high lol  trampoline park ",9,-0.111111111111111,"AL"
2017-03-28,"rustic doublesided  mobile prayer wall    prayers   city  ",7,0.142857142857143,"AL"
2017-03-26,"happy 8th birthday wally wall  glad  threw   list  prerequisites  males  ",9,0.222222222222222,"AL"
2017-03-25,"tallapoosariver near  georgiaalabama state line rivers georgia trainviews ga border ",9,0.111111111111111,"AL"
2017-03-25," coffee shop  complete without  wise words   coach hanging   wall  ",9,0.111111111111111,"AL"
2017-03-25,"process  week  focussed   14 wall handcut adhesivevinyl walldrawing ",7,0,"AL"
2017-03-25,"made  emotional seeing  girl trinidad name   wall rip guryl imu allot fly ",12,-0.0833333333333333,"AL"
2017-03-24," think    get  photo   wall madison",5,-0.2,"AL"
2017-03-23," also    deserted  imperial academy  became  criminal   needed  new name",9,-0.333333333333333,"AL"
2017-03-23,"new rock wall going  today creating  space   new pool shoemakerpools ",9,0.111111111111111,"AL"
2017-03-22,"ahh  statler brothers lesser known bside shit   wall ",8,0.125,"AL"
2017-03-20,"back   homeland alabamanotauburn dontgetittwisted ga border ",5,0.2,"AL"
2017-03-19,"   watchers   wall  martin ",3,0,"AL"
2017-03-18,"174   books     repeat  164 13 min amrap 55 deadlifts 155 55 wall ",6,0,"AL"
2017-03-17,"    way 6th grade lpatlanta choir band ga border ",6,0,"AL"
2017-03-17,"cant happen  large sum  cash  carried   drug runner  example",9,0,"AL"
2017-03-17,"  point  civil forfeiture    person arrested    actual owner   property  criminal forfeiture",10,0,"AL"
2017-03-17," makes sense though   consider   designed   used  organized crime  drug trafficking",10,0.3,"AL"
2017-03-16,"hb142 enroll criminal procedure law enforcement agencies parental consent required  use minor   confiden ",12,0.0833333333333333,"AL"
2017-03-15,"greensboro gang takeover  projecthsf   success yesterday  organized activities  ",8,0.25,"AL"
2017-03-14,"macrame wall hangings  big  year  dorm decor   great collection check    ",10,0.1,"AL"
2017-03-14,"hodges helping us setup  led wall leadingbyexample led2k17    highlands ",8,0,"AL"
2017-03-14,"mirror mirror   wall   brattiest cat   georgie    drank   ",7,0,"AL"
2017-03-14,"mirror mirror   wall   brattiest cat   georgie    drank   ",7,0,"AL"
2017-03-13," old led wall   new wall starts soon led2k17    highlands ",9,0,"AL"
2017-03-13,"watchers   wall sigma nikon nikonphoto nikonphotography ",6,0,"AL"
2017-03-11,"fantastic food  sweet quotes   wall auburn  awesome geauxtigers wareagle  ",9,0.222222222222222,"AL"
2017-03-11,"  used   two  three printed pages full    probably still   wall posters somewhere",11,0.272727272727273,"AL"
2017-03-10,"keep pushing even though  feel like  hit  brick wall ",9,0,"AL"
2017-03-10,"former cefofcentralalabama missionary working  mexico ",5,0,"AL"
2017-03-09," literal wall  doughnuts    highlands greystone campus ",6,0,"AL"
2017-03-09,"mycoplasma  smallest living cell  completely lacks  cell wall  can survive without ",11,0.181818181818182,"AL"
2017-03-08," headboard cushions  now  headboard cushions easily velcro   wall working   ",9,0,"AL"
2017-03-08,"cusa2017 sportsmanias  gangs   bjcc  arena ",5,0,"AL"
2017-03-08,"now   wall hanger vscocam  college  florida ",6,0,"AL"
2017-03-08,"hit south   border  newnan ga  show  homeboy omar  love   birthday  ",9,0,"AL"
2017-03-08," going  tonight   y come    boy    gang  ",4,0.25,"AL"
2017-03-07,"yeah  strange    people insist  hes equating european immigration  slave importation hes ",11,0.181818181818182,"AL"
2017-03-07,"announcing t troubleman31 hustle gang tour  sloss furnaces  fri 428 tickets  sale ",10,-0.1,"AL"
2017-03-06,"calling  immigrants  factually correct forced immigration  still immigration",8,0.25,"AL"
2017-03-06," probably stereotype   label    drug dealer      told   ",6,0,"AL"
2017-03-06,"headshot last   3   pinknude wall  found    ",5,0,"AL"
2017-03-06,"maybe  make america great   just meant make  internet unusable   brother mission accomplished",12,0.333333333333333,"AL"
2017-03-04," ejis museum  montgomery    imposing wall commemorating    brutally ",7,-0.142857142857143,"AL"
2017-03-03,"georgia girl     georgia border line ",5,0,"AL"
2017-03-02,"oh  places  go  always  favorite  still love   quote    wall ",7,0.285714285714286,"AL"
