"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"jessicawagner","2017-04-19 19:09","0","0","Sometimes you're delayed at the airport with @justcallmeraj, and you find a wall of plants. https://www.instagram.com/p/BTFADHbhbyN/","","@justcallmeraj","","854773947522465792","https://twitter.com/jessicawagner/status/854773947522465792"
"LegiScanAL","2017-04-19 03:56","0","0","SB187 [Engross] Criminal procedure, appeals of capital punishment, reduce appeal time, Fair Justice Act http://bitly.com/YVsCss","","","","854544219867930625","https://twitter.com/LegiScanAL/status/854544219867930625"
"SheilaBlanchett","2017-04-18 23:56","0","0","Stories From The Road: The Reverse Commute Over the border in Georgia we stopped in Blakely, https://www.instagram.com/p/BTC8I3Mlm4V/","","","","854483875661320197","https://twitter.com/SheilaBlanchett/status/854483875661320197"
"fredericlecut","2017-04-18 21:06","0","0","Need custom border patterns for your mosaics ? @MOSAICBLUES http://www.instagram.com.ln.is/FpQ17","","@MOSAICBLUES","","854441121262559242","https://twitter.com/fredericlecut/status/854441121262559242"
"NogginGalaxy","2017-04-18 05:33","0","0","Still have pending videos but make sure you check out my new videos with finesse.wall and https://www.instagram.com/p/BTA96dTDxFb/","","","","854206310421811201","https://twitter.com/NogginGalaxy/status/854206310421811201"
"shepherdfrankel","2017-04-18 00:17","0","1","fish on the wall #simplertimes #shadows & #light #newnan #scout @Caldwell Tanks https://www.instagram.com/p/BTAZuRHjlxw/","","@Caldwell","#simplertimes #shadows #light #newnan #scout","854126714657624064","https://twitter.com/shepherdfrankel/status/854126714657624064"
"NogginGalaxy","2017-04-18 00:00","0","0","finesse.wall TG  IE E Do my dance moves for a shoutout https://www.instagram.com/p/BTAXzRIjFic/","","","","854122509297385473","https://twitter.com/NogginGalaxy/status/854122509297385473"
"NogginGalaxy","2017-04-17 20:35","0","0","My #backwardsforwards w/ bwaller12 finesse.wall Tag your friends @stevierandum https://www.instagram.com/p/BTAAXWDD9lM/","","@stevierandum","#backwardsforwards","854070956469477379","https://twitter.com/NogginGalaxy/status/854070956469477379"
"gidgeblack","2017-04-17 14:03","0","0","I my Jennifer Coggin Art!!! Can't wait to get it on my wall! https://www.instagram.com/p/BS_Te7RhWlOgUFQaeG4n-Cy1XKuzRIjWkMcyG80/ ","","","","853972263556628480","https://twitter.com/gidgeblack/status/853972263556628480"
"NogginGalaxy","2017-04-17 02:53","0","0","finesse.wall bwaller12 @kingimprint litdances2017_ trendingdances populardancetrends https://www.instagram.com/p/BS-GtKLD8Mt/","","@kingimprint","","853803456682917892","https://twitter.com/NogginGalaxy/status/853803456682917892"
"NogginGalaxy","2017-04-17 02:44","0","0","Woke Up with finesse.wall and bwaller12 #Repost!! @Noggin Entertainment https://www.instagram.com/p/BS-FrB3jEfj/","","@Noggin","#Repost","853801189766553601","https://twitter.com/NogginGalaxy/status/853801189766553601"
"NogginGalaxy","2017-04-16 23:08","0","0","Mask on forking mask on bwaller12 finesse.wall #Repost #backwardsforwards #where #bruhcuz https://www.instagram.com/p/BS9tDIoD638/","","","#Repost #backwardsforwards #where #bruhcuz","853747004538855425","https://twitter.com/NogginGalaxy/status/853747004538855425"
"HeatherHHarvey2","2017-04-16 20:18","0","0","#tophandsports #tophand12u #determined #gavinthewallharvey g._the_wall the_hammer76_ @Cancer https://www.instagram.com/p/BS9ZhI_hTBH/","","@Cancer","#tophandsports #tophand12u #determined #gavinthewallharvey","853704053150199808","https://twitter.com/HeatherHHarvey2/status/853704053150199808"
"papingree","2017-04-16 19:50","0","0","Crossing our first state on our way to Tuskegee University @Ga/Al Border https://www.instagram.com/p/BS9WXnxjx3X/","","@Ga","","853697129973415936","https://twitter.com/papingree/status/853697129973415936"
"sylinahope","2017-04-16 15:40","0","0","Happy Easter from the James gang @Logan Martin Lake https://www.instagram.com/p/BS85zSUA5W5/","","@Logan","","853634305213550592","https://twitter.com/sylinahope/status/853634305213550592"
"NogginGalaxy","2017-04-16 04:42","0","1","LL finesse.wall bwaller12 If you enjoyed this Follow:     https://www.instagram.com/p/BS7ubQZDBmT/","","","","853468559053377536","https://twitter.com/NogginGalaxy/status/853468559053377536"
"NogginGalaxy","2017-04-15 17:45","0","0","bwaller12 finesse.wall @Faucett Brothers Activity Center https://www.instagram.com/p/BS6jLbyDtqt/","","@Faucett","","853303199050104832","https://twitter.com/NogginGalaxy/status/853303199050104832"
"NogginGalaxy","2017-04-15 15:21","0","0","If you enjoyed this Follow:     @noggingalaxy bwaller12 finesse.wall https://www.instagram.com/p/BS6Suf1D4kt/","","@noggingalaxy","","853266976256532480","https://twitter.com/NogginGalaxy/status/853266976256532480"
