"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"Tsvetkov13","2017-04-19 23:21","0","0","Just posted a video @Silver City, New Mexico https://www.instagram.com/p/BTFc3kdFg09/","","@Silver","","854837368645353472","https://twitter.com/Tsvetkov13/status/854837368645353472"
"PhoenixCP","2017-04-19 19:53","0","0","RV drug bust worth over $1M at Port of Lukeville http://12ne.ws/2oWfWaG","","","","854784960619716608","https://twitter.com/PhoenixCP/status/854784960619716608"
"AZCardsGirl29","2017-04-19 19:17","0","0","Lunchtime! First time here for some awesome New Mexican food! (@Richardson's Cuisine of New Mexico in Phoenix, AZ) https://www.swarmapp.com/c/lXyDAO1FVuE","","@Richardson","","854776046998171648","https://twitter.com/AZCardsGirl29/status/854776046998171648"
"onepartrobot","2017-04-19 16:40","0","0","#Lust4DustRun off to #Mexico with them @lordsofgastown boys. : @BradyMclean1313 @Hotel Congress https://www.instagram.com/p/BTEvA73h1To/","","@lordsofgastown @BradyMclean1313 @Hotel","#Lust4DustRun #Mexico","854736487505461248","https://twitter.com/onepartrobot/status/854736487505461248"
"coffeekenworld","2017-04-19 15:25","0","0","The important reason to have a good RO system. This big wall of scale is in the inlet valve of a https://www.instagram.com/p/BTEmaaplPEb/","","","","854717575862919170","https://twitter.com/coffeekenworld/status/854717575862919170"
"OMGJDH","2017-04-19 14:12","0","0","Why I don't workout anymore #Repost @mr_bowelwidth  () @Continental Divide, New Mexico https://www.instagram.com/p/BTEeETlDsG9/","","@mr_bowelwidth @Continental","#Repost","854699220045090817","https://twitter.com/OMGJDH/status/854699220045090817"
"NotableBirdsNM","2017-04-19 13:37","0","0","1 Brown Thrasher (Toxostoma rufum) - US-New Mexico-Silver City-1018 West Luck Street - 32.785x-108.286 - 2017-04-18 17:56","","","","854690539203067904","https://twitter.com/NotableBirdsNM/status/854690539203067904"
"GageHecht","2017-04-19 13:31","0","0","First stage race of the season. Here we go. #Gila2017 #letsgochamp @Silver City, New Mexico https://www.instagram.com/p/BTEZZ8kBB5A/","","@Silver","#Gila2017 #letsgochamp","854688974530465792","https://twitter.com/GageHecht/status/854688974530465792"
"RacheleBSmith","2017-04-19 04:53","1","15","Dancin' on a diving board #DanceIsMyDrug What's your disruptive drug of choice ???? https://www.instagram.com/p/BTDeI3oF2gb/","","","#DanceIsMyDrug","854558647514537985","https://twitter.com/RacheleBSmith/status/854558647514537985"
"konstantine3194","2017-04-19 04:05","0","0","All about this chandelier. @On The Border Mexican Grill & Cantina https://www.instagram.com/p/BTDYoPbgxmFKX_nGEiT_M5qnGn7C5clq0sImcg0/ ","","@On","","854546517952274433","https://twitter.com/konstantine3194/status/854546517952274433"
"PhoenixCP","2017-04-18 20:57","0","0","We're the Millers? Border Patrol finds 2.6K pounds of marijuana in Valley couple's motorhome on Saturday. Pot is va http://toplocalnow.com/us/phoenix/at/13 ","","","","854438654277582850","https://twitter.com/PhoenixCP/status/854438654277582850"
"dvscarter","2017-04-18 20:27","0","0","First 2 beers of the day happy Tuesday everyone @Silver City, New Mexico https://www.instagram.com/p/BTCkOBRh8CK/","","@Silver","","854431270205497344","https://twitter.com/dvscarter/status/854431270205497344"
"BlindBirder","2017-04-18 19:53","0","0","I'm at Fry's Food & Drug - @frysfoodstores in Scottsdale, AZ https://www.swarmapp.com/c/1RPVYIfftOK","","@frysfoodstores","","854422762806554625","https://twitter.com/BlindBirder/status/854422762806554625"
"nuevocerveza","2017-04-18 19:32","0","0","Cactus Blossom Season @torcbrewingco @Truth or Consequences, New Mexico https://www.instagram.com/p/BTCd6dhjjNf/","","@torcbrewingco @Truth","","854417407594639361","https://twitter.com/nuevocerveza/status/854417407594639361"
"n1ckprince","2017-04-18 16:11","1","0","Talking science, environmentalism, and Earth Day this morning at #GMCR ! @Silver City, New Mexico https://www.instagram.com/p/BTCG381BBGe/","","@Silver","#GMCR","854366742927204352","https://twitter.com/n1ckprince/status/854366742927204352"
