"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"T_Geez","2017-04-17 20:21","0","1","When you finally get tatted ... Gang @Fort Smith, Arkansas https://www.instagram.com/p/BS_-wUbBOA5TSan-IverGdF1ZlsMS-BoYMBl1k0/ ","","@Fort","","854067425825898496","https://twitter.com/T_Geez/status/854067425825898496"
"100BrightShine","2017-04-17 02:34","0","0","BY:Eric D. Johnson""(BrightShine)"" ITs EASTER SUNDAY EVENING ER'BODY 04-16-2017,&HAPPY EASTER ER'BODY,&COMPREHENSIVE ANTI-GANG INITIATIV...","","","","853798817795276800","https://twitter.com/100BrightShine/status/853798817795276800"
"Estetit_","2017-04-16 19:31","0","0","Happy Easter from the gang and I @Des Arc, Arkansas https://www.instagram.com/p/BS9UNofDJ0Lj1eymP65ylusPDvMEQjKm4ZSdV40/ ","","@Des","","853692392888729605","https://twitter.com/Estetit_/status/853692392888729605"
"100BrightShine","2017-04-16 03:24","0","0","BY:Eric D. Johnson""(BrightShine)"" ITs SATURDAY EVENING ER'BODY 04-15-2017,&COMPREHENSIVE ANTI-GANG INITIATIVE,&COMPREHENSIVE GANG MODEL...","","","","853449011172446208","https://twitter.com/100BrightShine/status/853449011172446208"
"_Swaggy_D10","2017-04-15 16:36","0","0","They gang, we gang, but they are not the same @Conway, https://www.instagram.com/p/BS6bXwllzUo4N5zLp0Q1KTR9AbPn97VuBUefUY0/ ","","@Conway","","853285926189051905","https://twitter.com/_Swaggy_D10/status/853285926189051905"
"Samuelggrice","2017-04-15 04:54","0","0","One of two wall size pieces that I will never let go:) this is but a https://www.instagram.com/p/BS5LBxtgl4BVBju6YoH5wvYNkb7qEM3DQ0CtqE0/ ","","","","853109237681188865","https://twitter.com/Samuelggrice/status/853109237681188865"
"lorijrooney","2017-04-11 21:04","0","0","I sure do love my teacher gang! These girls (and others that aren't https://www.instagram.com/p/BSwmzeTFRrYpB0ZXjFCuIlqQGepLAl2ksLurro0/ ","","","","851903692383059968","https://twitter.com/lorijrooney/status/851903692383059968"
"100BrightShine","2017-04-10 02:23","0","0","BY:Eric D. Johnson""(BrightShine)"" ITs SUNDAY EVENING ER'BODY 04-09-2017,&COMPREHENSIVE ANTI-GANG INITIATIVE,&COMPREHENSIVE GANG MODEL,&...","","","","851259309040189440","https://twitter.com/100BrightShine/status/851259309040189440"
"PSCGrad2015","2017-04-09 22:03","0","0","I'm at Great Wall of Levy in North Little Rock, AR https://www.swarmapp.com/c/2zIqREXJPUI","","","","851193832469409792","https://twitter.com/PSCGrad2015/status/851193832469409792"
"Zach___Stout","2017-04-09 16:11","1","0","Geeter gang at it again. @Fort Smith, Arkansas https://www.instagram.com/p/BSq7t1IATXx/","","@Fort","","851105248106205185","https://twitter.com/Zach___Stout/status/851105248106205185"
"100BrightShine","2017-04-09 03:29","0","0","BY:Eric D. Johnson""(BrightShine)"" ITs SATURDAY EVENING ER'BODY 04-08-2017,&COMPREHENSIVE ANTI-GANG INITIATIVE,&COMPREHENSIVE GANG MODEL...","","","","850913564701466624","https://twitter.com/100BrightShine/status/850913564701466624"
"KristenTaekman","2017-04-09 02:15","1","21","Sunsets on the walls of Graceland . I got to sign the wall today! #graceland #elvis https://www.instagram.com/p/BSpcBxlBJal/","","","#graceland #elvis","850894835078672384","https://twitter.com/KristenTaekman/status/850894835078672384"
