"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"SanJoseCP","2017-04-19 20:42","3","2","Immigration: Albany makes sanctuary city declaration http://bayareane.ws/2pSvKZf","","","","854797404821897216","https://twitter.com/SanJoseCP/status/854797404821897216"
"Letzgitit","2017-04-19 19:50","0","0","Paul Wall Live Thursday with Me 4/20 #paulwall @paulwallbaby @CMDLLC @ifuxwitcstone https://www.instagram.com/p/BTFEu7NDXSr/","","@paulwallbaby @CMDLLC @ifuxwitcstone","#paulwall","854784250444488705","https://twitter.com/Letzgitit/status/854784250444488705"
"YatesComedy","2017-04-19 19:31","1","3","Hey Gang! My first show at @flapperscomedy is 10 days away! Come out and support me and this https://www.instagram.com/p/BTFCizphbB3/","","@flapperscomedy","","854779433474899968","https://twitter.com/YatesComedy/status/854779433474899968"
"kepamer","2017-04-19 18:05","0","0","Picture of a flock of flamingos in Mexico pic.twitter.com/UsPhpltjyn","","","","854757898454523908","https://twitter.com/kepamer/status/854757898454523908"
"kikimaldo","2017-04-19 17:42","0","0","Today in hip hop history: #Illmatic dropped and we lost GURU of Gang star","","","#Illmatic","854751969772052480","https://twitter.com/kikimaldo/status/854751969772052480"
"Letzgitit","2017-04-19 17:24","0","0","Paul Wall Live Thursday with Me 4/20 #paulwall @paulwallbaby @CMDLLC @ifuxwitcstone https://www.instagram.com/p/BTEzUgSDLnF/","","@paulwallbaby @CMDLLC @ifuxwitcstone","#paulwall","854747612146225152","https://twitter.com/Letzgitit/status/854747612146225152"
"Letzgitit","2017-04-19 17:18","0","0","Paul Wall Live Thursday with Me 4/20 #paulwall @paulwallbaby @ifuxwitcstone @allstarmotivate at https://www.instagram.com/p/BTEzUgSDLnF/","","@paulwallbaby @ifuxwitcstone @allstarmotivate","#paulwall","854745954318241792","https://twitter.com/Letzgitit/status/854745954318241792"
"ArticleConsign","2017-04-19 17:12","0","0","Our high-end designer bag wall! From designers like Louis Vuitton, Givenchy, Chanel, Gucci, https://www.instagram.com/p/BTEyn3dDI9E/","","","","854744429349007360","https://twitter.com/ArticleConsign/status/854744429349007360"
"MerrideeM","2017-04-19 16:58","0","1","I'm at International Arrivals; Immigration & Customs Inspection in San Francisco, CA https://www.swarmapp.com/c/h7JUSGyA307","","","","854741098840903680","https://twitter.com/MerrideeM/status/854741098840903680"
"eyalshahar","2017-04-19 16:58","0","0","This guy is taking a photo of his daughter against this wall, not noticing he's a perfect match https://www.instagram.com/p/BTExC0aAJ0c/","","","","854740952300257280","https://twitter.com/eyalshahar/status/854740952300257280"
"jpSanPedro","2017-04-19 16:07","0","0","I'm always looking for killer imagery and artwork for my design projects. Wall art essentially https://www.instagram.com/p/BTErPn6jZfB/","","","","854728201565859840","https://twitter.com/jpSanPedro/status/854728201565859840"
"IMPRESSEDnature","2017-04-19 15:34","0","0","Don't have space for a garden? Make yourself a plant wall! Did you know having plants in your https://www.instagram.com/p/BTEndqKhChe/","","","","854719882788708352","https://twitter.com/IMPRESSEDnature/status/854719882788708352"
"kemsbn","2017-04-19 15:04","0","0","You donut want to miss the donut wall. Thanks #pwc #experience2017 https://www.instagram.com/p/BTEj-ruDLXLtSV-orMGjgvy6zhfBc1mNtW3ZKM0/ ","","","#pwc #experience2017","854712220420374528","https://twitter.com/kemsbn/status/854712220420374528"
"shopgirl1001","2017-04-19 14:38","0","3","wall crawls      #landscape #plantlife #ivy #flowers #vine #plants #patio #garden #nature https://www.instagram.com/p/BTEhBJsBoD-/","","","#landscape #plantlife #ivy #flowers #vine #plants #patio #garden #nature","854705707899170819","https://twitter.com/shopgirl1001/status/854705707899170819"
"alexwoodsonfit","2017-04-19 13:02","0","0","#tbt #throwback (see what I did there) taken against the iconic green wall outside at https://www.instagram.com/p/BTEWFprAe7j/","","","#tbt #throwback","854681671991525376","https://twitter.com/alexwoodsonfit/status/854681671991525376"
"_vinanguyen","2017-04-19 06:44","0","1","sharks game with the gang 7-0 win baby!!!!! @SAP Center https://www.instagram.com/p/BTDqzl2gBxFPsYoe8qgIZCsFyAqL21IVOojVwc0/ ","","@SAP","","854586494912253953","https://twitter.com/_vinanguyen/status/854586494912253953"
"TheHoodChef","2017-04-19 05:39","0","0","Got tagged in this today .. blessed to witness my brother @Elite and cole kill shit Gang! @West https://www.instagram.com/p/BTDjVIKhSL6/","","@Elite @West","","854570054171545601","https://twitter.com/TheHoodChef/status/854570054171545601"
"mistyb415","2017-04-19 05:13","0","0","I'm at Border of San Francisco/Daly City in Daly City, CA https://www.swarmapp.com/c/6SQsjrZ0ggD","","","","854563550567817216","https://twitter.com/mistyb415/status/854563550567817216"
"RAIDERNATlON","2017-04-19 03:25","0","1","NFL 2017 Schedule release time official: Date set for #Raiders vs Patriots in Mexico City http://j.mp/2oLQXVo #RAIDERNATION #NFLpic.twitter.com/Y82vQEA5HY","","","#Raiders #RAIDERNATION #NFLpic","854536323335503872","https://twitter.com/RAIDERNATlON/status/854536323335503872"
"LABlackPrideVP","2017-04-19 02:59","0","0","Make America great, really? @Los Angeles, California https://www.instagram.com/p/BTDRA_DDEWh/","","@Los","","854529779793637376","https://twitter.com/LABlackPrideVP/status/854529779793637376"
"itsDannyTodd","2017-04-19 02:58","0","2","Another LED wall graphic I made for @breathecarolina Fun lil project, I gotta make more! Can't https://www.instagram.com/p/BTDQ8AHjaf0/","","@breathecarolina","","854529609538433024","https://twitter.com/itsDannyTodd/status/854529609538433024"
"cebuana75","2017-04-19 02:54","0","0","My intersection has been plagued by some #peterpans on #skateboards . They like to use the wall https://www.instagram.com/p/BTDQeXglhRU/","","","#peterpans #skateboards","854528598237212672","https://twitter.com/cebuana75/status/854528598237212672"
"ISleepWithDogs1","2017-04-19 02:41","0","0","Immigration Town Hall !!! #HUGE crowd with so many questions! And a great showing of #LEOS https://www.instagram.com/p/BTDPA2ghIsh/","","","#HUGE #LEOS","854525376277528576","https://twitter.com/ISleepWithDogs1/status/854525376277528576"
"LegiScanNV","2017-04-19 01:16","0","0","AB76 [Engross] Revises provisions relating to the Central Repository for Nevada Records of Criminal History. (BDR... http://bitly.com/Yq1h17","","","","854503844373463041","https://twitter.com/LegiScanNV/status/854503844373463041"
"thecoach_corey","2017-04-19 01:04","0","0","This week's theme at bootcamp is confidence. Getting up on that wall when you initially don't https://www.instagram.com/p/BTDD7-iDI7M/","","","","854501024194740224","https://twitter.com/thecoach_corey/status/854501024194740224"
"DJHustle","2017-04-19 00:51","0","0","Some people drink or smoke but this is my drug of choice music the arts turn tables https://www.instagram.com/p/BTDCYx4B76w/","","","","854497609842475008","https://twitter.com/DJHustle/status/854497609842475008"
"mister_sammy_v","2017-04-19 00:30","0","1","Another great art display in LA #LosAngeles #Art (@Berlin Wall Along Wilshire) https://www.swarmapp.com/c/0m337mwSbJQ pic.twitter.com/2kvYR8TkHD","","@Berlin","#LosAngeles #Art","854492322339409920","https://twitter.com/mister_sammy_v/status/854492322339409920"
"LegiScanNV","2017-04-19 00:26","0","0","SB27 [Engross] Revises the definition of the term mental illness for purposes of provisions relating to criminal ... http://bitly.com/TPx2CS","","","","854491297809403904","https://twitter.com/LegiScanNV/status/854491297809403904"
"Pau_snk","2017-04-18 23:11","0","0","#converse gang out for ice cream! @Larkspur Downtown Historic District https://www.instagram.com/p/BTC29x9hiMR/","","@Larkspur","#converse","854472493771313152","https://twitter.com/Pau_snk/status/854472493771313152"
"Jeremy__Stewart","2017-04-18 23:04","0","2","Insert cool mural quote here. #santamonica #graffiti #brick #wall #la #thatsawall @Santa https://www.instagram.com/p/BTC2Gx0glmg/","","@Santa","#santamonica #graffiti #brick #wall #la #thatsawall","854470605307039744","https://twitter.com/Jeremy__Stewart/status/854470605307039744"
"MrHamiltonEvans","2017-04-18 22:13","2","3","The Pink Wall TEACHING TONIGHT AT THE AMAZING @edge_pac 8.30PM. COME CATCH MY NEW @ladygaga https://www.instagram.com/p/BTCwSRUj1D9/","","@edge_pac @ladygaga","","854457810205237250","https://twitter.com/MrHamiltonEvans/status/854457810205237250"
"CaityCosta","2017-04-18 18:53","0","2","Music is my drug. I'm addicted. #guitargirl #tiledsteps #16thavetiledsteps @16th Avenue Tiled https://www.instagram.com/p/BTCZdUABkXp/","","@16th","#guitargirl #tiledsteps #16thavetiledsteps","854407608186224640","https://twitter.com/CaityCosta/status/854407608186224640"
"Adriiizh","2017-04-18 18:50","0","1","Natural Habitat: put me in front of a cute wall, and ask me to smile @Los Angeles, California https://www.instagram.com/p/BTCZDeYjP3-/","","@Los","","854406719702573056","https://twitter.com/Adriiizh/status/854406719702573056"
"CannabalCity","2017-04-18 18:34","0","1","#HAPPY EARLY #420!! Just a heads up, we've got the #moonrocks & #wugoo gang in the house on 4/20 https://www.instagram.com/p/BTCXOcRBpXX/","","","#HAPPY #420 #moonrocks #wugoo","854402722484715520","https://twitter.com/CannabalCity/status/854402722484715520"
"yourmoonbaby","2017-04-18 18:03","1","3","mueca made sweeeet photos with a radical girl gang yesterday #makeup by shayymsmith https://www.instagram.com/p/BTCTuk6FCtk/","","","#makeup","854395020178329603","https://twitter.com/yourmoonbaby/status/854395020178329603"
"jkruzel25","2017-04-18 17:11","0","0","#Build the Wall !","","","#Build","854381879914414080","https://twitter.com/jkruzel25/status/854381879914414080"
"Haroldine","2017-04-18 15:50","0","0","A gorgeous mid century home boasting an entire wall of glass to enjoy the view of their https://www.instagram.com/p/BTCEgmwh639/","","","","854361543374286848","https://twitter.com/Haroldine/status/854361543374286848"
"robbyfrancoski","2017-04-18 15:22","0","0","I had a great and action packed ski season! Now off to Mexico for some spring/summer training! https://www.instagram.com/p/BTCBUApgmfN/","","","","854354521715220481","https://twitter.com/robbyfrancoski/status/854354521715220481"
"RachelYarmosh","2017-04-18 15:15","0","0","A story of friendship: We met at the [Culver City] Love Wall. The end. ha ha, it really is https://www.instagram.com/p/BTCAgPAh9op/","","","","854352737236000768","https://twitter.com/RachelYarmosh/status/854352737236000768"
"kepamer","2017-04-18 13:41","0","0","Picture of women sitting on the wall of a shrine in Lahore, Pakistan pic.twitter.com/XFI3Dw8jIi","","","","854329115792560128","https://twitter.com/kepamer/status/854329115792560128"
"ElijahBanx","2017-04-18 13:22","1","0","This Friday at @belascosla will be Performing with @Wizkhalifa for the Taylor Gang Takeover https://www.instagram.com/p/BTBzl_9lcmI/","","@belascosla @Wizkhalifa","","854324347414224896","https://twitter.com/ElijahBanx/status/854324347414224896"
"tebestudiouk","2017-04-18 05:59","0","1","DAY 5: Metallica HQ. Once in San Francisco this wall should be the Mecca of every metalhead like https://www.instagram.com/p/BTBA0aph-Ri/","","","","854212689823846400","https://twitter.com/tebestudiouk/status/854212689823846400"
"mistyb415","2017-04-18 05:15","0","0","I'm at Border of San Francisco/Daly City in Daly City, CA https://www.swarmapp.com/c/4ntgf0x0uDn","","","","854201770297483264","https://twitter.com/mistyb415/status/854201770297483264"
"BilliamSWN","2017-04-18 04:22","0","0","Drinking a Siamese Twin Ale by Uncommon Brewers @99 Bottles of Beer on the Wall  http://untp.beer/s/c441833739","","@99","","854188483765825536","https://twitter.com/BilliamSWN/status/854188483765825536"
"tarinadoolittle","2017-04-18 04:20","3","6","one hell of a drug; @Los Angeles, California https://www.instagram.com/p/BTA1iPYghOS/","","@Los","","854187874203447296","https://twitter.com/tarinadoolittle/status/854187874203447296"
"ash_oxford","2017-04-18 03:51","0","0","Cramming for Mexico with @janiekwon #GroomingIsSoSexy #WinePractice https://www.instagram.com/p/BTAyPBjhcdbtNbpghSVGd3Ptsd1F1jivI5-iME0/ ","","@janiekwon","#GroomingIsSoSexy #WinePractice","854180618489352192","https://twitter.com/ash_oxford/status/854180618489352192"
"SanFranciscoCP","2017-04-18 03:36","1","0","Former Mexican President VicenteFox spoke in PaloAlto today saying Mexico is not paying for that ""f-- wall."" http://toplocalnow.com/us/san-francisco/at/20 ","","","","854176855271669760","https://twitter.com/SanFranciscoCP/status/854176855271669760"
"LasVegasCP","2017-04-18 03:03","0","0","UNLV professor signs letter to make immigration easier 8NN http://www.lasvegasnow.com/news/unlv-professor-signs-letter-to-make-immigration-easier/693403721 ","","","","854168496824909824","https://twitter.com/LasVegasCP/status/854168496824909824"
"hanwookie","2017-04-18 02:55","0","0","What's on the wall tonight. Guess who? Got a new projector ($30.00) pretty happy. (still working https://www.instagram.com/p/BTArwp6h79T/","","","","854166381557829632","https://twitter.com/hanwookie/status/854166381557829632"
