"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"JustinMVicroy","2017-04-19 23:06","0","0","When on Santa Fe, one must always eat at El Tacos de Mexico. Tres lenguas tacos con frijoles y https://www.instagram.com/p/BTFbKAyAuPu/","","","","854833553443520512","https://twitter.com/JustinMVicroy/status/854833553443520512"
"BernardPT","2017-04-19 01:45","0","0","Was able to tour #sportsauthorityfield, home of the broncos and saw this on the wall where https://www.instagram.com/p/BTDIjMXlIAI/","","","#sportsauthorityfield","854511172812451841","https://twitter.com/BernardPT/status/854511172812451841"
"MikesBrush","2017-04-18 23:47","0","1","Our wall is starting to fill up with paintings. Going to start another wall. :) #artist #art https://www.instagram.com/p/BTC7DwxlLn1/","","","#artist #art","854481502414962688","https://twitter.com/MikesBrush/status/854481502414962688"
"tmstreet","2017-04-18 19:24","0","1","He's right. U never fucking know with this looney tunes gang.","","","","854415365702533121","https://twitter.com/tmstreet/status/854415365702533121"
"YungTravis","2017-04-18 05:43","0","0","Armani Gang Music Recording Artist ""Tonio Armani"" - ""Denver's Got Next"" - DGN 2017 Photography https://www.instagram.com/p/BTAipHOhGZK/","","","","854208840597856256","https://twitter.com/YungTravis/status/854208840597856256"
"KoffinKats","2017-04-18 02:49","1","1","Had a hell of a weekend in Colorado and New Mexico! Amarillo TX tomorrow at Leftwoods. All shows https://www.instagram.com/p/BTArKp_hZa_/","","","","854165073815666688","https://twitter.com/KoffinKats/status/854165073815666688"
"SMS_hawks","2017-04-17 15:33","0","3","SMS students supporting Pennies for Patients by taping their teachers to the wall. What a great https://www.instagram.com/p/BS_dtDYjxST/","","","","853994737031925762","https://twitter.com/SMS_hawks/status/853994737031925762"
"dlopez580","2017-04-17 04:54","0","1","Our beautiful wall tag by svettrus and @juan_guillen #mammamia #mammamiaontour https://www.instagram.com/p/BS-UmydDNId/","","@juan_guillen","#mammamia #mammamiaontour","853833987177009152","https://twitter.com/dlopez580/status/853833987177009152"
"jessicavperez","2017-04-16 19:18","0","0","Annual team pic out by the wall! This crew here represents a much larger team of musicians and https://www.instagram.com/p/BS9SwMzluIm/","","","","853689180353961985","https://twitter.com/jessicavperez/status/853689180353961985"
"DenverCP","2017-04-16 14:05","0","0","Homelessness, criminal histories create barriers for those seeking to re-enter Colorado society: https://twitter.com/i/web/status/853609677917048832 ","","","","853610209649991681","https://twitter.com/DenverCP/status/853610209649991681"
"DenverCP","2017-04-16 05:07","0","0","Homelessness, criminal histories create barriers for those seeking to re-enter Colorado society http://dpo.st/2oeYuuW","","","","853474809694494720","https://twitter.com/DenverCP/status/853474809694494720"
"kevinaudio","2017-04-15 20:43","0","0","""Hey guys! So...we're right in the border between Kansas and Colorado...what should we name our https://www.instagram.com/p/BS63oFZl4CK/","","","","853348054883328001","https://twitter.com/kevinaudio/status/853348054883328001"
"Sean__Dougherty","2017-04-15 19:17","0","0","the gang hits the slopes. #snowchella #jersday #sqod @Copper Mountain https://www.instagram.com/p/BS6t0ttF7ou/","","@Copper","#snowchella #jersday #sqod","853326539391414272","https://twitter.com/Sean__Dougherty/status/853326539391414272"
"hdtvdenver","2017-04-15 16:59","0","0","27 wall mounted Doctor/Nurse work stations installed. 150 more in the works! Cabling, Wiring, https://www.instagram.com/p/BS6d-h-D3Pq/","","","","853291645672017920","https://twitter.com/hdtvdenver/status/853291645672017920"
"kylezeppelin","2017-04-15 16:55","0","2","Vitamin G at the pound for pound, best restaurant in Denver @El Taco De Mexico https://www.instagram.com/p/BS6dhS1lyhO/","","@El","","853290645745807360","https://twitter.com/kylezeppelin/status/853290645745807360"
"BasinAndRanger","2017-04-15 16:13","0","0","Spring #skiing conditions are super cherry right now #colorado - photo taken along the East Wall https://www.instagram.com/p/BS6YwILgTPf/","","","#skiing #colorado","853280156215119877","https://twitter.com/BasinAndRanger/status/853280156215119877"
"DenverCP","2017-04-14 20:31","0","0","Edgewater tattoo shop raising money for laser to remove gang/crime-related tattoos for free once a month. 9news https://twitter.com/i/web/status/852973064946147329 ","","","","852982576901890048","https://twitter.com/DenverCP/status/852982576901890048"
"deckchairs","2017-04-14 19:07","0","0","At a bookstore in beautiful #Boulder. Canadian immigration is not too high on the list. @ https://www.instagram.com/p/BS4H5KuBXMO/","","@","#Boulder","852961608825421824","https://twitter.com/deckchairs/status/852961608825421824"
"jimandgay13","2017-04-14 17:57","0","0","Many animals will be endangered by Trump's border wall we need to STOP HIM... Retweet please!","","","","852943824662016005","https://twitter.com/jimandgay13/status/852943824662016005"
"jimandgay13","2017-04-14 17:54","0","0","@realDonaldTrump Many animals will be endangered by your border wall stop.....","","@realDonaldTrump","","852943273073283072","https://twitter.com/jimandgay13/status/852943273073283072"
"luciadivina","2017-04-14 17:47","0","2","Studio wall #painting #art #studio #contemporaryart @Walnut Workshop https://www.instagram.com/p/BS3-uNGDWm2/","","@Walnut","#painting #art #studio #contemporaryart","852941444352532480","https://twitter.com/luciadivina/status/852941444352532480"
"Calagna_Music","2017-04-14 13:59","0","0","Deja vu. At least they know my name and make me feel welcomed every time I come. Off to Mexico! https://www.instagram.com/p/BS3kjkkh1vY/","","","","852883899449352193","https://twitter.com/Calagna_Music/status/852883899449352193"
"SOUQUI_BRAIN","2017-04-13 22:13","1","0","Let's see how many Blow I get on my wall Am SOUQUI JAY The Highest blow get 7die @ https://www.instagram.com/p/BS14V77gBws/","","@","","852645935524057096","https://twitter.com/SOUQUI_BRAIN/status/852645935524057096"
"thefaxdenver","2017-04-13 16:22","2","3","Come get piped tf up & get your igntfck merch 4/20 weekend with gang !! the_fax_denver https://www.instagram.com/p/BS1QHuMDxbK/","","","","852557510921859072","https://twitter.com/thefaxdenver/status/852557510921859072"
"carolinaHellal","2017-04-13 15:59","0","0","Head over to http://chictalkch.com for some #HomeDecor Inspo with the cutest wall posters via desenio https://www.instagram.com/p/BS1Nhp0l7na/","","","#HomeDecor","852551791858397184","https://twitter.com/carolinaHellal/status/852551791858397184"
"TwentyBrew","2017-04-13 04:36","0","1","Superfan wall @odd13brewing @twentybrew loves superfan! @Odd13 Brewing https://www.instagram.com/p/BSz_Xcllxdw/","","@odd13brewing @twentybrew @Odd13","","852379918952431616","https://twitter.com/TwentyBrew/status/852379918952431616"
"channingboucher","2017-04-12 21:36","0","0","Sold a good one in #crestedbutte today. 3 beds and over 1700 sf with a 2 car garage! West Wall https://www.instagram.com/p/BSzPSzrA7Ts/","","","#crestedbutte","852274194922577921","https://twitter.com/channingboucher/status/852274194922577921"
"denverbusiness","2017-04-12 17:39","0","1","Sculptor of Wall Streets bull wants Fearless Girl moved http://dpo.st/2nFaGbX","","","","852214621540720640","https://twitter.com/denverbusiness/status/852214621540720640"
"DenverCP","2017-04-12 17:13","0","1","New Mexico Wins Chile License Plate Race http://dlvr.it/NssT8X","","","","852208087230328832","https://twitter.com/DenverCP/status/852208087230328832"
"LegiScanCO","2017-04-12 16:46","0","0","HB1333 [NEW] Seal Criminal Records Of Marijuana Offenses http://bitly.com/1g9G870","","","","852201153521745925","https://twitter.com/LegiScanCO/status/852201153521745925"
"denverbusiness","2017-04-12 16:27","0","1","While a cannabis drug discovery company waits for its moonshot, it develops Keurig-style coffee pods http://dpo.st/2nF1u7x","","","","852196387286536193","https://twitter.com/denverbusiness/status/852196387286536193"
"OhNikka","2017-04-12 12:33","0","1","Should I follow the yellow brick wall? #exploredenver #bloglife #ohnikkatravels #blogger @ https://www.instagram.com/p/BSyRMQPA0Ju/","","@","#exploredenver #bloglife #ohnikkatravels #blogger","852137628136873984","https://twitter.com/OhNikka/status/852137628136873984"
"DenverCP","2017-04-12 10:33","0","0","Law Enforcements Overdose Reversal Drug Already Saving Lives CBS4Mornings http://toplocalnow.com/us/denver/at/4","","","","852107301217386497","https://twitter.com/DenverCP/status/852107301217386497"
"denverbusiness","2017-04-11 20:03","0","0","United passenger removed from plane is Kentucky doctor with criminal record http://dpo.st/2p4VNwW","","","","851888479726206976","https://twitter.com/denverbusiness/status/851888479726206976"
"Denver_LAF","2017-04-11 14:24","0","0","#DnvrLostFound Lost white Siberian husky puppy (Last seen near Mexico ave and Zuni): My dog was either wrongfully http://denver.craigslist.org/laf/6083418198.html ","","","#DnvrLostFound","851803042655621123","https://twitter.com/Denver_LAF/status/851803042655621123"
"jamieatlas","2017-04-11 00:21","0","1","Has anyone ever seen a cool wall like this before? What even do you call this style? Just https://www.instagram.com/p/BSuYpcuAYNl/","","","","851591073306746880","https://twitter.com/jamieatlas/status/851591073306746880"
"DenverCP","2017-04-10 23:03","0","0","U.S., Mexico, Canada launch combined bid for soccers 2026 World Cup  the first to feature 48 teams http://dpo.st/2okjp0t","","","","851571427861872641","https://twitter.com/DenverCP/status/851571427861872641"
"EdgarDinero88","2017-04-10 03:07","0","0","Came from a hole in the wall, crack in the concrete I want Giuseppes, not no LeBron sneaks!!! https://www.instagram.com/p/BSsGzTEjYHV/","","","","851270357658910720","https://twitter.com/EdgarDinero88/status/851270357658910720"
"crystalh723","2017-04-10 00:27","0","0","Passing through #Raton, #NewMexico right before the Colorado border. #adventuresofcrisco https://www.instagram.com/p/BSr0gAQlf8X/","","","#Raton #NewMexico #adventuresofcrisco","851230118408314880","https://twitter.com/crystalh723/status/851230118408314880"
"TheCrustsaw","2017-04-10 00:09","0","0","The Gang goes to Coors Field! #HuckItChuckItBaseball #OpeningWeek2017 #DodgersWin @Coors Field https://www.instagram.com/p/BSryaN0Fr8c/","","@Coors","#HuckItChuckItBaseball #OpeningWeek2017 #DodgersWin","851225529093156864","https://twitter.com/TheCrustsaw/status/851225529093156864"
"kinkysweatnyc","2017-04-09 23:22","0","0","Yes--I did the ""I'm going to look creepy and take a video of myself"" on the fake wall swing @ https://www.instagram.com/p/BSrtFQkAqjI/","","@","","851213797901684736","https://twitter.com/kinkysweatnyc/status/851213797901684736"
