"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"GetBackInc","2017-04-19 20:05","0","0","Pair of Vintage Industrial Milk Glass O.C. White Wall Task Lamps, Lights Edison #milkglass https://www.instagram.com/p/BTFGfV1FQ8n/","","","#milkglass","854788114056962049","https://twitter.com/GetBackInc/status/854788114056962049"
"MR8DONRIKOCZAE","2017-04-17 00:51","0","0","@Oprah HAD TOO SEE IT PT A7 ~~MEXICO CITY , MEXICO pic.twitter.com/TF53qMgaoD","","@Oprah","","853772765584920577","https://twitter.com/MR8DONRIKOCZAE/status/853772765584920577"
"TDWTravelBlog","2017-04-16 12:53","0","0","Happy Easter from the wall! #americanambulanceservice #norwichct #sundaymorning @American https://www.instagram.com/p/BS8moXmjLqT/","","@American","#americanambulanceservice #norwichct #sundaymorning","853592149111308288","https://twitter.com/TDWTravelBlog/status/853592149111308288"
"giftstreetwear","2017-04-15 20:02","0","0","New! Retired Drug Dealer Snaps is now in store & online. http://Www.Giftstreetwear.com Call for the https://www.instagram.com/p/BS6y_F6he2X/","","","","853337848400855040","https://twitter.com/giftstreetwear/status/853337848400855040"
"Derek_Bugman","2017-04-15 17:29","0","2","Doing this wall challenge _alfred_scott did! #bugman #anw #anw9 #americanninjawarrior https://www.instagram.com/p/BS6hew8l8hd/","","","#bugman #anw #anw9 #americanninjawarrior","853299357482921984","https://twitter.com/Derek_Bugman/status/853299357482921984"
"DaveBrz","2017-04-14 21:37","0","0","I'm at Massachusetts/Connecticut Border I91 in Longmeadow, MA https://www.swarmapp.com/c/37bJyAqfppi","","","","852999378176495616","https://twitter.com/DaveBrz/status/852999378176495616"
"georgeson1992","2017-04-13 18:23","0","0","Immigration math and rally for Education NOT Deportation! #CSCUSpeaks (@Connecticut State Capitol in Hartford, CT) https://www.swarmapp.com/c/3FaHwzGm7mW","","@Connecticut","#CSCUSpeaks","852588157778485248","https://twitter.com/georgeson1992/status/852588157778485248"
"alvinrobertson0","2017-04-13 17:21","0","0","South east side Curtin wall almost complete, its called working your self out of a job @New https://www.instagram.com/p/BS1W-rLBhEJ/","","@New","","852572570767335425","https://twitter.com/alvinrobertson0/status/852572570767335425"
"ThomasMachColor","2017-04-13 09:53","0","0","A stunning wall using Weatherwood Stains. #weatherwood #weatherwoodstains #reclaimedwood https://www.instagram.com/p/BS0jpAygvl0/","","","#weatherwood #weatherwoodstains #reclaimedwood","852459673307553792","https://twitter.com/ThomasMachColor/status/852459673307553792"
"OneHunitt","2017-04-12 18:55","2","2","EVERYBODY STOP WHAT YOU DOIN AND GO FOLLOW GANG NEW PAGE  https://www.instagram.com/p/BSy85tljFKY8of9UE2gvLPNSLh7DH-crE-dhpE0/ ","","","","852233750197002240","https://twitter.com/OneHunitt/status/852233750197002240"
"Lynch68","2017-04-10 17:15","0","0","#openingday #nyy #homeopener #naples #chilidog #tradition #yankees #yale @Wall Street Pizza & https://www.instagram.com/p/BStn0NYFXcW/","","@Wall","#openingday #nyy #homeopener #naples #chilidog #tradition #yankees #yale","851483702832111617","https://twitter.com/Lynch68/status/851483702832111617"
"phillip_beatty","2017-04-10 14:32","1","2","A little bit of Mexico in Hartford. I love this place! Come check it out , great food to hold https://www.instagram.com/p/BStVNKrFn46/","","","","851442774788407296","https://twitter.com/phillip_beatty/status/851442774788407296"
"mohamedahmed754","2017-04-09 17:38","0","0","I got shooters in the streets #paintballing #gang @Hogan's Alley https://www.instagram.com/p/BSrFrgVhypLMMyU9gr-WO3NoGm6bhznN3H0nPU0/ ","","@Hogan","#paintballing #gang","851127156432281600","https://twitter.com/mohamedahmed754/status/851127156432281600"
"VitoBonannoArt","2017-04-07 03:35","0","0","#Throwback --> 2014 in my old studio making an awesome gallery wall of my work. I recently moved https://www.instagram.com/p/BSkbrHnhAri/","","","#Throwback","850190357706850304","https://twitter.com/VitoBonannoArt/status/850190357706850304"
"vca_art","2017-04-07 02:00","0","0","The making of the Great Wall - part 2! #bam #amazing #artforthesoul #villagecenterarts @ https://www.instagram.com/p/BSkQt-jD5Oi/","","@","#bam #amazing #artforthesoul #villagecenterarts","850166263934484481","https://twitter.com/vca_art/status/850166263934484481"
"vca_art","2017-04-06 21:35","0","0","The making of the Great Wall of China! Only at VCA!!! #homeworkiscoolnow #newmilford https://www.instagram.com/p/BSjyc2cDdwH/","","","#homeworkiscoolnow #newmilford","850099704541175809","https://twitter.com/vca_art/status/850099704541175809"
"georgeson1992","2017-04-05 00:17","0","0","Student led panel on immigration detention #NoBanNoWall #HeretoStay (@University of Connecticut School of Law) https://www.swarmapp.com/c/fm2X9ZXF4r6","","@University","#NoBanNoWall #HeretoStay","849415574123945985","https://twitter.com/georgeson1992/status/849415574123945985"
"alvinrobertson0","2017-04-03 17:24","0","0","North wall finished @New Haven Towers Connecticut https://www.instagram.com/p/BSbnVEyhK0Z/","","@New","","848949350965288960","https://twitter.com/alvinrobertson0/status/848949350965288960"
"MountainDairy","2017-04-03 01:05","0","0","New woodchuck hole right in the base of a wall, bugger! @Mountain Dairy https://www.instagram.com/p/BSZ3SoDltxG/","","@Mountain","","848702978676666368","https://twitter.com/MountainDairy/status/848702978676666368"
"FABallentineJr","2017-04-02 15:11","0","0","Finally made it up here @Great Wall Restaurant https://www.instagram.com/p/BSYzVdZjmIX/","","@Great","","848553539731324928","https://twitter.com/FABallentineJr/status/848553539731324928"
"vca_art","2017-04-02 00:33","0","0","Yup! We have a splat wall ONLY at VCA! I LOVE the look on the kids faces when I tell them they https://www.instagram.com/p/BSXOzt8jr5K/","","","","848332479626964992","https://twitter.com/vca_art/status/848332479626964992"
"rolynn123","2017-04-01 22:39","0","0","Back with the gang. (@Max a Mia - @maxrestgroup in Avon, CT) https://www.swarmapp.com/c/iA19uYY7Jo9","","@Max @maxrestgroup","","848303761491718144","https://twitter.com/rolynn123/status/848303761491718144"
