"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"KL_Belvin","2017-04-09 02:33","0","0","What's on my office wall. My reminders to keep me focus. I've wasted https://www.instagram.com/p/BSpeLZVBK3MvFJo5BEgYsPdtBK8sPSW2_jNIdo0/ ","","","","850899551342821377","https://twitter.com/KL_Belvin/status/850899551342821377"
"Dunesway123","2017-04-01 23:04","0","0","@AnnCoulter We need the wall, the arrests of State Gov officials and new jails for aliens.","","@AnnCoulter","","848310080797892608","https://twitter.com/Dunesway123/status/848310080797892608"
"PaulieTWO6","2017-03-23 17:52","0","0","I'm at Broadkill Beach (New Mexico Ave) in Milton, DE https://www.swarmapp.com/c/cZpWJgfup0a","","","","844970186520309761","https://twitter.com/PaulieTWO6/status/844970186520309761"
"UrbanShamin","2017-03-17 12:12","0","0","Beauty Interrupted. One of the things that I miss most about New Mexico is all of the public https://www.instagram.com/p/BRvSDSrBN5U/","","","","842710108089933824","https://twitter.com/UrbanShamin/status/842710108089933824"
"chriswhetlor","2017-03-02 19:10","0","0","One more wall done, windows painted...A few more walls and baseboards...Then RevItUp kids Church https://www.instagram.com/p/BRJaAWWByKI/","","","","837379576233799680","https://twitter.com/chriswhetlor/status/837379576233799680"
"GeoffGrr54","2017-02-22 12:04","0","0","GOP you've got to stand up and stop scarring us Americans with immigration ,health care and ignoring people at town halls","","","","834373332858523648","https://twitter.com/GeoffGrr54/status/834373332858523648"
"GeoffGrr54","2017-02-19 23:18","0","0","Mr t. If make America great again means the USA going back to the 1950's you can have IT because I want the USA to go forward !","","","","833455684964454401","https://twitter.com/GeoffGrr54/status/833455684964454401"
"UrbanShamin","2017-02-16 03:37","0","0","http://www.CourtniHale.com Prints with Purpose Want to know what this would look like on your wall? https://www.instagram.com/p/BQjsIHUlkcD/","","","","832071403822317568","https://twitter.com/UrbanShamin/status/832071403822317568"
"DESeaGrant","2017-02-08 19:23","0","0","We got the gang together today to wish Wendy Carey, our coastal hazards specialist, a very happy https://www.instagram.com/p/BQQx-33A1S_/","","","","829410264474861570","https://twitter.com/DESeaGrant/status/829410264474861570"
"CharlesBullar","2017-02-04 21:33","0","0","Drug life isn't easy these days I'm for legalization of all drugs, let me be Frank, Freddie's https://www.instagram.com/p/BQGtwgDAmsQ/","","","","827993597064704000","https://twitter.com/CharlesBullar/status/827993597064704000"
"GeoffGrr54","2017-01-28 02:58","0","0","I'm concerned about your( mr trump ) new immigration rules, very bad, very cruel do you hate America that much !","","","","825176242995548160","https://twitter.com/GeoffGrr54/status/825176242995548160"
