"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"vbordda","2017-04-19 22:13","0","0","went all the way to mexico for this pic @Epcot - Walt Disney World https://www.instagram.com/p/BTFVHCejbr4JkOCy6Rw01K1UC5OE5wY2IU_Mx40/ ","","@Epcot","","854820261656506368","https://twitter.com/vbordda/status/854820261656506368"
"BookDesignJess","2017-04-19 21:11","0","0","The gang's all here! #TheGridLive super fans. #PSW2017 @Orange County Convention Center https://www.instagram.com/p/BTFN92Ql-R-/","","@Orange","#TheGridLive #PSW2017","854804580919541761","https://twitter.com/BookDesignJess/status/854804580919541761"
"InterfaceWorshp","2017-04-19 19:19","2","1","RECORDING IS DONE! We just finished up the recording process with gang vocals this past Monday! https://www.instagram.com/p/BTFBJ-_FX4h/","","","","854776408794705924","https://twitter.com/InterfaceWorshp/status/854776408794705924"
"DowntownOrl","2017-04-19 18:44","0","0","#MentallyIllPersonNonViolent 18 WALL ST ( 4/19/2017 14:24) #Orlando #CentralBusinessDistrict","","","#MentallyIllPersonNonViolent #Orlando #CentralBusinessDistrict","854767729471107072","https://twitter.com/DowntownOrl/status/854767729471107072"
"MrLucky_13","2017-04-19 17:28","0","0","Drinking a Floridian Hefeweizen by @FunkyBuddhaBrew @The Hole In The Wall  http://untp.beer/s/c442117122 #photo","","@FunkyBuddhaBrew @The","#photo","854748550701428736","https://twitter.com/MrLucky_13/status/854748550701428736"
"MrLucky_13","2017-04-19 17:26","0","0","Drinking a Jai Alai IPA by @CigarCityBeer @The Hole In The Wall  http://untp.beer/s/c442116651 #photo","","@CigarCityBeer @The","#photo","854747938257604609","https://twitter.com/MrLucky_13/status/854747938257604609"
"kellyvannevel","2017-04-19 15:11","0","0","Rockne & Keever grooming (@Woof Gang Bakery & Grooming in Tampa, FL) https://www.swarmapp.com/c/a3OmgMW8Opv","","@Woof","","854714102912045056","https://twitter.com/kellyvannevel/status/854714102912045056"
"dplayer06","2017-04-19 13:59","0","1","@realDonaldTrump @TeamTrump Build that wall, Trump is the president of the new world. If u hate it well guess what? Tough shit get over it!","","@realDonaldTrump @TeamTrump","","854696004053893120","https://twitter.com/dplayer06/status/854696004053893120"
"KaitCzurylo","2017-04-19 01:14","0","0","Speaking of a bubblegum wall... you may have noticed I add a link to my bio... my blog!!! I https://www.instagram.com/p/BTDFDqhDNKy/","","","","854503501640216576","https://twitter.com/KaitCzurylo/status/854503501640216576"
"laurenthayer_","2017-04-19 01:05","1","0","Day 3 @Clearwater Beach - Gulf of Mexico https://www.instagram.com/p/BTDEBwlgulcV35fCFcj1L22sIjItKbbLfKaw0A0/ ","","@Clearwater","","854501286909280256","https://twitter.com/laurenthayer_/status/854501286909280256"
"ScubaDiBaDude","2017-04-19 01:00","0","0","I've driven by this spot a few times and this art on the wall never failed to get my attention. https://www.instagram.com/p/BTDDZ02jLHR/","","","","854499851886833666","https://twitter.com/ScubaDiBaDude/status/854499851886833666"
"DowntownOrl","2017-04-19 00:38","0","0","#SuspiciousPerson WALL ST & N MAGNOLIA AV ( 4/18/2017 20:14) #Orlando #CentralBusinessDistrict","","","#SuspiciousPerson #Orlando #CentralBusinessDistrict","854494262108590081","https://twitter.com/DowntownOrl/status/854494262108590081"
"AllEyezOnKay","2017-04-18 19:18","0","0","My hair buzzin like some killa @Wall St. Plaza https://www.instagram.com/p/BTCcVO_g6Ns/","","@Wall","","854413929564557312","https://twitter.com/AllEyezOnKay/status/854413929564557312"
"VLilMonsterpull","2017-04-18 17:11","0","0","#Easter weekend was bout #EPIC AF with #DEEZ niggaz STFO to rickpulla and his gang more http://ln.is/www.instagram.com/p/5wNbr ","","","#Easter #EPIC #DEEZ","854381894540111872","https://twitter.com/VLilMonsterpull/status/854381894540111872"
"dougthepilot","2017-04-18 15:46","0","1","TACO TUESDAY!!! This place is amazing. #mexicosgrill #spacecoast @Mexico's Grill https://www.instagram.com/p/BTCD2NOlhjz/","","@Mexico","#mexicosgrill #spacecoast","854360560191901696","https://twitter.com/dougthepilot/status/854360560191901696"
"Imahollaatcha","2017-04-18 15:36","0","0","them bitches work harder than a Mexican #DeportThem @U.S. Citizenship and Immigration https://www.instagram.com/p/BTCC6YZF6He/","","@U","#DeportThem","854358045484253184","https://twitter.com/Imahollaatcha/status/854358045484253184"
"DoggieDateTampa","2017-04-17 22:33","0","0","I can't... @DoggieDateTampa and her gang o' cutes. #labshepherd #shepherdmix #xolo https://www.instagram.com/p/BTANx7pg6Fh/","","@DoggieDateTampa","#labshepherd #shepherdmix #xolo","854100458415300611","https://twitter.com/DoggieDateTampa/status/854100458415300611"
"Bowling737","2017-04-17 21:31","0","0","Drinking a Make America Grain Out Again by @CigarCityBeer at @cigarcitybeer  http://untp.beer/s/c441716966","","@CigarCityBeer @cigarcitybeer","","854084833408159744","https://twitter.com/Bowling737/status/854084833408159744"
"jayog73","2017-04-17 18:50","0","0","On the road again!! #getslawed #mexico #vfc @Tampa International Airport https://www.instagram.com/p/BS_0QjGDD1a/","","@Tampa","#getslawed #mexico #vfc","854044330645913601","https://twitter.com/jayog73/status/854044330645913601"
"kaitlynntaneal","2017-04-17 18:46","0","0","The purple wall will make you understand! @Orlando City Stadium https://www.instagram.com/p/BS_zzGFBppRc1cU9N5UDKtRt4jL8Jn6ddrHTAo0/ ","","@Orlando","","854043325329850368","https://twitter.com/kaitlynntaneal/status/854043325329850368"
"TweetMaryJ","2017-04-17 17:48","0","0","Only 2 more sleeps until mexico @Crystal River Three Sisters Springs https://www.instagram.com/p/BS_tKBmDKJj/","","@Crystal","","854028719119380480","https://twitter.com/TweetMaryJ/status/854028719119380480"
"iamedwarde","2017-04-17 16:58","0","1","Spending the day at Epcot with the whole gang @Epcot - Walt Disney World https://www.instagram.com/p/BS_nhx_Fzkj/","","@Epcot","","854016352377556993","https://twitter.com/iamedwarde/status/854016352377556993"
"soundersfan119","2017-04-17 16:36","0","0","Drinking a Miriam's Irish Coffee Stout by @Coppertail @The Hole In The Wall  http://untp.beer/s/c441646524","","@Coppertail @The","","854010791242207232","https://twitter.com/soundersfan119/status/854010791242207232"
"ChefPAlaniz","2017-04-17 14:51","0","0","On set recording @ChefPAlaniz addiel_photography #florida #control #mission #cape #space #mexico https://www.instagram.com/p/BS_Y4uog5wz/","","@ChefPAlaniz","#florida #control #mission #cape #space #mexico","853984197094117376","https://twitter.com/ChefPAlaniz/status/853984197094117376"
"girlmeetsbow","2017-04-17 12:42","0","0","Had my first, ""ask a random person to take my pic in front of a cute pink wall moment"" this https://www.instagram.com/p/BS_KOAuhkTY/","","","","853951885207773184","https://twitter.com/girlmeetsbow/status/853951885207773184"
"B3NCIV3NG4","2017-04-17 04:12","0","0","This little bunny #ilywallet #thebunnyearswereahitdowntown jordann.robertss @Wall St. Plaza https://www.instagram.com/p/BS-Px_6lxJK/","","@Wall","#ilywallet #thebunnyearswereahitdowntown","853823381757669376","https://twitter.com/B3NCIV3NG4/status/853823381757669376"
"Orlando_LAF","2017-04-17 02:53","1","0","#OrlandoLostFound Lost Keys around Wall Street - Downtown Orlando area (Orlando): I lost my keys about 12 midnight http://orlando.craigslist.org/laf/6090811239.html ","","","#OrlandoLostFound","853803488249171968","https://twitter.com/Orlando_LAF/status/853803488249171968"
"seanyodarouse","2017-04-17 01:24","0","0","Citrus aroma. Fantastic hoppiness with matching bitternes... (Make America Grain Out Again) http://untp.beer/s/c441540886 #photo","","","#photo","853781127093530628","https://twitter.com/seanyodarouse/status/853781127093530628"
"BakerBone","2017-04-17 01:14","0","2","Who is in Orlando ? #Decepticomics @Wall St. Plaza https://www.instagram.com/p/BS97aXClvv7/","","@Wall","#Decepticomics","853778640030629888","https://twitter.com/BakerBone/status/853778640030629888"
"SwampysFlorida","2017-04-17 00:08","0","0","Swampy's #Florida live at the meeting of the Withlacoochee River and the Gulf of Mexico. @ https://www.instagram.com/p/BS9z6WxF22g/","","@","#Florida","853762099822161925","https://twitter.com/SwampysFlorida/status/853762099822161925"
"NickKeeler","2017-04-16 23:51","0","0","Collecting shells on the Gulf of Mexico @Sanibel, Florida https://www.instagram.com/p/BS9x5pdjCYy/","","@Sanibel","","853757675288637440","https://twitter.com/NickKeeler/status/853757675288637440"
"BakerBone","2017-04-16 23:48","1","0","Where's the gang #Decepticomics tour @Residence Inn Orlando Downtown https://www.instagram.com/p/BS9xhlJlXJZ/","","@Residence","#Decepticomics","853756919542145024","https://twitter.com/BakerBone/status/853756919542145024"
"SwampysFlorida","2017-04-16 23:46","0","0","Swampy's #Florida live at the meeting of the Withlacoochee River and the Gulf of Mexico. https://www.swarmapp.com/c/9bdUKgAs8w3 pic.twitter.com/KOM6iFoI75","","","#Florida","853756603740418048","https://twitter.com/SwampysFlorida/status/853756603740418048"
"RC_Gallery","2017-04-16 23:32","0","1","Celebrating Easter with our Hunt Slonem bunny wall! . . . . #happyeaster #easter #huntslonem https://www.instagram.com/p/BS9vz4RlRhd/","","","#happyeaster #easter #huntslonem","853753080432689153","https://twitter.com/RC_Gallery/status/853753080432689153"
"darealconfed","2017-04-16 22:51","0","0","First time seeing a sunset over the #Gulf of #Mexico. @Fort Island Trail Park https://www.instagram.com/p/BS9rGEgFE1W/","","@Fort","#Gulf #Mexico","853742713426124800","https://twitter.com/darealconfed/status/853742713426124800"
"michelleerin","2017-04-16 22:41","0","0","Spending the last few hours of the grandparents' visit at the Gulf of Mexico. Mass on the bay, https://www.instagram.com/p/BS9p-0_gZE2/","","","","853740254913859584","https://twitter.com/michelleerin/status/853740254913859584"
"AurielGrace","2017-04-16 21:07","0","0","A Gang of Girls Radio - 4/16 8E/7C/5P Kathrin Zenkina - the Manifestation Babe is going to help https://www.instagram.com/p/BS9fKUhg9Yx/","","","","853716458748215301","https://twitter.com/AurielGrace/status/853716458748215301"
"greenskeptic","2017-04-16 19:39","0","0","The whole gang at the beach. @Jensen Beach Park https://www.instagram.com/p/BS9VIppBC3s/","","@Jensen","","853694416019640320","https://twitter.com/greenskeptic/status/853694416019640320"
"carmen_flowerz","2017-04-16 18:15","0","0","went for the pretty flower wall, stayed for the bacon stuffed waffles #happyeaster!!! @Original https://www.instagram.com/p/BS9Lhp7FWoU/","","@Original","#happyeaster","853673287355961344","https://twitter.com/carmen_flowerz/status/853673287355961344"
"Odder_Box","2017-04-16 16:36","0","0","Happy Easter Everyone! Was sitting on the sea wall at my aunt and uncles house in Treasure https://www.instagram.com/p/BS9AKU9gby9/","","","","853648290189111296","https://twitter.com/Odder_Box/status/853648290189111296"
"CRMayes","2017-04-16 16:12","0","0","Oh, how I love my gang. Happy Easter! #heisrisen #1stlkld @First https://www.instagram.com/p/BS89amGFfjsR1i_zu5H5JZXK_eVgC6a2XlkeFw0/ ","","@First","#heisrisen #1stlkld","853642259874631680","https://twitter.com/CRMayes/status/853642259874631680"
"AurielGrace","2017-04-16 13:56","0","0","A Gang of Girls Radio - 4/19 8E/7C/5P Kathrin Zenkina - the Manifestation Babe is going to help https://www.instagram.com/p/BS8tznPAo70/","","","","853607931073499136","https://twitter.com/AurielGrace/status/853607931073499136"
"amyyhiltz","2017-04-16 02:00","0","0","we ain't in mexico, but we still out here getting turnt n burnt @ https://www.instagram.com/p/BS7b410DYnsZIEI3-6V7lJheu3ryVDsmGmxBfM0/ ","","@","","853427790942810113","https://twitter.com/amyyhiltz/status/853427790942810113"
"nik_mariaa","2017-04-16 00:21","0","0","I could get used to this @Gulf Harbors Beach Club/ Gulf Of Mexico https://www.instagram.com/p/BS6liCeDE-h/","","@Gulf","","853402811194908672","https://twitter.com/nik_mariaa/status/853402811194908672"
"Brownimation","2017-04-15 23:19","0","0","Time to ""drink around the world."" First stop - Mexico! @Epcot - Walt Disney World https://www.instagram.com/p/BS7Jb_-FLf_/","","@Epcot","","853387220090318848","https://twitter.com/Brownimation/status/853387220090318848"
"StephKocer","2017-04-15 22:46","0","0","""Love hurts. Love stinks. Love bites, love bleeds, love is the drug."" Florida finally gave me https://www.instagram.com/p/BS7FwgllDIz/","","","","853379129726652416","https://twitter.com/StephKocer/status/853379129726652416"
"ahadick","2017-04-15 21:43","0","0","Friends since 1965. Priceless. @Gulf Harbors Beach Club/ Gulf Of Mexico https://www.instagram.com/p/BS6-gjVDFoX/","","@Gulf","","853363188787810304","https://twitter.com/ahadick/status/853363188787810304"
"actualbman","2017-04-15 21:37","0","0","Drinking an Ashley Gang Outlaw by Big Top Brewing Company @Big Top Brewing  http://untp.beer/s/c440833041","","@Big","","853361583292116992","https://twitter.com/actualbman/status/853361583292116992"
"remixrecordshop","2017-04-15 19:12","1","1","WALL OF DEPECHE MODE! http://www.remixthestore.com/remix-blog/wall-of-depeche-mode ","","","","853325147352309760","https://twitter.com/remixrecordshop/status/853325147352309760"
"CurtisGrimes_","2017-04-15 18:15","0","0","Great Day with great people if you ever need a criminal attorney in https://www.instagram.com/p/BS6moszjYuoKW1rfdbazibJvPR5mjNDZWc_7PM0/ ","","","","853310758377193473","https://twitter.com/CurtisGrimes_/status/853310758377193473"
"mrgetbucketz4","2017-04-15 16:49","0","0","SHOOO GANG back at high dive April 27th. Tickets $5 presale. Y'all come show some love.. U won't https://www.instagram.com/p/BS6c23aghQ3/","","","","853289196857044992","https://twitter.com/mrgetbucketz4/status/853289196857044992"
"amercthegreat","2017-04-15 15:41","0","0","If he ain't shook I'm gone shake em! therealshottadon @Wall Street Cantina https://www.instagram.com/p/BS6VCB2h2sV/","","@Wall","","853271975111704577","https://twitter.com/amercthegreat/status/853271975111704577"
"sharonrose95","2017-04-15 13:49","0","0","Happy Birthday Steph! here's to many more amazing memories @Wall St. Plaza https://www.instagram.com/p/BS6IPxKDW6v/","","@Wall","","853243862302826496","https://twitter.com/sharonrose95/status/853243862302826496"
"SGH_Jackie","2017-04-15 13:25","0","2","Off to the airport and back to Scotia! Sad to leave but we're off to Mexico in 3 weeks so it https://www.instagram.com/p/BS6FfFQlcQH/","","","","853237793757302784","https://twitter.com/SGH_Jackie/status/853237793757302784"
"pro0f","2017-04-15 04:30","0","0","I'm at Wall Street Plaza - @wallstplaza in Orlando, FL https://www.swarmapp.com/c/2DlZgVMwPNv","","@wallstplaza","","853103260642791424","https://twitter.com/pro0f/status/853103260642791424"
"Darylsibohh","2017-04-14 23:20","0","0","Mexico here we come! #asiangringo&guyaco @Orlando International https://www.instagram.com/p/BS4ky0cBGyNy3yyN533UFkLfBna5rtbxh-mzW40/ ","","@Orlando","#asiangringo","853025171464085504","https://twitter.com/Darylsibohh/status/853025171464085504"
"Sarah_Bergstein","2017-04-14 23:06","0","0","I'll take one wall of all things coffee related, please! #brewgooddogood @Buddy Brew Coffee https://www.instagram.com/p/BS4jLU9gr3A/","","@Buddy","#brewgooddogood","853021605466963968","https://twitter.com/Sarah_Bergstein/status/853021605466963968"
"MoreThanBlonde_","2017-04-14 18:40","0","0","Proud to be American @urbanette1 @U.S. Citizenship and Immigration Services https://www.instagram.com/p/BS4Etf8hRwW/","","@urbanette1 @U","","852954610457165824","https://twitter.com/MoreThanBlonde_/status/852954610457165824"
"EricFernandez","2017-04-14 18:13","0","0","The whole gang right in front of us!!! #starwarscelebration @Orange County Convention Center https://www.instagram.com/p/BS4Buy8g25r/","","@Orange","#starwarscelebration","852948057125777409","https://twitter.com/EricFernandez/status/852948057125777409"
"brunadyna","2017-04-14 17:37","0","0","Mirror, mirror on the wall... @My Little Town Kids Orlando http://ln.is/www.instagram.com/p/KuWQr ","","@My","","852938965216841729","https://twitter.com/brunadyna/status/852938965216841729"
"WallUnitBrand","2017-04-14 17:26","0","0","Customer loves their wall unit from Wall Unit Warehouse. #largestwallunits #wallunitwarehouse https://www.instagram.com/p/BS38VRijUc1/","","","#largestwallunits #wallunitwarehouse","852936186209464320","https://twitter.com/WallUnitBrand/status/852936186209464320"
"Natimeetsworld","2017-04-14 17:12","0","0","""Magic mirror on the wall, who is the fairest one of all?"" #evilqueen #easteregg #chocolate https://www.instagram.com/p/BS36u5XFWLK/","","","#evilqueen #easteregg #chocolate","852932675262455808","https://twitter.com/Natimeetsworld/status/852932675262455808"
"kayla_radaker","2017-04-14 16:37","0","3","absolutely cannot wait for four years of tan lines, criminal justice, and owl puns. see you in https://www.instagram.com/p/BS32pZHgmXP/","","","","852923686134919170","https://twitter.com/kayla_radaker/status/852923686134919170"
"IRREVERSIBLEmag","2017-04-14 13:41","0","1","Florida State Road 60 is an eastwest route transversing #Florida from the Gulf of #Mexico to https://www.instagram.com/p/BS3iffgjn1q/","","","#Florida #Mexico","852879367856410624","https://twitter.com/IRREVERSIBLEmag/status/852879367856410624"
"golindsgo","2017-04-14 12:15","0","1","Back in action with the Sunshine State silver bullet bike gang; time for some speedy pre-season https://www.instagram.com/p/BS3Yw1CA5S4/","","","","852857965300371460","https://twitter.com/golindsgo/status/852857965300371460"
"JaredCulp4","2017-04-14 02:18","0","0","Just your ordinary Gulf of Mexico sunset | Sony 18-105mm https://www.instagram.com/p/BS2UWvZleY6/","","","","852707545584209920","https://twitter.com/JaredCulp4/status/852707545584209920"
"brownmanmagic","2017-04-14 01:28","0","2","Had a great time organizing the screening of #13th and discussion about criminal justice reform https://www.instagram.com/p/BS2OpJ6AV91/","","","#13th","852694971069104128","https://twitter.com/brownmanmagic/status/852694971069104128"
"ameliabakz","2017-04-14 00:43","0","0","have you entered the Wall Crawl Vlog challenge yet?! Click the link in my bio to watch the vlog https://www.instagram.com/p/BS2Ji-ADLHn/","","","","852683769492516864","https://twitter.com/ameliabakz/status/852683769492516864"
"survivinglupus2","2017-04-13 19:25","0","0","So our 5th graders made this post I've sticky notes wall for us teachers to make us feel better! https://www.instagram.com/p/BS1lF-BhXi7/","","","","852603605618049024","https://twitter.com/survivinglupus2/status/852603605618049024"
