"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"emob_tatted","2017-04-19 23:22","0","0","MollyGvnG is a drug for ya mind LEMME GET U HIGH #MollyGvnG #MOLLYGVNG #vanssk8hi #VANS @ https://www.instagram.com/p/BTFdDNqghLD/","","@","#MollyGvnG #MOLLYGVNG #vanssk8hi #VANS","854837719347998721","https://twitter.com/emob_tatted/status/854837719347998721"
"maryannswood","2017-04-19 22:00","0","0","Takeout! (@Real Mexico in Columbia, SC) https://www.swarmapp.com/c/khUqMk6JTli","","@Real","","854817074065133569","https://twitter.com/maryannswood/status/854817074065133569"
"omobaDRU","2017-04-19 19:10","0","0","The time has come to MAKE AMERICA BLACK! Which revolutionary will https://www.instagram.com/p/BTFAGgzhs21c3S9w86vRbdZGAQASriNjg9qjQM0/ ","","","","854774106113179648","https://twitter.com/omobaDRU/status/854774106113179648"
"omobaDRU","2017-04-19 17:52","1","0","The time has come to MAKE AMERICA BLACK! Which revolutionary will https://www.instagram.com/p/BTE3N5QhowL95lu4qGmX-BTZqcJ8LeKCV-YO-00/ ","","","","854754551026532352","https://twitter.com/omobaDRU/status/854754551026532352"
"SCHomeTeam","2017-04-19 16:43","0","0","See a virtual tour of my listing on 872 Wall St #Iva #SC #realestate http://www.upstateschometours.cdanjoyner.com/home/XUUSVF pic.twitter.com/NEXR55W1sk","","","#Iva #SC #realestate","854737272888938496","https://twitter.com/SCHomeTeam/status/854737272888938496"
"richarthr","2017-04-19 15:39","0","0","Just wanted to take a moment to introduce you to the wall outlet on https://www.instagram.com/p/BTEoAeahqsFangZkT-ypWNuaBRK2WEMIXefebI0/ ","","","","854721075002753025","https://twitter.com/richarthr/status/854721075002753025"
"Pwooing","2017-04-18 22:04","0","0","I'm at Real Mexico in Columbia, SC https://www.swarmapp.com/c/1HyitTX6Zxn","","","","854455631432089600","https://twitter.com/Pwooing/status/854455631432089600"
"butlerduncan","2017-04-18 16:05","0","0","Shirt wall is filled with Pictures of our PALS @Tomahawk https://www.instagram.com/p/BS9lYg2FrEqhQOCXiu6aYxjjgumm_AbmwePvfQ0/ ","","@Tomahawk","","854365292289458178","https://twitter.com/butlerduncan/status/854365292289458178"
"samsm","2017-04-18 13:44","0","0","Bomb/drug dog was not having it, wanted to play with handler instead. (@North Terminal Security in Atlanta, GA) https://www.swarmapp.com/c/at66PwuiUbZ","","@North","","854329849246298116","https://twitter.com/samsm/status/854329849246298116"
"TheShowroomTV","2017-04-18 08:02","0","0","I (eye) /BORDER TEE LONG SLEEVE attention to detail, this brand seems to be Ron T can be https://www.instagram.com/p/BTBO-KVF3fz/","","","","854243813082230784","https://twitter.com/TheShowroomTV/status/854243813082230784"
"1cashtalk","2017-04-18 04:44","0","0","SHOW W/ DA GANG LASTNIGHT @Mardi Gras moesaucedupsundays @nofacenocase42 @bv_rod https://www.instagram.com/p/BTA4N8yjw7_/","","@Mardi @nofacenocase42 @bv_rod","","854193775836639232","https://twitter.com/1cashtalk/status/854193775836639232"
"ejirookurame","2017-04-18 03:05","0","0","A mouse looked thru the crack in the wall 2c the farmer & his wife open a package. Wat food https://www.instagram.com/p/BTAs-S1jlsP/","","","","854169045788237826","https://twitter.com/ejirookurame/status/854169045788237826"
"shepherdfrankel","2017-04-18 00:17","0","1","fish on the wall #simplertimes #shadows & #light #newnan #scout @Caldwell Tanks https://www.instagram.com/p/BTAZuRHjlxw/","","@Caldwell","#simplertimes #shadows #light #newnan #scout","854126714657624064","https://twitter.com/shepherdfrankel/status/854126714657624064"
