"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"GeorgeSeybold","2017-04-19 20:06","0","0","Love this wall! #nampa #oldtown @Nampa, Idaho https://www.instagram.com/p/BTFGkc_jV1y/","","@Nampa","#nampa #oldtown","854788289181757440","https://twitter.com/GeorgeSeybold/status/854788289181757440"
"JosephDHein","2017-04-15 20:52","0","0","We are crossing over the border and playing at @kenworthypac tonight at 7. @Idaho https://www.instagram.com/p/BS64tzhh_0k/","","@kenworthypac @Idaho","","853350447918104576","https://twitter.com/JosephDHein/status/853350447918104576"
"rplandry1964","2017-04-14 19:43","0","0","I'm at Idaho-Nevada Border in Jackpot, NV https://www.swarmapp.com/c/kp7PeBWQyVR","","","","852970506651402242","https://twitter.com/rplandry1964/status/852970506651402242"
"LegiScanID","2017-04-11 13:16","0","0","S1154 [Passed] Amends existing law to provide that the council may obtain and retain certain criminal justice inf... http://bitly.com/XYuTV3","","","","851785972908007426","https://twitter.com/LegiScanID/status/851785972908007426"
"zebpalmer","2017-04-11 00:31","0","3","In a staring contest with a border collie. Losing. @Nampa, Idaho https://www.instagram.com/p/BSuZs7slNOZ/","","@Nampa","","851593405377503233","https://twitter.com/zebpalmer/status/851593405377503233"
"StyleSpyGirl","2017-04-10 16:47","0","1","The summer wall in pieceunique I can't wait for... So. Much. CUTENESS!!! #PieceUnique https://www.instagram.com/p/BStkod-Bv01/","","","#PieceUnique","851476697031376897","https://twitter.com/StyleSpyGirl/status/851476697031376897"
"Free_Boise","2017-04-09 01:37","0","1","#BoiseFreeStuff Free 1/2 dry wall, moisture and hardy backer (S. Nampa) http://boise.craigslist.org/zip/6080343888.html ","","","#BoiseFreeStuff","850885242965549056","https://twitter.com/Free_Boise/status/850885242965549056"
"justinwjohn","2017-04-06 20:23","0","1","A line down the middle, a wall between. #boise #boiseweeklypic #idaho #idahogram #idahome https://www.instagram.com/p/BSjqJnIlBxz/","","","#boise #boiseweeklypic #idaho #idahogram #idahome","850081457079013383","https://twitter.com/justinwjohn/status/850081457079013383"
"LegiScanID","2017-04-06 00:47","0","0","H0243 [Passed] Adds to existing law to authorize the Department of Labor to request criminal record checks of cer... http://bitly.com/ZXZL7t","","","","849785492413591552","https://twitter.com/LegiScanID/status/849785492413591552"
"MrsJMcNamara1","2017-04-02 00:53","0","0","Great day with Scooby and gang for the Jann's Classic #sv81st https://www.instagram.com/p/BSXRKGAgP4f57NmNvB968-WxWPn9WRbxElTgM40/ ","","","#sv81st","848337642974564352","https://twitter.com/MrsJMcNamara1/status/848337642974564352"
"libbuh","2017-03-31 03:17","0","0","Support your local girl gang. (Also support getting my bangs https://www.instagram.com/p/BSSX_SIAlVT0OPatD8AFWKGt_OjkE1EMW8AOy80/ ","","","","847648980645232641","https://twitter.com/libbuh/status/847648980645232641"
"zeecatering","2017-03-29 23:25","0","2","New wall is done!! #zeechristopher #remodel #ethos @CW Penthouse at C.W. Moore Plaza https://www.instagram.com/p/BSPYm2xhnwy/","","@CW","#zeechristopher #remodel #ethos","847228124253175808","https://twitter.com/zeecatering/status/847228124253175808"
"LegiScanID","2017-03-29 04:16","0","0","S1013 [Passed] Repeals existing law relating to possession of marijuana or drug paraphernalia by a minor, the use... http://bitly.com/XEAo9v","","","","846939107943202817","https://twitter.com/LegiScanID/status/846939107943202817"
"LegiScanID","2017-03-28 10:36","0","0","H0219 [Passed] Appropriates $4,683,700 to the Office of Drug Policy for fiscal year 2018; limits the number of au... http://bitly.com/ZzmNRM","","","","846672370186309633","https://twitter.com/LegiScanID/status/846672370186309633"
"LegiScanID","2017-03-28 00:06","0","0","S1094 [Passed] Amends existing law to provide that a criminal history check on a teacher applicant may be shared ... http://bitly.com/YSIYC0","","","","846513753768300544","https://twitter.com/LegiScanID/status/846513753768300544"
"TheWarlocks","2017-03-27 20:26","1","1","It's a breakfast wrap with awesome gang of peeps. A few shows left boo #treefort #treefort2017 https://www.instagram.com/p/BSJ6ojmh_PY/","","","#treefort #treefort2017","846458524880166912","https://twitter.com/TheWarlocks/status/846458524880166912"
"reptaliensband","2017-03-24 21:00","0","0","@treefortfest! We're playing Neurolux tonight at 7:30 stoked to see all the homies @Border of https://www.instagram.com/p/BSCQCjSDo_O/","","@treefortfest @Border","","845379703062061057","https://twitter.com/reptaliensband/status/845379703062061057"
"BictorLucio","2017-03-20 09:02","0","0","Sushi under the rain overlooking the mountains #boise #idaho #mexicanintheidaho #mexico https://www.instagram.com/p/BR2qu71g2JA/","","","#boise #idaho #mexicanintheidaho #mexico","843749544391294977","https://twitter.com/BictorLucio/status/843749544391294977"
"manosteel70","2017-03-19 23:50","0","0","After ""Assembly Party"" dinner! With the gang (@Andrade's Mexican Food in Boise, ID) https://www.swarmapp.com/c/geOkzxq7934","","@Andrade","","843610732918947841","https://twitter.com/manosteel70/status/843610732918947841"
