"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"AKarazsia21","2017-04-19 14:00","0","3","The gang @Huntington University https://www.instagram.com/p/BTEcu_VBV6SEKmQlkYPbyT1fAdEU9pM2G_YkI00/ ","","@Huntington","","854696292617814017","https://twitter.com/AKarazsia21/status/854696292617814017"
"Abu_Montana","2017-04-19 05:57","0","0","White boys in the gang, call him Andy Milonakis, he won't hesitate https://www.instagram.com/p/BTDlYK9l5-3xBP-sam985Rgu0cIsm2Y-XUGhdY0/ ","","","","854574568505212929","https://twitter.com/Abu_Montana/status/854574568505212929"
"g_michael_salon","2017-04-19 02:00","0","0","Mirror, Mirror on the the wall...Who's the Blondest of them all? This girl! Hair by the https://www.instagram.com/p/BTDKUmJlGcY/","","","","854515098173526017","https://twitter.com/g_michael_salon/status/854515098173526017"
"Bobby_Brown__","2017-04-18 16:48","0","0","Yes thats an Elantra...manual transmission and turbo charged gang @ https://www.instagram.com/p/BTCLLCWFzRHXEm0HlocNgiQdginIz1bZDywHKk0/ ","","@","","854376202001416192","https://twitter.com/Bobby_Brown__/status/854376202001416192"
"Bobby_Brown__","2017-04-18 16:14","0","0","need a new ?? my deals are radioactive gang!! inbox me and lets https://www.instagram.com/p/BTCHQ-9FGGwWE8Hydo89azilwnPpli6p-Fz4fY0/ ","","","","854367606656163840","https://twitter.com/Bobby_Brown__/status/854367606656163840"
"LegiScanIN","2017-04-18 06:56","0","0","SB0055 [Passed] Drug or alcohol screening tests. Expands the definition of ""drug or alcohol screening test"" for ... http://bitly.com/137ikIa","","","","854227088915791873","https://twitter.com/LegiScanIN/status/854227088915791873"
"IndianapolisCP","2017-04-17 15:05","0","0","Indianapolis pastor sentenced to 11.5 years in federal prison for role in multi-state synthetic drug ring http://via.fox59.com/w2xoq","","","","853987689871187968","https://twitter.com/IndianapolisCP/status/853987689871187968"
"PhillipTinsley","2017-04-16 19:37","0","5","Aria's accent wall turned out! #realtor #painting #homeownership #homerenovation @Avon, Indiana https://www.instagram.com/p/BS9U4k7hruE/","","@Avon","#realtor #painting #homeownership #homerenovation","853693863042494464","https://twitter.com/PhillipTinsley/status/853693863042494464"
"lefty_leyman","2017-04-16 18:22","0","0","Happy Easter ft my cousin getting squished against the wall. @Holy Scripture Evangelical https://www.instagram.com/p/BS9MVIdFPh4/","","@Holy","","853675059491328001","https://twitter.com/lefty_leyman/status/853675059491328001"
"BLUEOXPEDITION","2017-04-16 14:02","0","0","This was a cool scooby gang. #spaceballs #robinhoodmenintights #robinhood #latrine #princejohn https://www.instagram.com/p/BS8uicdAQek/","","","#spaceballs #robinhoodmenintights #robinhood #latrine #princejohn","853609539148689409","https://twitter.com/BLUEOXPEDITION/status/853609539148689409"
