"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"LegiScanIA","2017-04-19 15:36","0","0","HF263 [Enroll] A bill for an act relating to the criminal offenses of domestic abuse, harassment, stalking, and u... http://bitly.com/ZgcTEp","","","","854720328026562560","https://twitter.com/LegiScanIA/status/854720328026562560"
"LegiScanIA","2017-04-19 14:26","0","0","SF374 [Enroll] A bill for an act relating to providing legal assistance to indigent persons in criminal proceedin... http://bitly.com/ZwiGEj","","","","854702636540583941","https://twitter.com/LegiScanIA/status/854702636540583941"
"theSchneids12","2017-04-18 03:27","0","4","Can't get enough of these people in my life #gang #Easter https://www.instagram.com/p/BTAvfQVDfYvjAsh1OdpPEU_dputN5PD2HCSIXw0/ ","","","#gang #Easter","854174590498746368","https://twitter.com/theSchneids12/status/854174590498746368"
"KenzPend","2017-04-17 21:11","0","1","Geometry!!!!!! On a wall!!!!! @Meredith Corporation https://www.instagram.com/p/BTAEYc3FaAe/","","@Meredith","","854079792542625797","https://twitter.com/KenzPend/status/854079792542625797"
"ShaniahQ33","2017-04-16 20:16","0","0","""Tell that Bitch, gang isn't afraid to cut her"" - Adora... When his crazy ex wants to try you https://www.instagram.com/p/BS9ZXkrgtvf/","","","","853703724950310914","https://twitter.com/ShaniahQ33/status/853703724950310914"
"NWSDesMoines","2017-04-15 21:16","4","3","Severe Thunderstorm Warning including Lake View IA, Wall Lake IA, Auburn IA until 5:00 PM CDT pic.twitter.com/mmPi7HoJ2n","","","","853356280290967553","https://twitter.com/NWSDesMoines/status/853356280290967553"
"NWSSevereTstorm","2017-04-15 21:16","4","2","Severe Thunderstorm Warning including Lake View IA, Wall Lake IA, Auburn IA until 5:00 PM CDT pic.twitter.com/HyxVWtWipp","","","","853356272938340352","https://twitter.com/NWSSevereTstorm/status/853356272938340352"
"LegiScanIA","2017-04-14 01:56","0","0","HF475 [Passed] A bill for an act relating to the use of a straight wall cartridge rifle to hunt deer and includin... http://bitly.com/WxVVV4","","","","852702082096402436","https://twitter.com/LegiScanIA/status/852702082096402436"
"LegiScanIA","2017-04-14 00:26","0","0","HF52 [Passed] A bill for an act relating to the criminal offense of interference with judicial acts and certain c... http://bitly.com/VNtX5o","","","","852679449602641920","https://twitter.com/LegiScanIA/status/852679449602641920"
"LegiScanIA","2017-04-13 06:56","0","0","SF481 [Engross] A bill for an act relating to the enforcement of immigration laws and providing penalties and re... http://bitly.com/19mjTJT","","","","852415080218099713","https://twitter.com/LegiScanIA/status/852415080218099713"
"LegiScanIA","2017-04-12 00:27","0","0","HF475 [Enroll] A bill for an act relating to the use of a straight wall cartridge rifle to hunt deer and includin... http://bitly.com/WxVVV4","","","","851954820357533697","https://twitter.com/LegiScanIA/status/851954820357533697"
"LegiScanIA","2017-04-11 23:46","0","0","HF52 [Enroll] A bill for an act relating to the criminal offense of interference with judicial acts and certain c... http://bitly.com/VNtX5o","","","","851944481494585344","https://twitter.com/LegiScanIA/status/851944481494585344"
"drgaryandbarb","2017-04-11 12:04","0","0","Mirror, Mirror on the Wall http://www.americasfamilycoaches.com/podcast/2017/4/11/mirror-mirror-on-the-wall ","","","","851767940806569986","https://twitter.com/drgaryandbarb/status/851767940806569986"
"BenChoiZ","2017-04-09 21:30","0","0","The newest member of my gang, introducing Charlie lol @West Cedar https://www.instagram.com/p/BSrgSHngXS2C1Hns7qdbbpZCOXGRUgHvpt-zBY0/ ","","@West","","851185651689148421","https://twitter.com/BenChoiZ/status/851185651689148421"
"xprinceofsunx","2017-04-09 00:41","0","0","My current Doc's (drug of choice)... @Waterloo East High School https://www.instagram.com/p/BSpRTEzjqJL/","","@Waterloo","","850871228701315072","https://twitter.com/xprinceofsunx/status/850871228701315072"
"WilliamPennU","2017-04-08 23:57","1","2","We bring you a full house packed from wall to wall for the 2017 Navy & Gold Gala! Our goal is to https://www.instagram.com/p/BSpMSZQl6UP/","","","","850860213045473281","https://twitter.com/WilliamPennU/status/850860213045473281"
"BenChoiZ","2017-04-08 21:39","0","0","Aaand my gang is complete lol Winnie and Charlie best little furry https://www.instagram.com/p/BSo8hNEApzPV9eMijMKxMfNvz6LL9FqVoiY8HQ0/ ","","","","850825530832285696","https://twitter.com/BenChoiZ/status/850825530832285696"
"Real_JUDAH12","2017-04-05 02:05","0","2","""2 cups, toast up wit the gang. From food stamps to a whole nother https://www.instagram.com/p/BSfHtcoF6H0uypyHXYrK_00DhdEfw4Zi4ZcInA0/ ","","","","849442772654448640","https://twitter.com/Real_JUDAH12/status/849442772654448640"
"herheartland","2017-04-05 01:27","0","1","I love a good wall mural. This one in Des Moines is so colorful and fun! @Des Moines, Iowa https://www.instagram.com/p/BSfDam1h44P/","","@Des","","849433331477487617","https://twitter.com/herheartland/status/849433331477487617"
