"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"spotternetwork","2017-04-19 23:44","2","1","Spotr 2 miles WNW of ELLSWORTH, KS @23:44 UTC Rotating Wall Cloud>-4 miles WNW of Ellsworth","","@23","","854843298552348672","https://twitter.com/spotternetwork/status/854843298552348672"
"j5uliana","2017-04-19 18:03","0","0","I'm at Little Mexico in Lindsborg, KS https://www.swarmapp.com/c/e8RuUt04Dox","","","","854757455586365442","https://twitter.com/j5uliana/status/854757455586365442"
"pauljeffersonks","2017-04-18 15:54","0","0","I'm at Rock Wall At Ambler Student Recreational Facility in Lawrence, KS https://www.swarmapp.com/c/lA0q5UGrrnN","","","","854362608304103424","https://twitter.com/pauljeffersonks/status/854362608304103424"
"dblakesmart","2017-04-17 22:49","0","4","NEVER BOOK THE LAST FLIGHT OUT OF A SMALL AIRPORT! #iknowbetter #drivehard @Kansas/Oklahoma Border https://www.instagram.com/p/BTAPrvMgKkD/","","@Kansas","#iknowbetter #drivehard","854104636671832065","https://twitter.com/dblakesmart/status/854104636671832065"
"Official_BMO","2017-04-17 18:54","0","1","Make America Hippy Again . . . . . #america #sunset #hippy #modernhippy #bmo https://www.instagram.com/p/BS_0ubujYA7/","","","#america #sunset #hippy #modernhippy #bmo","854045357248000001","https://twitter.com/Official_BMO/status/854045357248000001"
"pauljeffersonks","2017-04-17 15:28","0","0","I'm at Rock Wall At Ambler Student Recreational Facility in Lawrence, KS https://www.swarmapp.com/c/eA900WvqzML","","","","853993694977982464","https://twitter.com/pauljeffersonks/status/853993694977982464"
"spotternetwork","2017-04-16 03:42","0","0","Spotr 5 miles W of CENTERVIEW, KS @03:41 UTC Rotating Wall Cloud>-Wall cloud w/ visible funnel","","@03","","853453558624256000","https://twitter.com/spotternetwork/status/853453558624256000"
"spotternetwork","2017-04-16 03:41","0","0","Evnt 0 miles SW of KINSLEY, KS @03:41 UTC Funnel>-Wall cloud w/ visible funnel","","@03","","853453353866678273","https://twitter.com/spotternetwork/status/853453353866678273"
"spotternetwork","2017-04-16 03:27","0","1","Evnt 7 miles WNW of CENTERVIEW, KS @03:26 UTC Funnel>-Can see wall cloud w/ funnel in lightning flashes","","@03","","853449736329859072","https://twitter.com/spotternetwork/status/853449736329859072"
"spotternetwork","2017-04-16 00:53","2","2","Spotr 1 miles S of PROTECTION, KS @00:52 UTC Not Rotating Wall Cloud>-Wall cloud forming unable to tell if it is rotating.","","@00","","853410881891336192","https://twitter.com/spotternetwork/status/853410881891336192"
"spotternetwork","2017-04-16 00:31","6","0","Spotr 3 miles W of PROTECTION, KS @00:29 UTC Hail (1.00"")>-Wall cloud forming SSE of my location","","@00","","853405353324752896","https://twitter.com/spotternetwork/status/853405353324752896"
"j5uliana","2017-04-14 19:48","0","0","I'm at Little Mexico in Lindsborg, KS https://www.swarmapp.com/c/gObBWXWrYtG","","","","852971764363800576","https://twitter.com/j5uliana/status/852971764363800576"
"MastonSeth","2017-04-14 19:39","0","2","All custom like we on the border. #NightLite #bkirk @Alva, Oklahoma https://www.instagram.com/p/BS2wlibBGQdL4QvoDf_AQqFaq-0hdDsxPC3puE0/ ","","@Alva","#NightLite #bkirk","852969636329136129","https://twitter.com/MastonSeth/status/852969636329136129"
"cbd_wichita","2017-04-14 18:02","0","0","Its fun to change it up and walk over to the whiteboard wall to express our thoughts on https://www.instagram.com/p/BS4Aaw9ga7t/","","","","852945170412838912","https://twitter.com/cbd_wichita/status/852945170412838912"
"pauljeffersonks","2017-04-14 16:30","0","0","I'm at Rock Wall At Ambler Student Recreational Facility in Lawrence, KS https://www.swarmapp.com/c/53BCpgzW7ix","","","","852922026696298496","https://twitter.com/pauljeffersonks/status/852922026696298496"
"j5uliana","2017-04-13 21:29","0","0","I'm at Little Mexico in Lindsborg, KS https://www.swarmapp.com/c/i3VrdNNdKsN","","","","852634818500284417","https://twitter.com/j5uliana/status/852634818500284417"
