"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"KydTheGreat","2017-04-19 21:29","1","1","Your Favorite Gang Back Saturday #LevelNightLife Girls Want To https://www.instagram.com/p/BTFQC84jl7CKNaAvJzDXh4MjIVYFtwYeDYJu6E0/ ","","","#LevelNightLife","854809168691200001","https://twitter.com/KydTheGreat/status/854809168691200001"
"KydTheGreat","2017-04-19 21:09","0","0","Gang Gang #GWTHF3 Saturday #LevelNightLife @Clifton, Cincinnati https://www.instagram.com/p/BTFNyb8DEkgKeuNx3FNxCNTkepvaDU80p4AEfo0/ ","","@Clifton","#GWTHF3 #LevelNightLife","854804160277090304","https://twitter.com/KydTheGreat/status/854804160277090304"
"CirqueLouisCo","2017-04-19 20:17","0","2","The whole gang backstage @The Kentucky Center for the Performing Arts https://www.instagram.com/p/BTFHyFaAO4x/","","@The","","854790957618933762","https://twitter.com/CirqueLouisCo/status/854790957618933762"
"foururockey","2017-04-19 18:18","0","0","-The trade mark breakfast of ""the traveling sisco""- #mexico #yummy https://www.instagram.com/p/BTE6RUaFXfw1FzEa4CA33m4nbya43mYirWjTAs0/ ","","","#mexico #yummy","854761247002284032","https://twitter.com/foururockey/status/854761247002284032"
"JerichoWoods","2017-04-19 03:50","0","0","Good time gang! #meetingoftheminds #jerichowoods #kentucky #woodshed @Kentucky https://www.instagram.com/p/BTDW3iMFunW/","","@Kentucky","#meetingoftheminds #jerichowoods #kentucky #woodshed","854542655677751296","https://twitter.com/JerichoWoods/status/854542655677751296"
"zachfullface","2017-04-19 02:29","0","0","#270 wall splat thing. #olliesskatepark @olliesskatepark #fitbmx @justinspriet7 #bmx #fun https://www.instagram.com/p/BTDNmL4BkR4/","","@olliesskatepark @justinspriet7","#270 #olliesskatepark #fitbmx #bmx #fun","854522262648532993","https://twitter.com/zachfullface/status/854522262648532993"
"KydTheGreat","2017-04-19 02:00","0","0","I Pray For My Enemies Try The Gang If You Want To.. CC: https://www.instagram.com/p/BTDKUJKj4ob6YCPnYRSnP5nq7saYoM06Pu1nro0/ ","","","","854515054980497412","https://twitter.com/KydTheGreat/status/854515054980497412"
"timwhiteprevent","2017-04-18 18:06","0","1","Attending the 10th Annual Cabell Co Drug Summit. @Memorial Student Center (MSC) at Marshall https://www.instagram.com/p/BTCUFxtDegg/","","@Memorial","","854395806887161856","https://twitter.com/timwhiteprevent/status/854395806887161856"
"Kdevone","2017-04-18 12:42","0","0","Completely in love with this top and the colorful wall behind me! . . This look is now live on https://www.instagram.com/p/BTBu_Tnloon/","","","","854314238248185857","https://twitter.com/Kdevone/status/854314238248185857"
"AthVol","2017-04-17 19:15","0","0","I get to take my random drug test here! (at @LondonAutoTruck Center in London, KY) https://www.swarmapp.com/c/1Ks3tocDMJL","","@LondonAutoTruck","","854050609200279552","https://twitter.com/AthVol/status/854050609200279552"
"PDeezay","2017-04-16 22:01","0","0","A whole lot of gang ish thank you to everyone that came out @deasiamoniquee @kclassy_osu https://www.instagram.com/p/BS9lU6JjHzJ/","","@deasiamoniquee @kclassy_osu","","853730021487280128","https://twitter.com/PDeezay/status/853730021487280128"
"PDeezay","2017-04-16 21:58","0","0","A whole lot of gang ish thank you guys for coming out and everyone else @aye_okaye https://www.instagram.com/p/BS9k-4IDWZD/","","@aye_okaye","","853729264562262018","https://twitter.com/PDeezay/status/853729264562262018"
"_chrischandler","2017-04-15 14:45","0","0","The dab Gummy bears injected with heroin Gummy bears soaked in vodka Shoes w/ hidden drug compartments Shirts w/ hidden drug compartments","","","","853257950261121028","https://twitter.com/_chrischandler/status/853257950261121028"
"_chrischandler","2017-04-15 14:42","0","1","A lady I work with took a drug awareness class. ""410 is a code kids use--thats when school is out. 410 means it's time for a pot party.""","","","","853257260063174659","https://twitter.com/_chrischandler/status/853257260063174659"
"E_SmithJR","2017-04-14 23:20","0","0","It's been a while since we've had a Friday night dinner out. I love this gang! Yes our waitress https://www.instagram.com/p/BS4kzSwlR6R/","","","","853025188824453120","https://twitter.com/E_SmithJR/status/853025188824453120"
"MrChevy502","2017-04-14 21:56","0","0","Anyone who knows me knows I hate bugs but I like looking at them Found this on the wall https://www.instagram.com/p/BS4bKxjlU3e/","","","","853003999322288130","https://twitter.com/MrChevy502/status/853003999322288130"
