"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"CelticVixxen","2017-04-19 21:16","0","0","I'm at @Montereys Little Mexico in Humble, TX https://www.swarmapp.com/c/c5xcHjVtQKL","","@Montereys","","854805881099350016","https://twitter.com/CelticVixxen/status/854805881099350016"
"VegasNewOrleans","2017-04-19 20:45","0","0","Stance is joining our wall of underpants!!! #vegasnola #stanceunderwear #theuncommonthread https://www.instagram.com/p/BTFLDy6gQyY/","","","#vegasnola #stanceunderwear #theuncommonthread","854798155384311809","https://twitter.com/VegasNewOrleans/status/854798155384311809"
"LegiScanLA","2017-04-19 01:16","0","0","SB76 [Engross] Provides for venue in certain criminal cases. (gov sig) http://bitly.com/15RjG9f","","","","854503825830535169","https://twitter.com/LegiScanLA/status/854503825830535169"
"t_owen","2017-04-18 19:19","0","1","Joined the @matterport gang today. #matterport #3dscan #pointcloud @Hi Tech Electric https://www.instagram.com/p/BTCccZHAtvg/","","@matterport @Hi","#matterport #3dscan #pointcloud","854414173270421505","https://twitter.com/t_owen/status/854414173270421505"
"sharon_alvar","2017-04-18 03:15","0","0","from endless walks in the French Quarter, to endless swims in the Gulf of Mexico, to nonstop https://www.instagram.com/p/BTAuEfEhTrM/","","","","854171463347195904","https://twitter.com/sharon_alvar/status/854171463347195904"
"Tony_Anobile","2017-04-18 01:35","0","0","Oh yeah..... Home finally! #TexasStrong #HoustonBound #CollegeRoadTrip @Texas Louisiana Border https://www.instagram.com/p/BTAisZFF4Jk/","","@Texas","#TexasStrong #HoustonBound #CollegeRoadTrip","854146449302364160","https://twitter.com/Tony_Anobile/status/854146449302364160"
"Andi_Lynns","2017-04-17 22:00","0","0","The gang's all here. Spring Blend and Pure Blend Elderberry Syrup along with Louisiana Fire https://www.instagram.com/p/BTAJ_Znjlen/","","","","854092121216872449","https://twitter.com/Andi_Lynns/status/854092121216872449"
"dearlydimples","2017-04-17 18:24","0","0","It's not easy lifting weights.. . Almost blending in with the wall here.. Lol #ICECREAM https://www.instagram.com/p/BS_roPvlrQ_/","","","#ICECREAM","854037964455895040","https://twitter.com/dearlydimples/status/854037964455895040"
"dearlydimples","2017-04-17 17:34","0","0","Almost blending in with the wall.. Lol #ICECREAM #RedVelvet #IcecreamFanatic #MaryEats https://www.instagram.com/p/BS_roPvlrQ_/","","","#ICECREAM #RedVelvet #IcecreamFanatic #MaryEats","854025358575894528","https://twitter.com/dearlydimples/status/854025358575894528"
"Ryannnn_13","2017-04-17 16:00","0","2","they call us ranch cuz we be dressin' @Gulf Of Mexico Carnival Cruise https://www.instagram.com/p/BS_g4OiAbPw/","","@Gulf","","854001714516684800","https://twitter.com/Ryannnn_13/status/854001714516684800"
