"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"CreepyHorrorGal","2017-04-19 16:54","0","0","34 YEAR OLD BLOND RUSSIAN WOMAN STABBED IN NECK BY 17 YEAR OLD DRUG https://www.instagram.com/p/BTEwolCBgOA19LvnpUTqAqpmRByDp6SM_tgD_40/ ","","","","854740049975402496","https://twitter.com/CreepyHorrorGal/status/854740049975402496"
"CreepyHorrorGal","2017-04-19 05:00","0","0","Just in case anyone is thinking about using the new street drug https://www.instagram.com/p/BTDe9SDhEwNb2CRFVln1SXakkaOA4_rzdjQsgg0/ ","","","","854560437274255360","https://twitter.com/CreepyHorrorGal/status/854560437274255360"
"Fidelco4Ever","2017-04-18 14:05","0","0","2 antibiotics later. (@Carroll Drug Store Inc in Southwest Harbor, ME) https://www.swarmapp.com/c/h5v4U0FTfdE","","@Carroll","","854335116067442688","https://twitter.com/Fidelco4Ever/status/854335116067442688"
"LegiScanME","2017-04-12 15:26","0","1","LD1407 [Enroll] An Act Regarding Prescription Drug Step Therapy http://bitly.com/12Rgt9X","","","","852181095235940353","https://twitter.com/LegiScanME/status/852181095235940353"
"LegiScanME","2017-04-12 09:06","0","0","LD1376 [Engross] An Act To Remove Barriers to Workforce Development in Alcohol and Drug Counseling and To Increa... http://bitly.com/16IYEMt","","","","852085520117137408","https://twitter.com/LegiScanME/status/852085520117137408"
"LegiScanME","2017-04-12 08:36","0","0","LD1375 [Engross] An Act To Prevent Overdose Deaths and Infectious Diseases by Establishing Safer Drug Use Facili... http://bitly.com/16J0g8Z","","","","852077932176707584","https://twitter.com/LegiScanME/status/852077932176707584"
"LegiScanME","2017-04-12 00:06","0","0","LD1395 [Engross] Resolve, To Name the Bridge over the Androscoggin River between the Towns of Peru and Mexico th... http://bitly.com/16NKyre","","","","851949605889638400","https://twitter.com/LegiScanME/status/851949605889638400"
"LegiScanME","2017-04-11 21:06","0","0","LD1403 [Enroll] An Act Regarding Drug Testing in the Transportation Sector http://bitly.com/ZdcjZS","","","","851904434649133064","https://twitter.com/LegiScanME/status/851904434649133064"
"Tonystlouis666","2017-04-08 16:34","0","0","My new wall #majikninjaentertainment #twiztid @50 Pembroke Drive Apt.3 https://www.instagram.com/p/BSoZkTKjshi/","","@50","#majikninjaentertainment #twiztid","850748671117451264","https://twitter.com/Tonystlouis666/status/850748671117451264"
"LegiScanME","2017-04-08 07:36","0","0","LD1375 [NEW] An Act To Prevent Overdose Deaths and Infectious Diseases by Establishing Safer Drug Use Facilities http://bitly.com/16J0g8Z","","","","850613207098109952","https://twitter.com/LegiScanME/status/850613207098109952"
"LegiScanME","2017-04-08 03:46","0","0","LD1376 [NEW] An Act To Remove Barriers to Workforce Development in Alcohol and Drug Counseling and To Increase t... http://bitly.com/16IYEMt","","","","850555342438240256","https://twitter.com/LegiScanME/status/850555342438240256"
"LegiScanME","2017-04-08 02:46","0","0","LD1406 [NEW] An Act To Promote Prescription Drug Price Transparency http://bitly.com/Zd9xnI","","","","850540209573957632","https://twitter.com/LegiScanME/status/850540209573957632"
"LegiScanME","2017-04-08 01:06","0","0","LD1407 [NEW] An Act Regarding Prescription Drug Step Therapy http://bitly.com/12Rgt9X","","","","850515150159347712","https://twitter.com/LegiScanME/status/850515150159347712"
"LegiScanME","2017-04-07 20:36","0","0","LD1403 [NEW] An Act Regarding Drug Testing in the Transportation Sector http://bitly.com/ZdcjZS","","","","850447282650656768","https://twitter.com/LegiScanME/status/850447282650656768"
"LegiScanME","2017-04-07 09:56","0","0","LD1395 [NEW] Resolve, To Name the Bridge over the Androscoggin River between the Towns of Peru and Mexico the Bu... http://bitly.com/16NKyre","","","","850286049439993857","https://twitter.com/LegiScanME/status/850286049439993857"
"LegiScanME","2017-04-07 08:06","0","0","LD1333 [Engross] An Act To Enact the Drug Trafficking Offender Registration and Notification Act http://bitly.com/Xeg7cJ","","","","850258443462074374","https://twitter.com/LegiScanME/status/850258443462074374"
"LegiScanME","2017-04-06 21:36","0","0","LD1280 [Enroll] An Act Regarding Generic Drug Pricing http://bitly.com/1743uVM","","","","850099865845739520","https://twitter.com/LegiScanME/status/850099865845739520"
"LegiScanME","2017-04-06 07:36","0","0","LD1333 [NEW] An Act To Enact the Drug Trafficking Offender Registration and Notification Act http://bitly.com/Xeg7cJ","","","","849888432520343552","https://twitter.com/LegiScanME/status/849888432520343552"
"LegiScanME","2017-03-31 00:16","0","0","LD1280 [NEW] An Act Regarding Generic Drug Pricing http://bitly.com/1743uVM","","","","847603436476448771","https://twitter.com/LegiScanME/status/847603436476448771"
"downeastdrifter","2017-03-29 15:42","0","0","Lunch (@Great Wall Buffet in Augusta, ME) https://www.swarmapp.com/c/7NSgX0fRCpn","","@Great","","847111729079308288","https://twitter.com/downeastdrifter/status/847111729079308288"
"LegiScanME","2017-03-29 02:26","0","0","LD1189 [Engross] An Act To Define the Age of Consent for Alcohol or Drug Treatment and Mental Health Services http://bitly.com/YugYGF","","","","846911299976151040","https://twitter.com/LegiScanME/status/846911299976151040"
