"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"PhilReidMI","2017-04-19 23:48","0","0","Emily Duthinth talks about immigration reform for the NODC @Clarkston Union Bar & Kitchen https://www.instagram.com/p/BTFf_sUjf64/","","@Clarkston","","854844197593116673","https://twitter.com/PhilReidMI/status/854844197593116673"
"PhilReidMI","2017-04-19 23:43","0","0","Ken Fouty talks about immigration for the NODC @Clarkston Union Bar & Kitchen https://www.instagram.com/p/BTFfbzQDEVQ/","","@Clarkston","","854842964253790208","https://twitter.com/PhilReidMI/status/854842964253790208"
"LegiScanMI","2017-04-19 22:36","0","0","HB4487 [NEW] Criminal procedure; sentencing guidelines; sentencing guidelines for crimes of third degree and four... http://bitly.com/WoQkyB","","","","854825946372820992","https://twitter.com/LegiScanMI/status/854825946372820992"
"jakemayphoto","2017-04-19 21:14","0","0","Portraits of past mayors stare on from the wall as nearly 100 residents listen with occasional https://www.instagram.com/p/BTFOZFAhHou/","","","","854805486616563712","https://twitter.com/jakemayphoto/status/854805486616563712"
"_ScottyKnows_","2017-04-19 15:02","0","0","imagine 3 families in Mexico. With all three families having 1 https://www.instagram.com/p/BTEj0BQgHVaDFm9wat2rC2LyP7jWAtOcEPM5Z00/ ","","","","854711859957698562","https://twitter.com/_ScottyKnows_/status/854711859957698562"
"DbnBikerChick","2017-04-19 14:02","0","0","I made the @khdabaja Wall of Fame! We love #biggbycoffee #bikedearborn @Southeast Michigan Biggby https://www.instagram.com/p/BTEc7SEARWL/","","@khdabaja @Southeast","#biggbycoffee #bikedearborn","854696717194756096","https://twitter.com/DbnBikerChick/status/854696717194756096"
"moeqasim","2017-04-19 04:57","0","0","#DEARBORN (TCD) | LIVE FROM THE SCENE from what appears to be a car chase and drug bust on Dix https://www.instagram.com/p/BTDei12FhlR/","","","#DEARBORN","854559535285108736","https://twitter.com/moeqasim/status/854559535285108736"
"MariusSose","2017-04-19 03:07","0","0","@lions Voluntaey offseason workouts started today! Lion Gang! @marvinjonesjr @ameerguapo https://www.instagram.com/p/BTDR9pohQBd/","","@lions @marvinjonesjr @ameerguapo","","854531872738627585","https://twitter.com/MariusSose/status/854531872738627585"
"Gulopine","2017-04-19 01:51","0","0","Q: where can I buy me some wall carpet???","","","","854512762575347713","https://twitter.com/Gulopine/status/854512762575347713"
"blancagolca","2017-04-18 21:50","0","0","Flags #mexico #canada #usa #weavingflags #detroit @Michigan Secretary of State's Office https://www.instagram.com/p/BTCtunxhE3U/","","@Michigan","#mexico #canada #usa #weavingflags #detroit","854452184557146112","https://twitter.com/blancagolca/status/854452184557146112"
"Smokeeyy13","2017-04-18 15:45","0","0","Wall E Coyote just dropped by Georgia on 1-20! #lmao @Ak Steel https://www.instagram.com/p/BTCD7zkjGR465aQ-p3M9T8N24oLknw5Gr2FCrk0/ ","","@Ak","#lmao","854360283044868099","https://twitter.com/Smokeeyy13/status/854360283044868099"
"DetroitCP","2017-04-18 09:49","0","0","Immigration officials have issued a temporary stay on orders to deport ex-con Nahidh Shaou http://detne.ws/2oPH379","","","","854270686067441664","https://twitter.com/DetroitCP/status/854270686067441664"
"amsr","2017-04-18 03:43","0","0","KQEDs Forum: Wall Street Embraces Tesla  But Will American Drivers Follow? https://overcast.fm/+wRQaceZU","","","","854178609577304064","https://twitter.com/amsr/status/854178609577304064"
"Gulopine","2017-04-18 02:46","0","0","sorry I couldnt find anything definitive on the wall carpet. I never got around to making phone calls, though.","","","","854164127933136896","https://twitter.com/Gulopine/status/854164127933136896"
"BiancaChristine","2017-04-18 01:13","0","0","Part of my new #kitchen in the #newhouse! The wall color is #SherwinWilliams in #Waterscape https://www.instagram.com/p/BTAgIANFnTw/","","","#kitchen #newhouse #SherwinWilliams #Waterscape","854140801093382144","https://twitter.com/BiancaChristine/status/854140801093382144"
"scottrheath","2017-04-18 00:12","0","0","#ICE #Immigration #Batman #Superman #EmperorTrump #Trump #DCComics @Charlie's Tavern http://ln.is/www.instagram.com/p/fTOql ","","@Charlie","#ICE #Immigration #Batman #Superman #EmperorTrump #Trump #DCComics","854125399659380736","https://twitter.com/scottrheath/status/854125399659380736"
"doit4t1","2017-04-17 20:21","1","2","Graduation wall complete! T-minus 12 days till I strut across the https://www.instagram.com/p/BS_-wt_BdXjP0gRZZyz88eZK-j6pFtGjLpROQU0/ ","","","","854067427100868608","https://twitter.com/doit4t1/status/854067427100868608"
"jacob_schmitt","2017-04-17 01:17","0","1","Jamaica and Mexico may be warm but Michigan is my home @Crystal Lake https://www.instagram.com/p/BS971i6hzA1COMMSFPX42_kAZdyx-JTXV82Ee80/ ","","@Crystal","","853779523434717185","https://twitter.com/jacob_schmitt/status/853779523434717185"
"LOLarkin","2017-04-16 20:10","0","1","hppy easter from dad and me since mom and huey ditched us for mexico :( @Peterlin's https://www.instagram.com/p/BS9YoX_lDNC/","","@Peterlin","","853702108339732480","https://twitter.com/LOLarkin/status/853702108339732480"
"NickySplinta24","2017-04-16 19:33","0","0","Best thing about cross border road trips. #dutyfree @Bluewater Bridge, Sarnia / Port Huron https://www.instagram.com/p/BS9Ua8SjdkP/","","@Bluewater","#dutyfree","853692845013835776","https://twitter.com/NickySplinta24/status/853692845013835776"
"JimHaadsma","2017-04-16 01:09","0","0","Shadows On A Cave Wall. @Battle Creek, Michigan https://www.instagram.com/p/BS7WE7JgK6i/","","@Battle","","853415011145973760","https://twitter.com/JimHaadsma/status/853415011145973760"
"4637GrindGang","2017-04-15 23:24","0","1","(Grind Gang) chino.binladen ft MTG Trey and (Grind Gang) lueyhussein - Money To Be Made https://www.instagram.com/p/BS7KD7ZAXG1/","","","","853388635240112128","https://twitter.com/4637GrindGang/status/853388635240112128"
"BrockWager","2017-04-15 20:11","0","1","Hey there, 'Merica (@Canada & United States Border in Point Edward, Ontario) https://www.swarmapp.com/c/lkZLtVjdUsa","","@Canada","","853339904440487936","https://twitter.com/BrockWager/status/853339904440487936"
"KristinGPhoto","2017-04-15 18:12","0","0","Project Gallery Wall complete! Damn those symmetrical lines look goooood. And, Larry https://www.instagram.com/p/BS6mY3xlhJO/","","","","853310153235599361","https://twitter.com/KristinGPhoto/status/853310153235599361"
"danceteachertap","2017-04-15 02:39","0","0","Boys with #unclejack @US-CANADIAN BORDER CROSSING https://www.instagram.com/p/BS47l5aFnbuP73bZXcte4Ggh43ge_7T5d3q-Fs0/ ","","@US","#unclejack","853075301517201408","https://twitter.com/danceteachertap/status/853075301517201408"
"FoxworthyZack","2017-04-15 02:34","0","0","The whole gang is here! Joey looks more Asian than me in this picture, don't you just hate it https://www.instagram.com/p/BS469DVhEer/","","","","853073902662070273","https://twitter.com/FoxworthyZack/status/853073902662070273"
"DetroitCP","2017-04-15 01:40","0","0","Drug dealer White Boy Rick up for parole again http://detne.ws/2pBe9VA","","","","853060336638861312","https://twitter.com/DetroitCP/status/853060336638861312"
"DetroitCP","2017-04-15 00:15","0","0","Detroit immigrant dad deported to Mexico, split from family http://on.freep.com/2ogaFqj","","","","853038940923731968","https://twitter.com/DetroitCP/status/853038940923731968"
"DetroitCP","2017-04-14 21:23","0","0","A movie about notorious Detroit drug kingpin White Boy Rick is looking for actors http://detne.ws/2pBo8dl","","","","852995671196028928","https://twitter.com/DetroitCP/status/852995671196028928"
"BravesRBoss","2017-04-14 20:55","0","0","Yeah. That way #bridgetocanada @US-CANADIAN BORDER CROSSING https://www.instagram.com/p/BS4UQDyjlA6tcGFhur7Y_1pO3OxhbUwyjxNAEk0/ ","","@US","#bridgetocanada","852988783050051585","https://twitter.com/BravesRBoss/status/852988783050051585"
"DetroitCP","2017-04-14 20:31","0","0","Mario of Detroit was deported today. He's in Mexico now. Just spoke with him by phone. http://toplocalnow.com/us/detroit/at/16 ","","","","852982565099024384","https://twitter.com/DetroitCP/status/852982565099024384"
"TotalTrafficDET","2017-04-14 19:32","0","0","Accident in #InghamCounty on I-96 EB before Ingham--Livingston Cnty Border #traffic http://bit.ly/14JZZ7f","","","#InghamCounty #traffic","852967720396218368","https://twitter.com/TotalTrafficDET/status/852967720396218368"
"NordinBrothers","2017-04-14 12:08","0","1","Donor Wall for Henry Ford Neuroscience Institute we created. The art piece speaks of a neural https://www.instagram.com/p/BS3X47lDOWl/","","","","852856050659328000","https://twitter.com/NordinBrothers/status/852856050659328000"
"NoahXArts","2017-04-13 22:48","0","0","Iron worker portrait beautiful #labor #mustseeinperson #mural #diegorivera #mexico... https://www.swarmapp.com/c/l5uI8oMsbKC pic.twitter.com/eqo3Bim2cZ","","","#labor #mustseeinperson #mural #diegorivera #mexico","852654844687134720","https://twitter.com/NoahXArts/status/852654844687134720"
"NoahXArts","2017-04-13 22:40","0","0","Beautiful #mustseeinperson Detroit Industry #mural #diegorivera #mexico #mjico... https://www.swarmapp.com/c/6qJW5J7EE12 pic.twitter.com/r8HtXs58l4","","","#mustseeinperson #mural #diegorivera #mexico #mjico","852652657219121156","https://twitter.com/NoahXArts/status/852652657219121156"
"DetroitCP","2017-04-13 20:56","1","0","Canada introduces legislation to legalize weed. Will there be a run for the border? http://detne.ws/2pb1s7c","","","","852626490625638400","https://twitter.com/DetroitCP/status/852626490625638400"
"petermilne","2017-04-13 09:56","0","0","Unknown Artist | Wall Painting of Eleanor of Aquitaine, ca 1170-1200 @VCAM Conferences https://www.instagram.com/p/BS0j--wDubl/","","@VCAM","","852460430664638464","https://twitter.com/petermilne/status/852460430664638464"
"rockpaperMI","2017-04-13 02:19","0","0","New cavallinipapers wrap and wall art! We love these new designs! #annarbor #michigan #shoplocal https://www.instagram.com/p/BSzvu-2jMHQ/","","","#annarbor #michigan #shoplocal","852345532244799490","https://twitter.com/rockpaperMI/status/852345532244799490"
"mrtonylewisjr","2017-04-12 22:11","0","1","Explaining to University of Michigan students how families are subjected to a random drug https://www.instagram.com/p/BSzTUeYFoy8/","","","","852283051707174912","https://twitter.com/mrtonylewisjr/status/852283051707174912"
"4637GrindGang","2017-04-12 21:52","0","0","Quick Tour of ""the Grind Gang Studio"" more updates Coming soon studio should be complete by the https://www.instagram.com/p/BSzRE5yANJ8/","","","","852278150037987329","https://twitter.com/4637GrindGang/status/852278150037987329"
"Polk_World","2017-04-12 21:30","0","0","Open gym #ynot @Oakland Community College- Criminal Justice Building https://www.instagram.com/p/BSzOmzsh5HKhz7dbXv4eAgx5jlQdpSZ-WlZ0jY0/ ","","@Oakland","#ynot","852272684977106944","https://twitter.com/Polk_World/status/852272684977106944"
"DetroitCP","2017-04-12 21:29","0","0","Tigers Romine spoke minutes ago about his grand slam and getting drug tested right after the game http://toplocalnow.com/us/detroit/at/16 ","","","","852272387131297792","https://twitter.com/DetroitCP/status/852272387131297792"
"MADEnMICHSTORE","2017-04-12 15:12","0","0","Come in and check out our 50% off wall like this lightweight kangaroo hoodie #madeinmich https://www.instagram.com/p/BSyja2mjCix/","","","#madeinmich","852177713821569026","https://twitter.com/MADEnMICHSTORE/status/852177713821569026"
"cyborwhat","2017-04-12 14:35","0","0","http://NicolesNiftyShop.com Add an eye catching art canvas to your living room wall #artsyfartsy https://www.instagram.com/p/BSyfJSQh2Qv/","","","#artsyfartsy","852168316110028801","https://twitter.com/cyborwhat/status/852168316110028801"
"cyborwhat","2017-04-12 14:33","0","0","http://NicolesNiftyShop.com Add an abstract art canvas to your living room wall #artsyfartsy https://www.instagram.com/p/BSye7S1hTW_/","","","#artsyfartsy","852167835358969858","https://twitter.com/cyborwhat/status/852167835358969858"
"kenziesettles","2017-04-12 02:21","0","0","It's just a brick wall @Lyon Street Caf https://www.instagram.com/p/BSxLIKhhrup/","","@Lyon","","851983558574866432","https://twitter.com/kenziesettles/status/851983558574866432"
"pluskateboardin","2017-04-12 01:50","0","0","Painting over this tonight. I Sharpied this on the wall of the stairwell 14 years ago. Every https://www.instagram.com/p/BSxHjBbFSg4/","","","","851975689825898497","https://twitter.com/pluskateboardin/status/851975689825898497"
"SocialDanWebber","2017-04-12 00:58","0","0","Steelhead Trout Wall. Good eating. @Steve & Rocky's https://www.instagram.com/p/BSxBnZpj2_s/","","@Steve","","851962638267547648","https://twitter.com/SocialDanWebber/status/851962638267547648"
"djmoppy","2017-04-11 19:01","0","0","Detroit/Chicago/Korea/Poland Girl Gang! #Detroit #vinyl #dj #music #nightlife @Woodbridge Pub https://www.instagram.com/p/BSwYxtjg_I-/","","@Woodbridge","#Detroit #vinyl #dj #music #nightlife","851872844325769217","https://twitter.com/djmoppy/status/851872844325769217"
"EMERYJONES_87","2017-04-10 18:39","0","0","@em_jxdope x the.yellow.wall x @EMERYJONES_87 @Eastern Market Corporation https://www.instagram.com/p/BStxaxCFPRM/","","@em_jxdope @EMERYJONES_87 @Eastern","","851504820515213312","https://twitter.com/EMERYJONES_87/status/851504820515213312"
"EMERYJONES_87","2017-04-10 18:34","0","0","~ good tymes yesterday catching up with my fam the.yellow.wall @Eastern Market Corporation https://www.instagram.com/p/BStw8eolge-/","","@Eastern","","851503775114244096","https://twitter.com/EMERYJONES_87/status/851503775114244096"
"SHHealthBeat","2017-04-10 17:35","0","0","Naomi brings out a bucket of chalk and colors the scalloped concrete border of the garden https://www.instagram.com/p/BStqGk-APKF/","","","","851488725276262400","https://twitter.com/SHHealthBeat/status/851488725276262400"
"tribfare","2017-04-10 16:57","0","1","How cute are these little guys?! Artisan treasures from a recent trip to Mexico. Stop by and https://www.instagram.com/p/BStlxtHA_QK/","","","","851479211084832768","https://twitter.com/tribfare/status/851479211084832768"
"tribfare","2017-04-10 15:52","0","0","Cute and colorful, regional finds from our recent trip to Mexico! I'm in love with the culture https://www.instagram.com/p/BSteViqAvHC/","","","","851462847322349568","https://twitter.com/tribfare/status/851462847322349568"
"KillingerCP","2017-04-10 15:37","0","0","#Chinese #anna #fatherofthree #lifewithtwins @Old Great Wall Buffet https://www.instagram.com/p/BStcqqdDPEy/","","@Old","#Chinese #anna #fatherofthree #lifewithtwins","851459177348202496","https://twitter.com/KillingerCP/status/851459177348202496"
"mleemay","2017-04-10 13:35","0","0","Morning peeps! Decided to read some Wall Street Journal on this Monday #the100dayproject #art https://www.instagram.com/p/BStOqxLA6k3/","","","#the100dayproject #art","851428395154124805","https://twitter.com/mleemay/status/851428395154124805"
"Sandra_C_Photo","2017-04-10 02:36","0","0","Windsor-Detroit Border! What an amazing sunset view from Saturday! #sunset #picture #pictures https://www.instagram.com/p/BSsDTyPjEr0/","","","#sunset #picture #pictures","851262678190374914","https://twitter.com/Sandra_C_Photo/status/851262678190374914"
"ruadhan1334","2017-04-10 00:08","0","0","I know I said I wanted to finish painting the wall behind my telly before surgery in about 25 https://www.instagram.com/p/BSryTIxlBjO/","","","","851225275887214593","https://twitter.com/ruadhan1334/status/851225275887214593"
"JimHaadsma","2017-04-09 21:01","0","0","Tell me one more time as you turn and face the wall. @Joe Louis Arena https://www.instagram.com/p/BSrc-x6A4tq/","","@Joe","","851178391990661120","https://twitter.com/JimHaadsma/status/851178391990661120"
"ChiaGuevara","2017-04-09 16:53","0","0","I had to have her up against the wall. It gets savage. @Eastern https://www.instagram.com/p/BSrAltkFUiT5isISWUkgQFf6WUa6J8MQv8wWbg0/ ","","@Eastern","","851115965223972864","https://twitter.com/ChiaGuevara/status/851115965223972864"
"myfabolouslife","2017-04-09 02:54","28","63","What else you gon do but Level Up & Boss Ya Life Up Gang!! Shout @72Kiddo & @fenkellpayroll https://www.instagram.com/p/BSpgj3SDfwz/","","@72Kiddo @fenkellpayroll","","850904789210857472","https://twitter.com/myfabolouslife/status/850904789210857472"
"ItsLegitJesus","2017-04-09 02:00","0","0","Make America Hate Again #obama2020please #notmypresident @Van Andel Arena Grand Rapids, Michigan https://www.instagram.com/p/BSpaYuXg2LC/","","@Van","#obama2020please #notmypresident","850891209551867904","https://twitter.com/ItsLegitJesus/status/850891209551867904"
"ThaPeoplesDJ","2017-04-08 22:46","0","0","Yaya's Biker Gang @Long Lake https://www.instagram.com/p/BSpEJITBaXHkeQNmuEkUcpwWL9aOZAIN2RH2BM0/ ","","@Long","","850842300787736576","https://twitter.com/ThaPeoplesDJ/status/850842300787736576"
"jerryacchione","2017-04-08 21:00","0","0","Quick stop at the duty free and we are in Canada!! @US-CANADIAN BORDER CROSSING https://www.instagram.com/p/BSo4AMkhvQZ/","","@US","","850815605145862144","https://twitter.com/jerryacchione/status/850815605145862144"
"jerryacchione","2017-04-08 20:54","0","0","At the border!! @Detroit https://www.instagram.com/p/BSo3WSQhyqW/","","@Detroit","","850814163211362304","https://twitter.com/jerryacchione/status/850814163211362304"
"ctl_ix","2017-04-08 19:56","0","2","Sniper Gang @Farmers Insurance Athletic Complex https://www.instagram.com/p/BSowpOljcjwXX4XPVt1jfDj-j1QbhHOErPTDAU0/ ","","@Farmers","","850799417976397824","https://twitter.com/ctl_ix/status/850799417976397824"
"CurtisWithaC","2017-04-07 22:58","0","0","Michigan has a rich history with beer. Whether it was smuggling the sauce over the border during https://www.instagram.com/p/BSmgw16F_dq/","","","","850483044595232768","https://twitter.com/CurtisWithaC/status/850483044595232768"
"LuchyTheReaper","2017-04-07 18:00","0","0","lets smoke its war here inside our country biych #gang @Detroit https://www.instagram.com/p/BSl-m2fhclS/","","@Detroit","#gang","850407913214558208","https://twitter.com/LuchyTheReaper/status/850407913214558208"
"JenniJenni7","2017-04-07 15:22","0","0","Opening day with the gang. Ready for all the drinking lol. #Detroit #Michigan #Tigers https://www.instagram.com/p/BSlshfel4DV/","","","#Detroit #Michigan #Tigers","850368161119694848","https://twitter.com/JenniJenni7/status/850368161119694848"
"chef_Bruce","2017-04-07 11:16","0","0","tigers home opener on the video wall #nationalbeerday where else do you need to be? https://www.instagram.com/p/BSlQa8FhT6j/","","","#nationalbeerday","850306349011419136","https://twitter.com/chef_Bruce/status/850306349011419136"
"Bud_Rodriguez1","2017-04-07 03:34","0","0","Dey gang bang @36th Street Lounge https://www.instagram.com/p/BSkbfMjDz33/","","@36th","","850189946690428928","https://twitter.com/Bud_Rodriguez1/status/850189946690428928"
"DetroitCP","2017-04-07 01:53","0","0","U-M president: Trump immigration policy makes nation less safe Univ. of Michigan http://on.freep.com/2oORrtr","","","","850164620098535424","https://twitter.com/DetroitCP/status/850164620098535424"
"flavaclay","2017-04-07 01:42","0","0","Long haul for a painted wall. @Brooklyn, Michigan https://www.instagram.com/p/BSkOwKeh8o2/","","@Brooklyn","","850161954253451264","https://twitter.com/flavaclay/status/850161954253451264"
"JimHaadsma","2017-04-07 01:11","0","0","""Make America Great Again"". @Olivet, Michigan https://www.instagram.com/p/BSkLHW_DvSh/","","@Olivet","","850153944072552448","https://twitter.com/JimHaadsma/status/850153944072552448"
"CKEDUKE","2017-04-06 17:37","0","0","My office this afternoon. Watching The Masters in our conference room on our 165"" video wall https://www.instagram.com/p/BSjXM-NgWqT/","","","","850039788216483842","https://twitter.com/CKEDUKE/status/850039788216483842"
"DREdotty","2017-04-05 19:32","0","0","PEARL GANG & 50MM PRESENTS BAKE SALE OFFICIAL 420 after Party 4/21/17 8pm-1am $5 pre-sale https://www.instagram.com/p/BSg_kfKFM2j/","","","","849706347033702401","https://twitter.com/DREdotty/status/849706347033702401"
"ParlingSheryl","2017-04-05 00:41","0","2","Let CA sanctuary state bill pass, if idiot voters let this happen. Trump can use CA fed. money for Wall & Infrastructure.","","","","849421652731547652","https://twitter.com/ParlingSheryl/status/849421652731547652"
"becklo","2017-04-04 22:13","0","0","A cool thing about this hole in the wall is I can be an ultra stealthy creeper. #BeckloGetsCool https://www.instagram.com/p/BSetN1ZleMA/","","","#BeckloGetsCool","849384514069594112","https://twitter.com/becklo/status/849384514069594112"
"elevatorup","2017-04-04 18:54","0","0","Emily filling the wall with wireframes. @Elevator Up https://www.instagram.com/p/BSeWcJCla3t/","","@Elevator","","849334430275653635","https://twitter.com/elevatorup/status/849334430275653635"
"HarleyTheSwede","2017-04-04 15:55","1","1","Last pic of the gang is an instant #classic! @mrbelding came in and laid down what I believe https://www.instagram.com/p/BSeB9gZgVo1/","","@mrbelding","#classic","849289389901570048","https://twitter.com/HarleyTheSwede/status/849289389901570048"
"snoopy3702","2017-04-03 18:07","0","0","Love this member of our little gang. @summerashley #love #miracle #giggles #joy #friendship @ https://www.instagram.com/p/BSbsQOEBudg/","","@summerashley @","#love #miracle #giggles #joy #friendship","848960175704756226","https://twitter.com/snoopy3702/status/848960175704756226"
"TalookaBadooka","2017-04-03 12:32","0","0","Just realized my sister write on my wall yesterday morning #Siblings #siblingproblems #murder https://www.instagram.com/p/BSbF2vqlIFU/","","","#Siblings #siblingproblems #murder","848875743148953601","https://twitter.com/TalookaBadooka/status/848875743148953601"
"RickShort59","2017-04-02 18:37","0","0","Putting the ole DFF on the wall @Dark Horse Brewing Co. https://www.instagram.com/p/BSZK2hFDQW4ysjo8-FrLFVDIsairkIvaDv3cUk0/ ","","@Dark","","848605251334754305","https://twitter.com/RickShort59/status/848605251334754305"
"scottrheath","2017-04-02 18:33","0","0","#Trump #EmperorTrump @Parks Drug Store http://ln.is/www.instagram.com/p/DVIii ","","@Parks","#Trump #EmperorTrump","848604438851878913","https://twitter.com/scottrheath/status/848604438851878913"
"VestAndTyler","2017-04-02 16:50","0","0","Thank you, Dragons Den! #VnT is officially on the famous chalk wall! @goicecreamgo next week at https://www.instagram.com/p/BSY-nh8BKrg/","","@goicecreamgo","#VnT","848578346904559617","https://twitter.com/VestAndTyler/status/848578346904559617"
"DetroitCP","2017-04-02 15:59","0","0","Craig: No immigration checks at Cinco de Mayo parade http://detne.ws/2nLiQMP","","","","848565483158724608","https://twitter.com/DetroitCP/status/848565483158724608"
"hannah_leegreen","2017-04-02 14:29","0","0","Gentleman speaking about issues in getting a visa/citizenship if you are from Mexico. Almost a https://www.instagram.com/p/BSYujjug4JM/","","","","848543027920547840","https://twitter.com/hannah_leegreen/status/848543027920547840"
"rachelloxham","2017-04-02 12:42","0","0","Yesterday's run route #detroit #windsor #border https://www.instagram.com/p/BSYiQU1BvouEtYbeQd3Q4GXrIs9NaKJI1tEOgM0/ ","","","#detroit #windsor #border","848515979046866946","https://twitter.com/rachelloxham/status/848515979046866946"
