"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"BazaarMPLS","2017-04-19 20:34","0","0","Ready for #MothersDay yet? Skip the line for grocery store bouquets, drug store chocolate, and https://www.instagram.com/p/BTFJxqhhrTk/","","","#MothersDay","854795369594605568","https://twitter.com/BazaarMPLS/status/854795369594605568"
"budlightmofo","2017-04-17 17:08","0","0","I'm at Mexico Lindo Restaurant in Cloquet, MN https://www.swarmapp.com/c/3fxRBYc6BRM","","","","854018832721162240","https://twitter.com/budlightmofo/status/854018832721162240"
"StudioTwelve52","2017-04-16 14:10","0","0","Coconutmilk Mocha Macchiato, tropical thoughts, and packing for Mexico on Tuesday . Can't wait https://www.instagram.com/p/BS8vZlLlGjN/","","","","853611445568901120","https://twitter.com/StudioTwelve52/status/853611445568901120"
"joyannparker","2017-04-15 18:16","0","0","The gang's all here tonight at Pub 112 in beautiful downtown Stillwater. We start a little https://www.instagram.com/p/BS6mzj_hw0J/","","","","853311062346653697","https://twitter.com/joyannparker/status/853311062346653697"
"RandomSweets","2017-04-15 17:51","0","0","We found the wall. #onlyinmn @Marquette Av S at 11 St S SW corner https://www.instagram.com/p/BS6j9fnhdjR/","","@Marquette","#onlyinmn","853304807292944384","https://twitter.com/RandomSweets/status/853304807292944384"
"LauraPods","2017-04-15 03:40","0","0","Blizzard gang @The Pint Minneapolis https://www.instagram.com/p/BS5CjhKgflR/","","@The","","853090602300428288","https://twitter.com/LauraPods/status/853090602300428288"
"JamieParsley","2017-04-15 02:56","0","0","Geesh, did I really go 32 hours without eating? No wonder I hit the wall tonight.","","","","853079601823830018","https://twitter.com/JamieParsley/status/853079601823830018"
"robmonroe","2017-04-15 01:38","0","2","nah was moving pretty slowly. Kicked up off the dirt, over wall and off a few hands before it hit me. Could have been worse :)","","","","853060041447940096","https://twitter.com/robmonroe/status/853060041447940096"
"jasonmatheson","2017-04-15 00:40","0","18","Another fab night w/the gang at thelexmn #LoveMyFriends @The Lexington https://www.instagram.com/p/BS4t8cfAZof/","","@The","#LoveMyFriends","853045283948818432","https://twitter.com/jasonmatheson/status/853045283948818432"
"beerandbikesmn","2017-04-15 00:04","0","2","Out earning an extra beer @northgatebrew #30daysofbiking - Drinking a Shaky Wall at @northgatebrew - http://untp.beer/s/c440276111 #photo","","@northgatebrew @northgatebrew","#30daysofbiking #photo","853036191712759812","https://twitter.com/beerandbikesmn/status/853036191712759812"
"BazaarMPLS","2017-04-14 21:46","0","0","Just had to take this guy off the wall to find an example product For an upcoming #blog on #DIY https://www.instagram.com/p/BS4aENah9NT/","","","#blog #DIY","853001568727085056","https://twitter.com/BazaarMPLS/status/853001568727085056"
"Ouch_","2017-04-13 22:16","1","4","#SPACCLSP criminal justice afterglow - time to unwind after a long and intense day! (at @bocachicamn) https://www.swarmapp.com/c/eC6qxKG4sXn","","@bocachicamn","#SPACCLSP","852646662027825152","https://twitter.com/Ouch_/status/852646662027825152"
"kathrynuhrich","2017-04-13 01:09","0","0","Capturing the last of today's sun, in/on my hotel room wall @Downtown Fargo District https://www.instagram.com/p/BSznubvj0ui/","","@Downtown","","852327919057809408","https://twitter.com/kathrynuhrich/status/852327919057809408"
"TruNightingale","2017-04-12 23:51","0","0","The gang at coffeetarik_mn #bomb @COFFEETARIK https://www.instagram.com/p/BSzeuQHlmHBjuPa-vH300qP2HoLFt1xhZX1Ek40/ ","","@COFFEETARIK","#bomb","852308125600370692","https://twitter.com/TruNightingale/status/852308125600370692"
"_Cman_","2017-04-12 19:06","0","0","Do you know the prosecution roles in a criminal court proceedings? Day 3 of the 40hr S.A. https://www.instagram.com/p/BSy-Ip_gJKg/","","","","852236460703068161","https://twitter.com/_Cman_/status/852236460703068161"
"Holen1Golf","2017-04-12 03:01","0","0","The Middle Border Conference took on Bristol Ridge Golf Course. A good challenging course on https://www.instagram.com/p/BSxPxJ3hMJn/","","","","851993762825773056","https://twitter.com/Holen1Golf/status/851993762825773056"
"champagnemacs","2017-04-11 20:20","0","2","Tried to hitch a ride to Mexico this morning since there was snow on the ground, but I'm still https://www.instagram.com/p/BSwhx7MjNQq/","","","","851892667474640897","https://twitter.com/champagnemacs/status/851892667474640897"
"thefilmingsnchz","2017-04-10 01:12","0","0","Imparables #adrianuribe #omarchaparro #imparables #mexico https://www.instagram.com/p/BSr5tBnh27ezXTpaIwsvB1CpVLWmHowj_uDHNA0/ ","","","#adrianuribe #omarchaparro #imparables #mexico","851241562172305408","https://twitter.com/thefilmingsnchz/status/851241562172305408"
"cjcampbell79","2017-04-09 23:55","0","0","Engineering (re: plumbing) fail. Pipes attached to the wall are not elastic. @Home https://www.instagram.com/p/BSrw28rAqpo/","","@Home","","851222102023733249","https://twitter.com/cjcampbell79/status/851222102023733249"
"LegiScanMN","2017-04-09 19:26","0","0","HF2586 [NEW] Prescription drug deactivation and disposal grants required, and money appropriated. http://bitly.com/Y2JCfQ","","","","851154290773241861","https://twitter.com/LegiScanMN/status/851154290773241861"
"musiciananna","2017-04-09 06:05","0","0","It's been an amazing time being out on the road playing fiddle and mandolin for Colter Wall in https://www.instagram.com/p/BSp2YPJguqP/","","","","850952765312557056","https://twitter.com/musiciananna/status/850952765312557056"
"philwardphoto1","2017-04-09 05:39","0","1","Through the gap in the wall I go! http://www.philwardphoto.com #nightphotography #longexposure https://www.instagram.com/p/BSpzaA6lsNO/","","","#nightphotography #longexposure","850946237465591809","https://twitter.com/philwardphoto1/status/850946237465591809"
"SkolKeyman","2017-04-08 23:55","0","0","Masters over. Hockey starting. Grumpy's garlic cheesy burger in between.... (Wall's End) http://untp.beer/s/c438067389","","","","850859568095735808","https://twitter.com/SkolKeyman/status/850859568095735808"
"AdamUI96","2017-04-07 22:25","0","0","My hotel in Minneapolis this week had some kanfergallery art on the wall! Takes me back to my https://www.instagram.com/p/BSmc9BLAcTR/","","","","850474643278397444","https://twitter.com/AdamUI96/status/850474643278397444"
"billings_steve","2017-04-07 21:12","0","0","the mirror is hanging on the wall in the room he is staying in in the basement. It'll be just fine :)","","","","850456349037277185","https://twitter.com/billings_steve/status/850456349037277185"
"AJHokes","2017-04-06 16:01","0","0","my ab(bae) @Mexico Lindo - Fitgers https://www.instagram.com/p/BSiGpWzF3FN/","","@Mexico","","850015594216816641","https://twitter.com/AJHokes/status/850015594216816641"
"jfraser","2017-04-06 04:01","0","1","On the wall at the former King of Falafel. @Uptown, Minneapolis https://www.instagram.com/p/BSh53Xsj0HJ/","","@Uptown","","849834534912839680","https://twitter.com/jfraser/status/849834534912839680"
"jwalteranderson","2017-04-05 21:17","0","0","First special friend leaving the gang. Good luck Mehtab! #godspeed #torontobound #friendsforever https://www.instagram.com/p/BShLmo5hFlI/","","","#godspeed #torontobound #friendsforever","849732806590709760","https://twitter.com/jwalteranderson/status/849732806590709760"
"sweetclafoutis","2017-04-05 18:56","0","0","Mural on the wall outside a women's restroom at Minneapolis-St. Paul airport. @Delta Terminal - https://www.instagram.com/p/BSg7btIjeq2/","","@Delta","","849697249743556608","https://twitter.com/sweetclafoutis/status/849697249743556608"
"ThreeSistersEA","2017-04-05 14:48","0","0","Bring on the garden art. This beautiful piece can be used as a stepping stone or wall art. https://www.instagram.com/p/BSgfEroBHtC/","","","","849634883076890624","https://twitter.com/ThreeSistersEA/status/849634883076890624"
"AnnT","2017-04-04 20:56","0","0","Prince temporary memorial wall ... behind the gates. @Paisley Park https://www.instagram.com/p/BSekVaYDKKS/","","@Paisley","","849364978570342401","https://twitter.com/AnnT/status/849364978570342401"
"Kevinfcaufield","2017-04-04 14:05","0","0","Ohhhh Mexico !!! DAY 2 of wishing was teaching there again .... this is Cappe-ha where I taught https://www.instagram.com/p/BSd1Sm6A5P9/","","","","849261523289743360","https://twitter.com/Kevinfcaufield/status/849261523289743360"
"budlightmofo","2017-04-03 17:50","0","0","I'm at Hole In The Wall Casino In Danbury, WI in Danbury, WI https://www.swarmapp.com/c/aE3uEOhXo90","","","","848955909506248704","https://twitter.com/budlightmofo/status/848955909506248704"
"JamieParsley","2017-04-03 16:23","0","0","Here's one way to make America great again.... pic.twitter.com/H6SotKJE53","","","","848934070478409728","https://twitter.com/JamieParsley/status/848934070478409728"
"Kevinfcaufield","2017-04-03 12:25","0","0","Ohh to be back in Mexico !! This was taken 2 hours south of Tulum Mexico , I was teaching https://www.instagram.com/p/BSbFJ7agUio/","","","","848874199917764608","https://twitter.com/Kevinfcaufield/status/848874199917764608"
"brooksideresort","2017-04-03 03:50","0","0","There is a new bike gang in the neighborhood #mybrooksidemn #familybikerides @ https://www.instagram.com/p/BSaKNghDGO7/","","@","#mybrooksidemn #familybikerides","848744581223129088","https://twitter.com/brooksideresort/status/848744581223129088"
