"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"NogginGalaxy","2017-04-18 05:33","0","0","Still have pending videos but make sure you check out my new videos with finesse.wall and https://www.instagram.com/p/BTA96dTDxFb/","","","","854206310421811201","https://twitter.com/NogginGalaxy/status/854206310421811201"
"NogginGalaxy","2017-04-18 00:00","0","0","finesse.wall TG  IE E Do my dance moves for a shoutout https://www.instagram.com/p/BTAXzRIjFic/","","","","854122509297385473","https://twitter.com/NogginGalaxy/status/854122509297385473"
"NogginGalaxy","2017-04-17 20:35","0","0","My #backwardsforwards w/ bwaller12 finesse.wall Tag your friends @stevierandum https://www.instagram.com/p/BTAAXWDD9lM/","","@stevierandum","#backwardsforwards","854070956469477379","https://twitter.com/NogginGalaxy/status/854070956469477379"
"NogginGalaxy","2017-04-17 02:53","0","0","finesse.wall bwaller12 @kingimprint litdances2017_ trendingdances populardancetrends https://www.instagram.com/p/BS-GtKLD8Mt/","","@kingimprint","","853803456682917892","https://twitter.com/NogginGalaxy/status/853803456682917892"
"NogginGalaxy","2017-04-17 02:44","0","0","Woke Up with finesse.wall and bwaller12 #Repost!! @Noggin Entertainment https://www.instagram.com/p/BS-FrB3jEfj/","","@Noggin","#Repost","853801189766553601","https://twitter.com/NogginGalaxy/status/853801189766553601"
"NogginGalaxy","2017-04-16 23:08","0","0","Mask on forking mask on bwaller12 finesse.wall #Repost #backwardsforwards #where #bruhcuz https://www.instagram.com/p/BS9tDIoD638/","","","#Repost #backwardsforwards #where #bruhcuz","853747004538855425","https://twitter.com/NogginGalaxy/status/853747004538855425"
"NogginGalaxy","2017-04-16 04:42","0","1","LL finesse.wall bwaller12 If you enjoyed this Follow:     https://www.instagram.com/p/BS7ubQZDBmT/","","","","853468559053377536","https://twitter.com/NogginGalaxy/status/853468559053377536"
"NogginGalaxy","2017-04-15 17:45","0","0","bwaller12 finesse.wall @Faucett Brothers Activity Center https://www.instagram.com/p/BS6jLbyDtqt/","","@Faucett","","853303199050104832","https://twitter.com/NogginGalaxy/status/853303199050104832"
"NogginGalaxy","2017-04-15 15:21","0","0","If you enjoyed this Follow:     @noggingalaxy bwaller12 finesse.wall https://www.instagram.com/p/BS6Suf1D4kt/","","@noggingalaxy","","853266976256532480","https://twitter.com/NogginGalaxy/status/853266976256532480"
"NogginGalaxy","2017-04-14 21:46","0","1","Live in 5 on finesse.wall then on bwaller12 then on mine @Noggin Entertainment https://www.instagram.com/p/BS4aBc0j5R4/","","@Noggin","","853001483348045826","https://twitter.com/NogginGalaxy/status/853001483348045826"
"StkPeppersWest","2017-04-14 16:41","0","1","Today's Special is our Border Tater! A freshly baked potato topped with cheese, Chili, and https://www.instagram.com/p/BS33IUmhqnJ/","","","","852924746593218560","https://twitter.com/StkPeppersWest/status/852924746593218560"
"Sosa300Matt","2017-04-13 02:18","0","0","Head Huncho out that gang","","","","852345165326860288","https://twitter.com/Sosa300Matt/status/852345165326860288"
"glamourtech7","2017-04-12 16:40","0","0","Newest brewery on the wall!! Out of Michigan!! Come try some Dirty Bastard, Rbaus, PC Pils, and https://www.instagram.com/p/BSytZOzly7T/","","","","852199660043239425","https://twitter.com/glamourtech7/status/852199660043239425"
"CDispatch","2017-04-12 15:53","0","0","Clay deputies make animal cruelty, drug arrests http://dlvr.it/NsrsjK","","","","852187830239375360","https://twitter.com/CDispatch/status/852187830239375360"
"sdmlbgirl","2017-04-12 13:51","0","0","Good Morning Vicksburg. #bigmuddy @Mississippi / Louisiana Border https://www.instagram.com/p/BSyaIqXBr91Ijc3S1l7-rQw1oCoBb12Y7nhhPY0/ ","","@Mississippi","#bigmuddy","852157295760887809","https://twitter.com/sdmlbgirl/status/852157295760887809"
"Captain_Strongo","2017-04-09 20:40","0","0","Resort Mexico Elmo. Well, Im intrigued. https://twitter.com/JusticeWillett/status/851172488264503297 ","","","","851173042952785921","https://twitter.com/Captain_Strongo/status/851173042952785921"
"Captain_Strongo","2017-04-08 20:26","0","0","Soccer stadiums in Mexico, football stadiums in the US.","","","","850807001487740929","https://twitter.com/Captain_Strongo/status/850807001487740929"
"Captain_Strongo","2017-04-08 20:24","0","0","But when you throw Canada and Mexico into the mix, Rio Tinto gets knocked way down the ladder.","","","","850806603179839488","https://twitter.com/Captain_Strongo/status/850806603179839488"
"mackidMWM","2017-04-08 01:22","0","0","Mesmerized masurmuseum Off the Wall event @Masur Museum of Art https://www.instagram.com/p/BSmxMkVAfcC/","","@Masur","","850519169527418880","https://twitter.com/mackidMWM/status/850519169527418880"
"SeePack","2017-04-07 21:21","0","0","Nice day out .... @Mississippi / Louisiana Border https://www.instagram.com/p/BSmVpATFlCCVePr2bGeRvDb5OpMbXJfSEsJx8o0/ ","","@Mississippi","","850458571301113856","https://twitter.com/SeePack/status/850458571301113856"
"ecmollaneda","2017-04-07 02:03","0","0","Just posted a photo @Mississippi / Louisiana Border https://www.instagram.com/p/BSkRFBZDuu_Ut4RpReYJUsTLaBkOs28OtsbObk0/ ","","@Mississippi","","850167053399011328","https://twitter.com/ecmollaneda/status/850167053399011328"
"bigsidxiv","2017-04-06 13:46","0","0","Just posted a video @Mississippi / Louisiana Border https://www.instagram.com/p/BSi8vijD7Lgf-hOwNMAH0oZDTqVfiucsneYcw40/ ","","@Mississippi","","849981665959170049","https://twitter.com/bigsidxiv/status/849981665959170049"
"ericstubbsII","2017-04-05 03:55","0","0","New moderncarbine rifles on the new gun wall @ModernOutfitter in MS! #freedom #modernoutfitters https://www.instagram.com/p/BSfUTF2BSuv/","","@ModernOutfitter","#freedom #modernoutfitters","849470472551092224","https://twitter.com/ericstubbsII/status/849470472551092224"
"Captain_Strongo","2017-04-03 21:35","0","0","It was the WaPo that first reported the story that Trump threatened to invade Mexico, wasnt it?","","","","849012462485635072","https://twitter.com/Captain_Strongo/status/849012462485635072"
"Captain_Strongo","2017-04-02 14:27","0","1","arrested as a result of routine traffic stops. Or how many drug traffickers are caught because they forgot to signal.","","","","848542461953794048","https://twitter.com/Captain_Strongo/status/848542461953794048"
"jasmin_quire","2017-04-02 01:53","0","0","Two cups, Toast up with the gang #bahamamama @Kappa Sigma Fraternity - University of Alabama https://www.instagram.com/p/BSXX-ouA6oq/","","@Kappa","#bahamamama","848352647040159745","https://twitter.com/jasmin_quire/status/848352647040159745"
"SeePack","2017-03-30 20:20","0","0","Lunch with bro .... #LoveComesInPacks @Mississippi / Louisiana Border https://www.instagram.com/p/BSRoTLvlepE3RbjbzaIQ9K0oHmxmneu0u7sYhQ0/ ","","@Mississippi","#LoveComesInPacks","847544117194366976","https://twitter.com/SeePack/status/847544117194366976"
"flxmn","2017-03-30 06:08","0","0","My wall of a lil fame haha @South Jackson, Mississippi https://www.instagram.com/p/BELqbkfgDL5/","","@South","","847329649667461126","https://twitter.com/flxmn/status/847329649667461126"
"crossfittupelo","2017-03-30 00:12","2","4","Balls to the Wall A 2-Person, same gender, team Competition in honor of Testicular Cancer https://www.instagram.com/p/BSPd_MjjFIq/","","","","847239959970930693","https://twitter.com/crossfittupelo/status/847239959970930693"
"Captain_Strongo","2017-03-29 19:25","0","0","@KT_So_It_Goes Yeah, the last time we annexed a bunch of Mexico turned out pretty well, I think.","","@KT_So_It_Goes","","847167966437347365","https://twitter.com/Captain_Strongo/status/847167966437347365"
"MereCummings","2017-03-29 03:08","0","1","The old gang is back together again. What a fun, unexpected night! @R Davidson Chophouse https://www.instagram.com/p/BSNNaAqB-1c/","","@R","","846922023267778560","https://twitter.com/MereCummings/status/846922023267778560"
"Captain_Strongo","2017-03-29 01:42","0","5","We should go easy on Unfrozen Caveman Drug Dealers. The festival must have frightened and confused him. https://twitter.com/DeseretNews/status/846884615205933061 ","","","","846900389475631110","https://twitter.com/Captain_Strongo/status/846900389475631110"
"ashIynh","2017-03-28 16:14","0","0","Squats low and rock climbing wall high lol @UpSurge trampoline park https://www.instagram.com/p/BSMCiw2A73g66VjebnGpKpBfH7I6ws_hO6RYkU0/ ","","@UpSurge","","846757395883855872","https://twitter.com/ashIynh/status/846757395883855872"
"grindleee","2017-03-28 00:57","0","0","rustic, double-sided, and mobile prayer wall for @firsttuscaloosa /// prayers for the city and https://www.instagram.com/p/BSKZouwhFs0/","","@firsttuscaloosa","","846526701739814912","https://twitter.com/grindleee/status/846526701739814912"
"Lydarrius_XXII","2017-03-26 22:43","0","0","Daddy @Mississippi / Louisiana Border https://www.instagram.com/p/BSHlcAVjZzWEfVp0joHe0K_0-y1iy2Sk7BdTQE0/ ","","@Mississippi","","846130446681456640","https://twitter.com/Lydarrius_XXII/status/846130446681456640"
"rsthatter09","2017-03-25 13:54","0","0","No coffee shop is complete without some wise words from the coach hanging on the wall @ https://www.instagram.com/p/BSEEGSogFIF/","","@","","845634912426364929","https://twitter.com/rsthatter09/status/845634912426364929"
"Captain_Strongo","2017-03-23 20:41","0","0","Could also be that he deserted the Imperial Academy and became a criminal, so he needed a new name.","","","","845012561145843713","https://twitter.com/Captain_Strongo/status/845012561145843713"
