"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"kcbusymom","2017-04-19 23:16","0","0","new food, drug out of the house. #kansascity (@Zos Kitchen - @zoeskitchen in Kansas City, MO) https://www.swarmapp.com/c/7gH7kkbpG09","","@Zos @zoeskitchen","#kansascity","854836152557338624","https://twitter.com/kcbusymom/status/854836152557338624"
"vetbiz","2017-04-19 15:25","1","0","Ahh memories. Where were you when the Wall came down? VBRC President was there. While she is https://www.instagram.com/p/BTEmbGXjMWU/","","","","854717595244781569","https://twitter.com/vetbiz/status/854717595244781569"
"RoxanneKnight","2017-04-19 15:10","0","0","Exploration #graffiti #creativityeveryday #photographer #stlouis @Graffiti Wall https://www.instagram.com/p/BTEkuTYAwZO/","","@Graffiti","#graffiti #creativityeveryday #photographer #stlouis","854713858111549441","https://twitter.com/RoxanneKnight/status/854713858111549441"
"prfgetresults","2017-04-19 02:16","0","0","Looking for healthier drug-free solutions for hair and skin? Schedule your next consultation https://www.instagram.com/p/BTDMEqFFE7s/","","","","854518921499725824","https://twitter.com/prfgetresults/status/854518921499725824"
"petitemachine","2017-04-18 19:48","0","0","So full. I think I'm dying. @Taqueria Mexico Kc #4 https://www.instagram.com/p/BTCfs_GhGTXYQk7NNeDtGxnVbSwr4OQjnwBWGE0/ ","","@Taqueria","#4","854421339200815104","https://twitter.com/petitemachine/status/854421339200815104"
"abigailulmerr","2017-04-18 18:02","0","0","Already missing having the gang all together @Blue Springs, Missouri https://www.instagram.com/p/BTCTjaalRXSGrgCyolFK-DdcwGFmPTPSGiMYgM0/ ","","@Blue","","854394635418030080","https://twitter.com/abigailulmerr/status/854394635418030080"
"pauljeffersonks","2017-04-18 15:54","0","0","I'm at Rock Wall At Ambler Student Recreational Facility in Lawrence, KS https://www.swarmapp.com/c/lA0q5UGrrnN","","","","854362608304103424","https://twitter.com/pauljeffersonks/status/854362608304103424"
"gskygreenwalls","2017-04-17 21:59","1","0","This wall is at the Shawnee Mission School District, the largest school district in Kansas City. https://www.instagram.com/p/BTAJ3f2DhpX/","","","","854091850319364096","https://twitter.com/gskygreenwalls/status/854091850319364096"
"thefinley","2017-04-17 17:56","0","0","Why is the table plugged into the wall?","","","","854030783765512197","https://twitter.com/thefinley/status/854030783765512197"
"zdfs","2017-04-17 16:37","0","0","That is interesting. My only thing is that the bull is associated with bull market, Wall St., etc. Corrupted, basically.","","","","854011017772380160","https://twitter.com/zdfs/status/854011017772380160"
"pauljeffersonks","2017-04-17 15:28","0","0","I'm at Rock Wall At Ambler Student Recreational Facility in Lawrence, KS https://www.swarmapp.com/c/eA900WvqzML","","","","853993694977982464","https://twitter.com/pauljeffersonks/status/853993694977982464"
"dutchnewmanis","2017-04-17 02:15","1","2","Out here with the gang @jlbhood @therealJoeyCool tfoulk54 @scarthemonsterr @suli4q blvd816 https://www.instagram.com/p/BS-CbSQABuH/","","@jlbhood @therealJoeyCool @scarthemonsterr @suli4q","","853794008073633793","https://twitter.com/dutchnewmanis/status/853794008073633793"
"TheGaunce","2017-04-16 21:35","0","0","#TURNstl #Turneats the wall of records at the and chef Dave. dakstl getting ready for his https://www.instagram.com/p/BS9iYzVBVgw/","","","#TURNstl #Turneats","853723559566336000","https://twitter.com/TheGaunce/status/853723559566336000"
"AmanCraig22","2017-04-16 20:04","0","0","I'm at Optimist Ball Park in Mexico, MO https://www.swarmapp.com/c/9Mtg0VCM1Vl","","","","853700611216429058","https://twitter.com/AmanCraig22/status/853700611216429058"
"Griffdog2017","2017-04-16 18:01","0","1","Drinking an Urban Gang by @urbanchestnut at @urbanchestnut  http://untp.beer/s/c441293457","","@urbanchestnut @urbanchestnut","","853669645072691200","https://twitter.com/Griffdog2017/status/853669645072691200"
"QT904","2017-04-16 06:05","0","0","regrann from @doughhunter - With @QT904 & the gang! #HowItHappened - #regrann @Ft. https://www.instagram.com/p/BS73_NgFrRZ/","","@doughhunter @QT904 @Ft","#HowItHappened #regrann","853489591004909568","https://twitter.com/QT904/status/853489591004909568"
"Tawnymenster","2017-04-15 21:07","0","0","Much love for my gang @Cmu Cox Softball Complex https://www.instagram.com/p/BS65xYmBJWY/","","@Cmu","","853354048010854400","https://twitter.com/Tawnymenster/status/853354048010854400"
"DanSTL77","2017-04-15 19:27","0","0","Graffiti #downtownstl #STL @Graffiti Wall https://www.instagram.com/p/BS6u6_pjTR3/","","@Graffiti","#downtownstl #STL","853328937749032961","https://twitter.com/DanSTL77/status/853328937749032961"
