"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"em_em_baby","2017-04-13 01:09","0","0","Smells like up squad in here #gang#skrt @Butte, Montana https://www.instagram.com/p/BSznvq_Biux/","","@Butte","#gang #skrt","852327970115014657","https://twitter.com/em_em_baby/status/852327970115014657"
"bozchron","2017-04-09 11:03","0","0","MSU toughens drug policy just as three students are arrested http://dlvr.it/NrNrHb #bdcnews","","","#bdcnews","851027706531635201","https://twitter.com/bozchron/status/851027706531635201"
"bozchron","2017-04-07 16:45","0","0","AP: Inquest: Inmate death not caused by criminal act http://dlvr.it/Nqk6BW #bdcnews","","","#bdcnews","850389110913024001","https://twitter.com/bozchron/status/850389110913024001"
"bozchron","2017-04-06 18:33","0","0","AP: Montana State football players suspended after drug arrests http://dlvr.it/NqHkK1 #bdcnews","","","#bdcnews","850053891144142848","https://twitter.com/bozchron/status/850053891144142848"
"sweluhu","2017-03-31 06:10","0","0","I'm at Wyoming/Montana Border in Parkman, WY https://www.swarmapp.com/c/i1oiI5N2L18","","","","847692572088610818","https://twitter.com/sweluhu/status/847692572088610818"
"bozchron","2017-03-29 19:36","0","0","Zinke: Border wall 'complex,' faces geographic challenges http://dlvr.it/NlmBMZ #bdcnews","","","#bdcnews","847170708748713984","https://twitter.com/bozchron/status/847170708748713984"
"jaredfrasier","2017-03-27 00:18","0","0","It may be time to build that climbing wall. @Missouri Headwaters State Park https://www.instagram.com/p/BSHwVZQF2-8/","","@Missouri","","846154405162438657","https://twitter.com/jaredfrasier/status/846154405162438657"
"CreeLanz","2017-03-24 20:19","0","0","Yesterday's progress. Pallet wall is going up! // #DIY #MarriedLife #MyHusbandIsTheBest https://www.instagram.com/p/BSCLauVAieg/","","","#DIY #MarriedLife #MyHusbandIsTheBest","845369536161464323","https://twitter.com/CreeLanz/status/845369536161464323"
"mvseundo","2017-03-21 17:21","0","1","Filming for our documentary about prescription drug abuse. Marijuana is a healthier alternative https://www.instagram.com/p/BR6IotrDVkc/","","","","844237519290023936","https://twitter.com/mvseundo/status/844237519290023936"
"AndrewSeraphin","2017-03-19 19:51","0","0","A fox on the side of the road Northeast of the Lamar Valley in Yellowstone. Right on the border https://www.instagram.com/p/BR1QRHElXPK/","","","","843550619860455425","https://twitter.com/AndrewSeraphin/status/843550619860455425"
"R_Prescott19","2017-03-18 22:28","0","0","Gutter ball gang @Sleeping Giant Lanes https://www.instagram.com/p/BRy9XaNhfY6/","","@Sleeping","","843227575648321536","https://twitter.com/R_Prescott19/status/843227575648321536"
"bozchron","2017-03-15 19:15","0","0","AP: Woman pleads guilty to drug charge in stabbing death http://dlvr.it/Ndbnrc #bdcnews","","","#bdcnews","842091798910525440","https://twitter.com/bozchron/status/842091798910525440"
"whoisherry","2017-03-11 18:03","0","0","Paint the wall. ##contemporarycraftandart #studioartist #helena #mt #archiebray https://www.instagram.com/p/BRgdi35lTE_/","","","# #contemporarycraftandart #studioartist #helena #mt #archiebray","840624327355707392","https://twitter.com/whoisherry/status/840624327355707392"
"bartbudwig","2017-03-11 15:29","0","1","Climbing wall slumber party. Thanks for last night Helena. That was real special. Any https://www.instagram.com/p/BRgL4EKj1IT/","","","","840585468211273729","https://twitter.com/bartbudwig/status/840585468211273729"
"bozchron","2017-03-11 02:43","0","0","AP: Inquest: No criminal act in hanging death of Helena inmate http://dlvr.it/NbYgvw #bdcnews","","","#bdcnews","840392606953566208","https://twitter.com/bozchron/status/840392606953566208"
"BznFoodTruck","2017-03-10 17:08","0","0","As close to authentic as you can get this far from the border. Join us for Fiesta Friday, open https://www.instagram.com/p/BRdyXtQBtTS/","","","","840247905864712193","https://twitter.com/BznFoodTruck/status/840247905864712193"
"bozchron","2017-03-09 16:25","0","0","AP: Dispensary owner pleads guilty to federal drug charges http://dlvr.it/NZtCwZ #bdcnews","","","#bdcnews","839874723940990976","https://twitter.com/bozchron/status/839874723940990976"
"whoisherry","2017-03-05 09:42","0","1","Me and my Great Wall. #wip @Archie Bray Foundation for the Ceramic Arts https://www.instagram.com/p/BRQHdAulii9/","","@Archie","#wip","838323950845378563","https://twitter.com/whoisherry/status/838323950845378563"
"AtHomeOnTheGo","2017-03-04 23:14","1","1","Been at MoAV this afternoon finalizing our itinerary for the #Mexico > #Belize > #Guatemala trip https://www.instagram.com/p/BRO_jGtg0ra/","","","#Mexico #Belize #Guatemala","838165818773016576","https://twitter.com/AtHomeOnTheGo/status/838165818773016576"
"soratos_miler","2017-03-03 05:44","1","8","The work is done. Next stop. USA Indoor Championships in Albuquerque New Mexico. Let's get it https://www.instagram.com/p/BRKiVYuDGmN/","","","","837539116430417920","https://twitter.com/soratos_miler/status/837539116430417920"
"Addicted2Diesel","2017-03-02 23:03","0","0","I'm at Wyoming/Montana Border in Parkman, WY https://www.swarmapp.com/c/fjeUztEqQOi","","","","837438253569617920","https://twitter.com/Addicted2Diesel/status/837438253569617920"
"bozchron","2017-03-01 22:04","0","0","AP: Governor signs bills addressing criminal justice costs http://dlvr.it/NWKdFS #bdcnews","","","#bdcnews","837061025996288000","https://twitter.com/bozchron/status/837061025996288000"
"FireGirlPhoto","2017-02-25 15:00","1","1","Just received a batch of branded USBs from the gang over at USB Direct  excited to get these in https://www.instagram.com/p/BQ8FdYQFerL/","","","","835504814725431296","https://twitter.com/FireGirlPhoto/status/835504814725431296"
"bozchron","2017-02-17 16:12","0","0","Lawsuit seeks to answer who is to blame for skyrocketing drug prices http://dlvr.it/NPbGYR #bdcnews","","","#bdcnews","832623797215768578","https://twitter.com/bozchron/status/832623797215768578"
"bozchron","2017-02-17 12:02","0","0","Consumers kept in dark over drug pricing http://dlvr.it/NPV3Xz #bdcnews","","","#bdcnews","832560749771845633","https://twitter.com/bozchron/status/832560749771845633"
"sassyliltwitr","2017-02-14 23:07","0","1","#snowmobiling #nature #beautiful @Montana Idaho Border Crossing https://www.instagram.com/p/BQgodUvgOkK/","","@Montana","#snowmobiling #nature #beautiful","831641119322685441","https://twitter.com/sassyliltwitr/status/831641119322685441"
"bozchron","2017-02-10 17:49","0","0","Should police be allowed to keep property without a criminal conviction? http://dlvr.it/NLPsJJ #bdcnews","","","#bdcnews","830111362646814720","https://twitter.com/bozchron/status/830111362646814720"
"Set_Elrich","2017-02-04 03:06","0","0","This is my favorite section. The price of decades of border art. @Old Chico https://www.instagram.com/p/BQEvB8RgKlL/","","@Old","","827714920603086848","https://twitter.com/Set_Elrich/status/827714920603086848"
"Benpeasevisions","2017-02-02 02:11","0","1","Studio time. 8ft x6ft 1in painting. With works by @1stillsmoking johnisaiahpepion on the wall. https://www.instagram.com/p/BP_fG-_gahJ/","","@1stillsmoking","","826976248995991554","https://twitter.com/Benpeasevisions/status/826976248995991554"
"bozchron","2017-01-31 21:00","0","0","Border fence must be set back from Rio Grande, leaving some Texans on wrong side http://dlvr.it/NFp7wd #bdcnews","","","#bdcnews","826535675096821763","https://twitter.com/bozchron/status/826535675096821763"
"CherryEclipse","2017-01-26 04:28","0","0","The airport's wall of heads reminds me of my childhood living room. https://www.instagram.com/p/BPttPZXAFo-p8JykMSmNiSg7Nu2dokd1ip3sfo0/ ","","","","824474024004743169","https://twitter.com/CherryEclipse/status/824474024004743169"
