"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"Official_BMO","2017-04-17 18:54","0","1","Make America Hippy Again . . . . . #america #sunset #hippy #modernhippy #bmo https://www.instagram.com/p/BS_0ubujYA7/","","","#america #sunset #hippy #modernhippy #bmo","854045357248000001","https://twitter.com/Official_BMO/status/854045357248000001"
"spotternetwork","2017-04-15 00:15","0","0","Spotr 6 miles NE of MASON CITY, NE @00:14 UTC Not Rotating Wall Cloud>-Wall cloud about 5 miles to my East. Cannot tell if rotating.","","@00","","853039028668698624","https://twitter.com/spotternetwork/status/853039028668698624"
"ben_jam_fit","2017-04-14 23:38","0","0","Gain Gang. #livebold @Fitness 101 https://www.instagram.com/p/BS4m5Cng3FG/","","@Fitness","#livebold","853029773211312128","https://twitter.com/ben_jam_fit/status/853029773211312128"
"La_Brooke_Cerda","2017-04-13 16:02","0","0","... not only at United Airline. How about Wall Street and the others ? @Confronting Racism https://www.instagram.com/p/BS1N7wvAYz4/","","@Confronting","","852552680937574400","https://twitter.com/La_Brooke_Cerda/status/852552680937574400"
"locanbrand","2017-04-13 13:52","0","0","So cute. 25% off throw pillows, wall tapestries, & duvet covers. Use GOHOME25 today only IG https://www.instagram.com/p/BS0-_WMly4o/","","","","852519829995225088","https://twitter.com/locanbrand/status/852519829995225088"
"TheMustangBoard","2017-04-13 13:36","1","1","25% off throw pillows, wall tapestries, & duvet covers. Use GOHOME25 #shop #linkinbio https://www.instagram.com/p/BS09MxSF-GP/","","","#shop #linkinbio","852515890809667585","https://twitter.com/TheMustangBoard/status/852515890809667585"
"locanbrand","2017-04-13 13:02","0","0","25% off throw pillows, wall tapestries, & duvet covers. Use GOHOME25 today only IG #myRBthing https://www.instagram.com/p/BS05U-6l2ZX/","","","#myRBthing","852507375517007872","https://twitter.com/locanbrand/status/852507375517007872"
"locanbrand","2017-04-13 12:28","0","0","25% off throw pillows, wall tapestries, & duvet covers. Use GOHOME25 today only IG #myRBthing https://www.instagram.com/p/BS01akXlnX5/","","","#myRBthing","852498764359241728","https://twitter.com/locanbrand/status/852498764359241728"
"TheMustangBoard","2017-04-13 11:52","0","0","Choices of color on the frames of your clock. 25% off throw pillows, wall tapestries, & duvet https://www.instagram.com/p/BS0xRlmlNtE/","","","","852489663352897537","https://twitter.com/TheMustangBoard/status/852489663352897537"
"chubbyflyers","2017-04-13 01:31","0","1","#CD & #DVD COVERS @ChubbyFlyers <~ #datway! - #PRINT #PRINTING #Canada #Mexico #madeinamerica https://www.instagram.com/p/BSzqMJTlMjy/","","@ChubbyFlyers","#CD #DVD #datway #PRINT #PRINTING #Canada #Mexico #madeinamerica","852333353089073156","https://twitter.com/chubbyflyers/status/852333353089073156"
