"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"LegiScanNV","2017-04-19 01:16","0","0","AB76 [Engross] Revises provisions relating to the Central Repository for Nevada Records of Criminal History. (BDR... http://bitly.com/Yq1h17","","","","854503844373463041","https://twitter.com/LegiScanNV/status/854503844373463041"
"LegiScanNV","2017-04-19 00:26","0","0","SB27 [Engross] Revises the definition of the term mental illness for purposes of provisions relating to criminal ... http://bitly.com/TPx2CS","","","","854491297809403904","https://twitter.com/LegiScanNV/status/854491297809403904"
"jkruzel25","2017-04-18 17:11","0","0","#Build the Wall !","","","#Build","854381879914414080","https://twitter.com/jkruzel25/status/854381879914414080"
"scottriley","2017-04-17 13:49","0","0","We're headed to Mexico ! #jesus #orphanlessorphanage #rdsn #rancholovesgroups #serving https://www.instagram.com/p/BS_R4oOFv5a/","","","#jesus #orphanlessorphanage #rdsn #rancholovesgroups #serving","853968778224390145","https://twitter.com/scottriley/status/853968778224390145"
"LegiScanNV","2017-04-17 10:36","0","0","SB379 [NEW] Revises provisions relating to alcohol and drug abuse and behavioral health programs. (BDR 40-514) http://bitly.com/ZRfG5p","","","","853919998775107585","https://twitter.com/LegiScanNV/status/853919998775107585"
"scottriley","2017-04-17 02:26","0","1","This crew heads off to Tecate Mexico in less than 12 hours! #lifepointmissions #rdsn https://www.instagram.com/p/BS-DsV6FcHW/","","","#lifepointmissions #rdsn","853796819276636160","https://twitter.com/scottriley/status/853796819276636160"
"katjaftw","2017-04-15 05:34","0","0","make america great again! #trump #pence #usa #america #potus #trump #donald #pence #great https://www.instagram.com/p/BS5PqoxAo3E/","","","#trump #pence #usa #america #potus #trump #donald #pence #great","853119435653214208","https://twitter.com/katjaftw/status/853119435653214208"
"glynn_cartledge","2017-04-12 03:04","0","0","A listening station with stories from my criminal cases. The exhibition is of the series https://www.instagram.com/p/BSxQGjxA-s6/","","","","851994494794964992","https://twitter.com/glynn_cartledge/status/851994494794964992"
"jkruzel25","2017-04-12 00:25","0","0","Syria,Irag,Afghanistan ,Opioids,Immigration,Russia,Korea. ""YES "" OBAMA AND HILLARY AND KERRY LEFT US A SHITHOLE.","","","","851954482959142912","https://twitter.com/jkruzel25/status/851954482959142912"
"MajorRag3r","2017-04-10 19:20","0","0","Hiked up Red Cliffs with the gang last night. We built some kickers on the way up and sipped a https://www.instagram.com/p/BSt2LXEDXkf/","","","","851515278638927873","https://twitter.com/MajorRag3r/status/851515278638927873"
"dsuperiormusic","2017-04-08 22:56","0","1","Just posted a video @Utah/Nevada Border https://www.instagram.com/p/BSpFU_OBQWJ/","","@Utah","","850844919774101504","https://twitter.com/dsuperiormusic/status/850844919774101504"
"dsuperiormusic","2017-04-08 22:55","0","1","Just posted a video @Utah/Nevada Border https://www.instagram.com/p/BSpFHpnBLdT/","","@Utah","","850844479586058240","https://twitter.com/dsuperiormusic/status/850844479586058240"
"haoweiwannawin","2017-04-08 18:04","0","0","I'm at The Wall #10 in Kirkwood, CA https://www.swarmapp.com/c/kyjhestdfxt","","","#10","850771234057056256","https://twitter.com/haoweiwannawin/status/850771234057056256"
"54stormywill54","2017-04-06 19:45","0","0","Lunchtime with the gang xD (@My Thai & Noodle in Zephyr Cove, NV) https://www.swarmapp.com/c/fLxrQY3n0Xs","","@My","","850071894581751808","https://twitter.com/54stormywill54/status/850071894581751808"
"LegiScanNV","2017-04-05 20:06","0","0","SB451 [NEW] Makes various changes relating to criminal justice. (BDR 14-1007) http://bitly.com/YdsJSg","","","","849714883977502721","https://twitter.com/LegiScanNV/status/849714883977502721"
"LegiScanNV","2017-04-05 17:16","0","0","SB453 [NEW] Revises provisions relating to criminal procedure. (BDR 14-84) http://bitly.com/15PxX6s","","","","849672155541516294","https://twitter.com/LegiScanNV/status/849672155541516294"
"RKAmes","2017-04-03 03:57","0","0","Look Fabio, we are utizing your wonderful souvenir from Mexico. @Midtown District Reno https://www.instagram.com/p/BSaLBLxBZ3G/","","@Midtown","","848746353404424192","https://twitter.com/RKAmes/status/848746353404424192"
"buckford100","2017-04-01 17:03","0","0","The ole gang back together again. We're a little older a little fatter but we're still out https://www.instagram.com/p/BSWbSJwFRsV/","","","","848219183435456513","https://twitter.com/buckford100/status/848219183435456513"
"LegiScanNV","2017-04-01 01:36","0","0","AB474 [NEW] Makes various changes relating to drug overdoses and prescribing and using drugs. (BDR 40-1102) http://bitly.com/15O8me2","","","","847986027541270531","https://twitter.com/LegiScanNV/status/847986027541270531"
