"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"Andez311","2017-04-18 17:43","0","0","RWRunStreak Day 875: 1.25 miles + Abs: 200ct + Sides: 12ct + Wall Push-Ups: 12ct (@-Andez Gym) https://www.swarmapp.com/c/70wKxV4M9AE","","@","","854389899033751552","https://twitter.com/Andez311/status/854389899033751552"
"Andez311","2017-04-18 02:39","0","0","RWRunStreak Day 874: 1.50 miles + Abs: 200ct + Sides: 10ct + Wall Push-Ups: 10ct (@-Andez Gym) https://www.swarmapp.com/c/7CBndA0cKW1","","@","","854162397082378241","https://twitter.com/Andez311/status/854162397082378241"
"Andez311","2017-04-17 03:31","0","0","RWRunStreak Day 873: 3.51 miles + Abs: 200ct + Sides: 13ct + Wall Push-Ups: 13ct (@-Andez Gym) https://www.swarmapp.com/c/1peaYyCJQmL","","@","","853813020665016321","https://twitter.com/Andez311/status/853813020665016321"
"Andez311","2017-04-15 20:38","0","0","RWRunStreak Day 872: 1.25 miles + Abs: 200ct + Sides: 12ct + Wall Push-Ups: 12ct (@-Andez Gym) https://www.swarmapp.com/c/bt1l4SNxlyd","","@","","853346838069596162","https://twitter.com/Andez311/status/853346838069596162"
"macbirddog","2017-04-15 18:31","1","2","On the wall and it was a success! @North Country Climbing Center https://www.instagram.com/p/BS6ohmnjA6VG4384wUKhXLhFtp_g0Oo7YA4S6Q0/ ","","@North","","853314848716972032","https://twitter.com/macbirddog/status/853314848716972032"
"Andez311","2017-04-14 17:58","0","0","RWRunStreak Day 871: 1.50 miles + Abs: 200ct + Sides: 15ct + Wall Push-Ups: 15ct (@-Andez Gym) https://www.swarmapp.com/c/gIkgbrk1HSl","","@","","852944222885998594","https://twitter.com/Andez311/status/852944222885998594"
"Andez311","2017-04-14 03:11","0","0","RWRunStreak Day 870: 2.25 miles + Abs: 200ct + Sides: 25ct + Wall Push-ups: 25ct (@-Andez Gym) https://www.swarmapp.com/c/2PkNr1DtFxH","","@","","852720849501245440","https://twitter.com/Andez311/status/852720849501245440"
"Andez311","2017-04-13 02:01","0","0","RWRunStreak Day 869: 2 miles + Abs: 200ct + Sides: 20ct + Wall Push-Ups: 20ct (@-Andez Gym) https://www.swarmapp.com/c/g3ZblSPBiD5","","@","","852340823450628096","https://twitter.com/Andez311/status/852340823450628096"
"Andez311","2017-04-11 18:10","0","0","RWRunStreak Day 868: 1.25 miles + Abs: 200ct + Sides: 10ct + Wall Push-Ups: 10ct (@-Andez Gym) https://www.swarmapp.com/c/2wggp7YR6jx","","@","","851859987508887552","https://twitter.com/Andez311/status/851859987508887552"
"Andez311","2017-04-11 02:17","0","0","RWRunStreak Day 867: 1.25 miles + Abs: 200ct + Sides: 12ct + Wall Push-Ups: 12ct (@-Andez Gym) https://www.swarmapp.com/c/li4JOP1zQMU","","@","","851620302715052032","https://twitter.com/Andez311/status/851620302715052032"
"Andez311","2017-04-10 00:33","0","0","RWRunStreak Day 866 + Great Bay Half Marathon: 13.51 miles + Abs: 200ct + Sides: 5ct + Wall Push-Ups: 5ct https://www.swarmapp.com/c/hcVQJQRgYea","","","","851231511391215617","https://twitter.com/Andez311/status/851231511391215617"
"Andez311","2017-04-08 19:30","0","0","RWRunStreak Day 865: 2 miles + Abs: 200ct + Sides: 20ct + Wall Push-Ups: 20ct (@-Andez Gym) https://www.swarmapp.com/c/3cleUTzUp8k","","@","","850792934874206208","https://twitter.com/Andez311/status/850792934874206208"
"Andez311","2017-04-07 22:33","0","0","RWRunStreak Day 864: 1.50 miles + Abs: 200ct + Sides: 15ct + Wall Push-Ups: 15ct (@-Andez Gym) https://www.swarmapp.com/c/52b7pxxuhXa","","@","","850476707127726080","https://twitter.com/Andez311/status/850476707127726080"
"Andez311","2017-04-07 01:50","0","0","RWRunStreak Day 863: 1.50 miles + Abs: 200ct + Sides: 10ct + Wall Push-Ups: 10ct (@-Andez Gym) https://www.swarmapp.com/c/kCBLe7XCzWZ","","@","","850163817069899776","https://twitter.com/Andez311/status/850163817069899776"
"Andez311","2017-04-05 20:23","0","0","RWRunStreak Day 862: 2 miles + Abs: 200ct + Sides: 20ct + Wall Push-Ups: 20ct (@-Andez Gym) https://www.swarmapp.com/c/cy8Eh9l0gI7","","@","","849719269491429376","https://twitter.com/Andez311/status/849719269491429376"
