"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"MixMastaB","2017-04-19 23:17","0","0","Custom #snapback hats for every holiday at @lids. #Mexico #cincodemayo @Lids https://www.instagram.com/p/BTFcd6eByhT/","","@lids @Lids","#snapback #Mexico #cincodemayo","854836436415135744","https://twitter.com/MixMastaB/status/854836436415135744"
"DylanColatrella","2017-04-19 21:07","0","1","They gang, they gang, we gang... @Wall, New Jersey https://www.instagram.com/p/BS9PumFBDsDYHueYfawkdzDKfckERdonv7HTKo0/ ","","@Wall","","854803590795284480","https://twitter.com/DylanColatrella/status/854803590795284480"
"Olboy_32st","2017-04-19 20:39","0","0","Basement walls are framed up now 2mar drop basement wall 1inch for drywall and recess lights and https://www.instagram.com/p/BTFKaZvF4Fn/","","","","854796740502978560","https://twitter.com/Olboy_32st/status/854796740502978560"
"eliasmavery","2017-04-19 17:07","0","0","On this day 2 years ago I was puffin mad L's wit Lauren and the gang https://www.instagram.com/p/BTEyGqVjDlwyVbqtgnKs1h4wO505HuYOpHiNeQ0/ ","","","","854743279279144962","https://twitter.com/eliasmavery/status/854743279279144962"
"GoldPackPapi","2017-04-19 16:24","0","1","UNTLD gang team strong while yours weak @The Boom Room https://www.instagram.com/p/BTEtIqFlOOv/","","@The","","854732373228912643","https://twitter.com/GoldPackPapi/status/854732373228912643"
"Grand_Gouda","2017-04-19 14:57","0","0","Wearing 609 clothes and gettin laughs at a whole in the wall. Don't wait for your life. Go and https://www.instagram.com/p/BTEjKzwg9DM/","","","","854710456270958592","https://twitter.com/Grand_Gouda/status/854710456270958592"
"iamshawngates","2017-04-19 14:20","1","1","@okvanleeuwen is an artist and producer with certified cred. He's worked with Taylor Gang, Riff https://www.instagram.com/p/BSP1P9PAysV/","","@okvanleeuwen","","854701288247963649","https://twitter.com/iamshawngates/status/854701288247963649"
"mr31herbz","2017-04-19 12:12","0","0","I stare at her like this... #ijs @""Trey-O Wall"" https://www.instagram.com/p/BTEQUE4g2tl/","","@","#ijs","854668970229727233","https://twitter.com/mr31herbz/status/854668970229727233"
"ATLDreamVision","2017-04-19 11:41","0","0","Y they got a chopped up snake as wall decor in this hotel is beyons me. @Logan Hotel https://www.instagram.com/p/BTEMu3YDvGQ/","","@Logan","","854661102218747905","https://twitter.com/ATLDreamVision/status/854661102218747905"
"TotalTrafficNYC","2017-04-18 23:38","0","0","Accident cleared in #Wall on I-195 WB between Exit 35 and Exit 31 #traffic http://bit.ly/11xKLzq","","","#Wall #traffic","854479187960369152","https://twitter.com/TotalTrafficNYC/status/854479187960369152"
"AliciaDiMichele","2017-04-18 22:06","0","3","That's right Girl Gang Beauts A strong powerful woman can get through whatever, whenever. Keep https://www.instagram.com/p/BTCvhbcl2CE/","","","","854456134488469504","https://twitter.com/AliciaDiMichele/status/854456134488469504"
"TotalTrafficNYC","2017-04-18 19:45","0","0","Closed due to accident in #Wall on I-195 WB between Exit 35 and Exit 31 #traffic http://bit.ly/11xKLzq","","","#Wall #traffic","854420752090660867","https://twitter.com/TotalTrafficNYC/status/854420752090660867"
"KennyBurnsMcGil","2017-04-18 18:26","0","0","Beginning of the day Traffic Court, then off to Criminal Court now https://www.instagram.com/p/BTCWYmRj4vConEI9tdV7dKQj8qxN1bZ8nSEdWo0/ ","","","","854400850059460608","https://twitter.com/KennyBurnsMcGil/status/854400850059460608"
"fordignity1","2017-04-18 18:00","0","1","Major drug bust in NJ. Shout out 2 NJ Police. ""Seven people were busted recently in a statewide https://www.instagram.com/p/BTCTafSh8gw/","","","","854394317032443905","https://twitter.com/fordignity1/status/854394317032443905"
"iamshawngates","2017-04-18 17:21","1","1","@okvanleeuwen is an artist and producer with certified cred. He's worked with Taylor Gang, Riff https://www.instagram.com/p/BSP1P9PAysV/","","@okvanleeuwen","","854384474070675459","https://twitter.com/iamshawngates/status/854384474070675459"
"TheDesigner215","2017-04-18 12:55","0","0","SQUAD!! #thomasboys #lateflick #forgottopost #ss #fresh #lotd215 #squad #gang https://www.instagram.com/p/BTBwatFgfGf/","","","#thomasboys #lateflick #forgottopost #ss #fresh #lotd215 #squad #gang","854317354804793344","https://twitter.com/TheDesigner215/status/854317354804793344"
"MindfireXL","2017-04-18 12:11","0","0","I finally hung my "" Bowie""! It looks right at home on my wall. Found this missing piece of my https://www.instagram.com/p/BTBra6IhXfj/","","","","854306373252784133","https://twitter.com/MindfireXL/status/854306373252784133"
"mr31herbz","2017-04-18 12:07","0","0","#MrAssholeMe ....Well sometimes... @""Trey-O Wall"" https://www.instagram.com/p/BTBrAz0g7iB/","","@","#MrAssholeMe","854305471980810241","https://twitter.com/mr31herbz/status/854305471980810241"
"Tazunmi","2017-04-18 12:03","0","0","#4 out of #25...2007..Lynne Summers..Wall of Fame Member...Your Goal is Our Goal !! #tazunmi @ https://www.instagram.com/p/BTBqgHEDXRa/","","@","#4 #25 #tazunmi","854304349912223744","https://twitter.com/Tazunmi/status/854304349912223744"
