"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"mujerdelsol","2017-04-19 23:49","0","2","Made it to Santa Rosa, New Mexico, and it's windy!!! Set up camp, going to make dinner, but https://www.instagram.com/p/BTFgGlmAFMa/","","","","854844432054616064","https://twitter.com/mujerdelsol/status/854844432054616064"
"AlynnGiselle","2017-04-19 23:26","0","0","Idk if you can see this but I had a scare moment today- #logTruck #ohShit @New Mexico https://www.instagram.com/p/BTFdbUtAUIZ/","","@New","#logTruck #ohShit","854838553955766272","https://twitter.com/AlynnGiselle/status/854838553955766272"
"Tsvetkov13","2017-04-19 23:21","0","0","Just posted a video @Silver City, New Mexico https://www.instagram.com/p/BTFc3kdFg09/","","@Silver","","854837368645353472","https://twitter.com/Tsvetkov13/status/854837368645353472"
"coopersgirl","2017-04-19 22:27","0","1","We all float down here. @New Mexico State University https://www.instagram.com/p/BTFWunoh8aR/","","@New","","854823817566277632","https://twitter.com/coopersgirl/status/854823817566277632"
"Lord__Guppy","2017-04-19 21:28","0","0","Ariel is a Red Sox fan! @Las Cruces, New Mexico https://www.instagram.com/p/BTFP8Qnlx-v/","","@Las","","854808904110411781","https://twitter.com/Lord__Guppy/status/854808904110411781"
"Jonwasgood","2017-04-19 20:51","0","0","Take more pictures of how you see the world and less of the way you look in it. @New Mexico https://www.instagram.com/p/BTFLxuUAevT/","","@New","","854799735298945025","https://twitter.com/Jonwasgood/status/854799735298945025"
"dustinsphotos","2017-04-19 19:50","0","0","Another new blog post from my time in New Mexico. I had no idea shooting in a cave would have https://www.instagram.com/p/BTFEvsuDMPV/","","","","854784274918191104","https://twitter.com/dustinsphotos/status/854784274918191104"
"jtrobby10","2017-04-19 18:36","0","0","What do you see? @Las Cruces, New Mexico https://www.instagram.com/p/BTE8TidBTfrHl6_0Jv9WOliVchSF_mXeAzgloc0/ ","","@Las","","854765717647876100","https://twitter.com/jtrobby10/status/854765717647876100"
"reginaesperon_","2017-04-19 18:04","0","0","I'm at Canteen Taproom in Albuquerque, New Mexico https://www.swarmapp.com/c/cjv2QbWbUtH","","","","854757668954701825","https://twitter.com/reginaesperon_/status/854757668954701825"
"twigmedialab","2017-04-19 17:16","0","2","New Mexico part 2: Elaine @twigmedialab desert_wake @elainejtaylor andy_sunshine12 biz_wallace https://www.instagram.com/p/BTEzKuJD1Ps/","","@twigmedialab @elainejtaylor","","854745621684793344","https://twitter.com/twigmedialab/status/854745621684793344"
"IamLegun","2017-04-19 15:50","0","0","Workin on these new stickers and shirts #waterwarrior #legun1989 endemik.ap @New Mexico https://www.instagram.com/p/BTDA5hljtSJ/","","@New","#waterwarrior #legun1989","854723923564535809","https://twitter.com/IamLegun/status/854723923564535809"
"hiAbimelec","2017-04-19 15:09","0","0","Just posted a photo @New Mexico https://www.instagram.com/p/BTEkmqSlR0I/","","@New","","854713598555377664","https://twitter.com/hiAbimelec/status/854713598555377664"
"OMGJDH","2017-04-19 14:12","0","0","Why I don't workout anymore #Repost @mr_bowelwidth  () @Continental Divide, New Mexico https://www.instagram.com/p/BTEeETlDsG9/","","@mr_bowelwidth @Continental","#Repost","854699220045090817","https://twitter.com/OMGJDH/status/854699220045090817"
"NotableBirdsNM","2017-04-19 13:37","0","0","1 Brown Thrasher (Toxostoma rufum) - US-New Mexico-Silver City-1018 West Luck Street - 32.785x-108.286 - 2017-04-18 17:56","","","","854690539203067904","https://twitter.com/NotableBirdsNM/status/854690539203067904"
"GageHecht","2017-04-19 13:31","0","0","First stage race of the season. Here we go. #Gila2017 #letsgochamp @Silver City, New Mexico https://www.instagram.com/p/BTEZZ8kBB5A/","","@Silver","#Gila2017 #letsgochamp","854688974530465792","https://twitter.com/GageHecht/status/854688974530465792"
"jmunizm61","2017-04-19 12:58","0","0","Just posted a photo @Las Cruces, New Mexico https://www.instagram.com/p/BTEVmErBhZOrtbaHMVXq3fYUym170-gtdfoem00/ ","","@Las","","854680584467001344","https://twitter.com/jmunizm61/status/854680584467001344"
"DaveOfTheDots","2017-04-19 08:36","0","0","Good night @Albuquerque, New Mexico https://www.instagram.com/p/BTD3nZBAntd/","","@Albuquerque","","854614660825350144","https://twitter.com/DaveOfTheDots/status/854614660825350144"
"jmunizm61","2017-04-19 07:57","0","0","Just posted a photo @Las Cruces, New Mexico https://www.instagram.com/p/BTDzIbEBgjeDoIqMlbKNvP3IA7mVbf_MsACAbM0/ ","","@Las","","854604799702061057","https://twitter.com/jmunizm61/status/854604799702061057"
"alghaith5","2017-04-19 06:42","0","0",". . Picnic . . #NW @Cloudcroft, New Mexico https://www.instagram.com/p/BTCXaxagfUS/","","@Cloudcroft","#NW","854586056724885504","https://twitter.com/alghaith5/status/854586056724885504"
"Mike10xMcandrew","2017-04-19 03:54","0","1","#replife @New Mexico https://www.instagram.com/p/BTDXUkuh1yP/","","@New","#replife","854543646552498176","https://twitter.com/Mike10xMcandrew/status/854543646552498176"
"JanaMakeUp","2017-04-19 03:38","1","5","Home is where the heart is #NewMexico #PartiuAlascaNosEua @New Mexico https://www.instagram.com/p/BTDVh7zFccc/","","@New","#NewMexico #PartiuAlascaNosEua","854539722751959040","https://twitter.com/JanaMakeUp/status/854539722751959040"
"_SincerelyV_","2017-04-19 03:03","0","0","Is that snow? Nope. It's White Sands! #cloudcroft @Cloudcroft, New Mexico https://www.instagram.com/p/BTDRji4DDTq/","","@Cloudcroft","#cloudcroft","854530980723527683","https://twitter.com/_SincerelyV_/status/854530980723527683"
"DrunkGardener1","2017-04-19 03:00","0","0","Can't have a cross country road trip without a sketchy overnight stay in a border town! Just https://www.instagram.com/p/BTDRK27gaMm/","","","","854530120756989953","https://twitter.com/DrunkGardener1/status/854530120756989953"
"BrianRoyHaas","2017-04-19 02:17","0","0","The best IPA I've ever had is made in New Mexico. It tastes even better at 12,000 feet. https://www.instagram.com/p/BTDMQC5hlpZ/","","","","854519309980188673","https://twitter.com/BrianRoyHaas/status/854519309980188673"
"facesbyseven","2017-04-19 01:23","0","0","The way my blessings have been set up... all I can say is THANK YOU! @Estancia, New Mexico https://www.instagram.com/p/BTDGB5gAqFB/","","@Estancia","","854505621470806016","https://twitter.com/facesbyseven/status/854505621470806016"
"IamLegun","2017-04-19 00:38","0","0","Workin on these new stickers and shirts #waterwarrior #legun1989 endemik.ap @New Mexico https://www.instagram.com/p/BTDA5hljtSJ/","","@New","#waterwarrior #legun1989","854494343029305345","https://twitter.com/IamLegun/status/854494343029305345"
"tattootour2019","2017-04-19 00:27","0","2","The next official Tattoo Tour expo takes place in LAS CRUCES, NEW MEXICO! Come out and meet https://www.instagram.com/p/BTC_rIVFHpi/","","","","854491654023151617","https://twitter.com/tattootour2019/status/854491654023151617"
"DaveOfTheDots","2017-04-18 23:33","0","0","Dork resting on the cool tiles @Albuquerque, New Mexico https://www.instagram.com/p/BTC5fhBAPHs/","","@Albuquerque","","854478049999544320","https://twitter.com/DaveOfTheDots/status/854478049999544320"
