"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"GrazingFarm","2017-04-19 21:21","0","0","#daisyonthefarm. A serious couch snuggling I'm here for you mom kind of border collie. No lap https://www.instagram.com/p/BTFPKG9hnOl/","","","#daisyonthefarm","854807172751826944","https://twitter.com/GrazingFarm/status/854807172751826944"
"chuckgianakos","2017-04-19 18:44","0","0","On a wall on #mainstreet #art #work #city #stroudsburg #pa #pennsylvania - I thoroughly enjoyed https://www.instagram.com/p/BTE9MeDhLqj/","","","#mainstreet #art #work #city #stroudsburg #pa #pennsylvania","854767668578078720","https://twitter.com/chuckgianakos/status/854767668578078720"
"TUSidelines","2017-04-19 16:53","1","3","Spencer Wall (no auto correct this time) retires the side in order in the third as Colonie leads BSpa 2-0","","","","854739787579785216","https://twitter.com/TUSidelines/status/854739787579785216"
"GoodSpiritsNews","2017-04-19 15:11","0","0","Berlin Wall @Museum of Science & Technology - MOST https://www.instagram.com/p/BTEk33FgqBj/","","@Museum","","854714181437796352","https://twitter.com/GoodSpiritsNews/status/854714181437796352"
"ImanIPAguy","2017-04-18 22:43","0","1","Birthday beer with my wife Michele M.! - Drinking a Gang of Blades @East Greenbush, NY - http://untp.beer/s/c441954714 #photo","","@East","#photo","854465554832388100","https://twitter.com/ImanIPAguy/status/854465554832388100"
"djcurtkrez","2017-04-18 08:21","1","0","Repost via @maserati_styles - w/ repostwhiz app: T.I & FRIENDS LIVE IN CONCERT HUSTLE GANG https://www.instagram.com/p/BTBRFQDluo_/","","@maserati_styles","","854248484135948289","https://twitter.com/djcurtkrez/status/854248484135948289"
"ChrisEcto1","2017-04-17 18:06","0","0","16x20 ""Lace and Heels"". DM me to get this on your wall. Spring cleaning discount so ask https://www.instagram.com/p/BS_vOU2hVvG/","","","","854033258190741508","https://twitter.com/ChrisEcto1/status/854033258190741508"
"brewshark88","2017-04-16 23:05","0","0","After the Border Wall is built, the U.S. will re-instate the Draft and the draftees will be sent to the vegetable and fruit fields.","","","","853746264642637824","https://twitter.com/brewshark88/status/853746264642637824"
"RahnelleJ","2017-04-16 17:58","0","0","Who's not gang, bitch? Let me find out @Gordon's Tap Room http://ln.is/www.instagram.com/p/JjIiZ ","","@Gordon","","853669017906753536","https://twitter.com/RahnelleJ/status/853669017906753536"
"EmergeGalleryNY","2017-04-16 16:53","0","0","Time to make the donuts! Behind the scenes with artist Amy Puccio. Amy creates wonderful wall https://www.instagram.com/p/BS9CD4bFp-m/","","","","853652477832560643","https://twitter.com/EmergeGalleryNY/status/853652477832560643"
"TaylorHillJ","2017-04-16 12:53","0","1","""I had a dream now I'm tryna keep the vision; No more non-violent drug offenders in the https://www.instagram.com/p/BS8mpELARej/","","","","853592176609177601","https://twitter.com/TaylorHillJ/status/853592176609177601"
"tarotakizawart","2017-04-15 16:59","0","1","Thank you very much for everyone who came out last night for the opening at @cfac my next wall https://www.instagram.com/p/BS6eBmmFBUc/","","@cfac","","853291759622860800","https://twitter.com/tarotakizawart/status/853291759622860800"
"VintageMeegan","2017-04-15 16:16","0","0","Nothing says Spring like psychedelic wall art... frogs butterflies mushrooms ... this piece https://www.instagram.com/p/BS6ZEUHjh3G/","","","","853280849239961604","https://twitter.com/VintageMeegan/status/853280849239961604"
"iotportal1","2017-04-15 14:38","0","0","#10: Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street http://dlvr.it/Nv7bqg pic.twitter.com/2devVNAlgR","","","#10","853256153697894401","https://twitter.com/iotportal1/status/853256153697894401"
"kyliefletcher7","2017-04-15 01:00","0","1","some things never change @Mexico Point Park https://www.instagram.com/p/BS4wPejF87J/","","@Mexico","","853050346771550208","https://twitter.com/kyliefletcher7/status/853050346771550208"
"AnakiKHearts","2017-04-14 18:22","0","1","Thanks to a switch on the wall by the bed. @emersonresort @loveroxie77 #happyanniversary https://www.instagram.com/p/BS4Cr22A9Vy/","","@emersonresort @loveroxie77","#happyanniversary","852950157721206788","https://twitter.com/AnakiKHearts/status/852950157721206788"
"RussettLauren","2017-04-13 22:35","0","0","gablusig & I found a cool wall today before we spent all our money:) https://www.instagram.com/p/BS165rogmbWtQRvvpuh1Q2QUa2X5yoan0x4NgI0/ ","","","","852651562430328832","https://twitter.com/RussettLauren/status/852651562430328832"
"NatashaKrolo_","2017-04-13 17:19","0","0","When your study area has a big orange wall that's just staring at https://www.instagram.com/p/BS1WrfIB78kKgBwU1VyU3tbcpEIte6dGVCMAss0/ ","","","","852571910005170176","https://twitter.com/NatashaKrolo_/status/852571910005170176"
"ChrisEcto1","2017-04-13 14:43","0","0","16x20 Jordan 1 ... DM to get this on your wall. #jordan1 #jordans #jordan #sneakerhead https://www.instagram.com/p/BS1E2cIgroz/","","","#jordan1 #jordans #jordan #sneakerhead","852532703778025472","https://twitter.com/ChrisEcto1/status/852532703778025472"
"Katieoevents","2017-04-13 11:13","0","0","#tbt to this fabulous image from clarkwalkerstudio of this beautifully designed flower wall at https://www.instagram.com/p/BS0s2Xtl-kn/","","","#tbt","852479931632189440","https://twitter.com/Katieoevents/status/852479931632189440"
"djcurtkrez","2017-04-12 17:54","1","0","Repost via @maserati_styles - w/ repostwhiz app: HUSTLE GANG TOUR MAY 12th @MidHudsonCC https://www.instagram.com/p/BSy17_Algxd/","","@maserati_styles @MidHudsonCC","","852218441104855040","https://twitter.com/djcurtkrez/status/852218441104855040"
"MichelelaMaison","2017-04-12 10:38","0","0","Yellow roses are an unexpected feminine touch to this metal wall planter. #baldwinsville, https://www.instagram.com/p/BSyED5jDVe9/","","","#baldwinsville","852108756288770049","https://twitter.com/MichelelaMaison/status/852108756288770049"
"iotportal1","2017-04-12 02:20","0","0","#9: Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street http://dlvr.it/NsZT8t","","","#9","851983282207981568","https://twitter.com/iotportal1/status/851983282207981568"
"TheNectarsMusic","2017-04-11 22:45","1","1","Sometimes life puts up a brick wall, and that's when you cover it with a brontosaurus made of https://www.instagram.com/p/BSwyZbpAZhn/","","","","851929179557949441","https://twitter.com/TheNectarsMusic/status/851929179557949441"
"djcurtkrez","2017-04-11 00:46","0","0","Repost via @maserati_styles - w/ repostwhiz app: T.I & FRIENDS LIVE IN CONCERT HUSTLE GANG https://www.instagram.com/p/BSubZeplRce/","","@maserati_styles","","851597289105883138","https://twitter.com/djcurtkrez/status/851597289105883138"
"iotportal1","2017-04-10 20:01","0","0","#7: Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street http://dlvr.it/Ns0Gcl","","","#7","851525621406511104","https://twitter.com/iotportal1/status/851525621406511104"
"dzinermom","2017-04-10 19:21","0","0","I'm at NY/MA Border in West Stockbridge, MA https://www.swarmapp.com/c/gSReSEnJucn","","","","851515492623945728","https://twitter.com/dzinermom/status/851515492623945728"
"iotportal1","2017-04-10 07:55","0","0","#8: A Man for All Markets: From Las Vegas to Wall Street, How I Beat the Dealer and the Market http://dlvr.it/NrjySj","","","#8","851342947178000384","https://twitter.com/iotportal1/status/851342947178000384"
"AndyArthur","2017-04-09 23:13","0","0","Diabetes Epidemic In Mexico Is Fueled By Deep-Fried Tamales And Many Gallons Of Soda http://www.npr.org/sections/goatsandsoda/2017/04/08/522184483/pork-tacos-topped-with-fries-fuel-for-mexicos-diabetes-epidemic ","","","","851211399774720001","https://twitter.com/AndyArthur/status/851211399774720001"
"iotportal1","2017-04-09 19:51","0","0","#10: A Man for All Markets: From Las Vegas to Wall Street, How I Beat the Dealer and the Market http://dlvr.it/NrXfCW","","","#10","851160586360508416","https://twitter.com/iotportal1/status/851160586360508416"
"iotportal1","2017-04-09 13:48","0","0","#7: Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street http://dlvr.it/NrRPzf","","","#7","851069230589943808","https://twitter.com/iotportal1/status/851069230589943808"
"dzinermom","2017-04-09 11:50","0","0","I'm at NY/MA Border in West Stockbridge, MA https://www.swarmapp.com/c/e0GItuxFmvc","","","","851039505045999617","https://twitter.com/dzinermom/status/851039505045999617"
"CraftyKrystin","2017-04-09 02:21","0","0","Fast Food Pairing Course 3: Run For the Border Carnitas Quesadilla and Mexican White Rice w/ https://www.instagram.com/p/BSpcyUjBUDC/","","","","850896490574659584","https://twitter.com/CraftyKrystin/status/850896490574659584"
"dzinermom","2017-04-08 18:05","0","0","Wall of mulch, anyone? (@Fastrac Herkimer Road in Utica, NY) https://www.swarmapp.com/c/dNDd8kreIYq pic.twitter.com/yDUQbOZLPK","","@Fastrac","","850771673477525504","https://twitter.com/dzinermom/status/850771673477525504"
"TuCochitica","2017-04-08 15:54","0","0","Gang I missed them so much @Hamilton College https://www.instagram.com/p/BSoVCJClI8J/","","@Hamilton","","850738711776067584","https://twitter.com/TuCochitica/status/850738711776067584"
"djcurtkrez","2017-04-08 10:36","0","0","PLEASE SHARE T.I THE KING OF THE SOUTH LIVE IN CONCERT HUSTLE GANG TOUR  https://www.instagram.com/p/BSnvCBXFlyJ/","","","","850658571805216768","https://twitter.com/djcurtkrez/status/850658571805216768"
