"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"CraftBeerGarage","2017-04-19 22:41","0","0","Drinking a Gang of Blades by @burialbeer @Sam's Bottle Shop  http://untp.beer/s/c442203943 #photo","","@burialbeer @Sam","#photo","854827209231650816","https://twitter.com/CraftBeerGarage/status/854827209231650816"
"HiMrMackenzie","2017-04-19 14:38","0","0","About to smack today in its big dumb face. #listentobiggie #gang #coffee #keto #coffe @ https://www.instagram.com/p/BTEhC_tjMnR/","","@","#listentobiggie #gang #coffee #keto #coffe","854705773175353345","https://twitter.com/HiMrMackenzie/status/854705773175353345"
"Lifesabeach456","2017-04-19 14:03","0","0","#gang up! Stay down till you come up. @Guilford, North Carolina https://www.instagram.com/p/BTEdEzrl6IE/","","@Guilford","#gang","854697045868916737","https://twitter.com/Lifesabeach456/status/854697045868916737"
"PerfectWorkout","2017-04-19 13:09","0","0","Using a wall for stretching to learn how to stack my hips over my shoulders. Whatever is https://www.instagram.com/p/BTEWuZfleKC/","","","","854683392989962242","https://twitter.com/PerfectWorkout/status/854683392989962242"
"CharlotteCP","2017-04-19 07:31","0","0","AG message to MS-13 gang members, We will find you' http://on.wsoctv.com/2pADsrJ","","","","854598207468208128","https://twitter.com/CharlotteCP/status/854598207468208128"
"klassy_haley","2017-04-19 02:00","0","0","much love @White Wall Photos https://www.instagram.com/p/BTDKQRNjwtk0eDoFmCWaIzEwvUXWzWRGaOU6sI0/ ","","@White","","854514914504953857","https://twitter.com/klassy_haley/status/854514914504953857"
"rpsigns","2017-04-18 23:55","0","0","Wall wraps and ceiling signs for brandalliance in their Charlotte office! We have provided https://www.instagram.com/p/BTC7-Keg8yD/","","","","854483501768421379","https://twitter.com/rpsigns/status/854483501768421379"
"doppledog","2017-04-18 23:48","0","0","Love our Homebrewers Meetings w/ eric_beermonkeybrews and the gang https://www.instagram.com/p/BTC7PDdAOOdJoKrWatmBq30OpjHqOly9pepgN40/ ","","","","854481889108910080","https://twitter.com/doppledog/status/854481889108910080"
"501_Pharmacy","2017-04-18 23:12","1","0","Drug Bug done 4 the day. #indypharmacist #briarchapel #visitveranda #vwbug #vw #501pharmacy https://www.instagram.com/p/BTC3FUOAlwl/","","","#indypharmacist #briarchapel #visitveranda #vwbug #vw #501pharmacy","854472755458301953","https://twitter.com/501_Pharmacy/status/854472755458301953"
"NinerTech","2017-04-18 20:35","0","0","Stop in and check out our clearance wall while supplies last! ALL ITEMS ARE AN ADDITIONAL 30% https://www.instagram.com/p/BTClEduFXQ1/","","","","854433151413882880","https://twitter.com/NinerTech/status/854433151413882880"
