"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"LegiScanND","2017-04-18 06:26","0","0","1096 [Passed] Criminal history record checks. http://bitly.com/SkNB9u","","","","854219506272620544","https://twitter.com/LegiScanND/status/854219506272620544"
"LegiScanND","2017-04-18 02:46","0","0","2090 [Passed] Early childhood services criminal record checks, licensing, definitions, registration, applications... http://bitly.com/ShuMnu","","","","854164121994108929","https://twitter.com/LegiScanND/status/854164121994108929"
"Kelcie_Lyn","2017-04-15 04:27","0","1","Our own little paradise @Mi Mexico ND https://www.instagram.com/p/BS5H-nVFrBo/","","@Mi","","853102542527635456","https://twitter.com/Kelcie_Lyn/status/853102542527635456"
"LegiScanND","2017-04-14 04:56","0","0","1060 [Passed] Criminal history record checks requested by the department of commerce for volunteers and employees... http://bitly.com/UzaKAo","","","","852747272513138692","https://twitter.com/LegiScanND/status/852747272513138692"
"LegiScanND","2017-04-13 04:56","0","0","2090 [Enroll] Early childhood services criminal record checks, licensing, definitions, registration, applications... http://bitly.com/ShuMnu","","","","852385026712981506","https://twitter.com/LegiScanND/status/852385026712981506"
"LegiScanND","2017-04-11 05:56","0","0","1096 [Enroll] Criminal history record checks. http://bitly.com/SkNB9u","","","","851675226047950848","https://twitter.com/LegiScanND/status/851675226047950848"
"LegiScanND","2017-04-11 04:06","0","0","1060 [Enroll] Criminal history record checks requested by the department of commerce for volunteers and employees... http://bitly.com/UzaKAo","","","","851647525664804864","https://twitter.com/LegiScanND/status/851647525664804864"
"LegiScanND","2017-04-06 04:56","0","0","1097 [Passed] Criminal history record checks. http://bitly.com/SiNNpL","","","","849848200500453376","https://twitter.com/LegiScanND/status/849848200500453376"
"LegiScanND","2017-04-01 03:56","0","0","1097 [Enroll] Criminal history record checks. http://bitly.com/SiNNpL","","","","848021163456573442","https://twitter.com/LegiScanND/status/848021163456573442"
"_MsTexas","2017-04-01 01:32","0","0","I'm at Mi Mexico in Minot, ND https://www.swarmapp.com/c/i9ePJYFkk2t","","","","847985057381974018","https://twitter.com/_MsTexas/status/847985057381974018"
"LegiScanND","2017-03-31 06:56","0","0","2249 [Passed] Prohibiting participation in extracurricular activities by students who have committed a criminal o... http://bitly.com/XWJTRq","","","","847704037248057346","https://twitter.com/LegiScanND/status/847704037248057346"
"LegiScanND","2017-03-31 06:16","0","0","2117 [Passed] Criminal history record checks for job applicants, department staff, county employees, contractors,... http://bitly.com/UzsUC2","","","","847694015822675968","https://twitter.com/LegiScanND/status/847694015822675968"
"LegiScanND","2017-03-28 03:56","0","0","2320 [Passed] Drug paraphernalia guidelines and a syringe exchange program. http://bitly.com/W5zvIN","","","","846571557635981315","https://twitter.com/LegiScanND/status/846571557635981315"
"LegiScanND","2017-03-25 05:56","0","0","2249 [Enroll] Prohibiting participation in extracurricular activities by students who have committed a criminal o... http://bitly.com/XWJTRq","","","","845514651760779264","https://twitter.com/LegiScanND/status/845514651760779264"
"LegiScanND","2017-03-25 05:26","0","0","2117 [Enroll] Criminal history record checks for job applicants, department staff, county employees, contractors,... http://bitly.com/UzsUC2","","","","845507190182100992","https://twitter.com/LegiScanND/status/845507190182100992"
"LegiScanND","2017-03-23 03:56","0","0","2131 [Passed] Criminal history record checks by the North Dakota board of physical therapy for physical therapist... http://bitly.com/WBMQUk","","","","844759661689516032","https://twitter.com/LegiScanND/status/844759661689516032"
"LegiScanND","2017-03-22 03:46","0","1","2320 [Enroll] Drug paraphernalia guidelines and a syringe exchange program. http://bitly.com/W5zvIN","","","","844394721099309058","https://twitter.com/LegiScanND/status/844394721099309058"
"LegiScanND","2017-03-17 04:16","0","0","2131 [Enroll] Criminal history record checks by the North Dakota board of physical therapy for physical therapist... http://bitly.com/WBMQUk","","","","842590415320760321","https://twitter.com/LegiScanND/status/842590415320760321"
"LegiScanND","2017-03-15 00:46","0","0","1270 [Passed] Aggravating factors in drug offenses; and to provide a penalty. http://bitly.com/XA9pvI","","","","841812758299566080","https://twitter.com/LegiScanND/status/841812758299566080"
"LegiScanND","2017-03-10 23:56","0","0","1270 [Enroll] Aggravating factors in drug offenses; and to provide a penalty. http://bitly.com/XA9pvI","","","","840350645865570304","https://twitter.com/LegiScanND/status/840350645865570304"
"33VIL","2017-03-08 18:51","0","0","Sniper doing border patrol making sure we are safe and secure. #shibainu #shibasecurityinc https://www.instagram.com/p/BRY0mNqh8ym/","","","#shibainu #shibasecurityinc","839549116405317632","https://twitter.com/33VIL/status/839549116405317632"
"LegiScanND","2017-03-04 06:16","0","0","1132 [Passed] Completion of criminal background checks of employees and contractors of job service North Dakota; ... http://bitly.com/SlkW43","","","","837909518478618627","https://twitter.com/LegiScanND/status/837909518478618627"
"LegiScanND","2017-03-04 00:06","0","0","1086 [Passed] Notice to treating doctor, social security offset, criminal offense for filing of false claim, and ... http://bitly.com/UxL7jo","","","","837816444415012866","https://twitter.com/LegiScanND/status/837816444415012866"
"LegiScanND","2017-03-03 00:06","0","0","1304 [Passed] Prohibiting the wearing of masks, hoods, and face coverings during the commission of a criminal off... http://bitly.com/XzT9Lg","","","","837454058784972808","https://twitter.com/LegiScanND/status/837454058784972808"
"LegiScanND","2017-03-02 03:36","0","0","1086 [Enroll] Notice to treating doctor, social security offset, criminal offense for filing of false claim, and ... http://bitly.com/UxL7jo","","","","837144590859763712","https://twitter.com/LegiScanND/status/837144590859763712"
"LegiScanND","2017-03-02 00:56","0","0","2302 [Passed] A drug use status and trends report; to provide a penalty; and to declare an emergency. http://bitly.com/W1me42","","","","837104340921892864","https://twitter.com/LegiScanND/status/837104340921892864"
"sgerving","2017-02-26 22:21","0","0","Birthday cheer! Yeah mon! @Los Luna's A Taste of New Mexico https://www.instagram.com/p/BQ_coPYgpcaLrz-Ybi2uskEnPse2S0H_edEw5k0/ ","","@Los","","835978185665761280","https://twitter.com/sgerving/status/835978185665761280"
"LegiScanND","2017-02-23 20:56","0","0","1132 [Enroll] Completion of criminal background checks of employees and contractors of job service North Dakota; ... http://bitly.com/SlkW43","","","","834869507655102465","https://twitter.com/LegiScanND/status/834869507655102465"
"LegiScanND","2017-02-23 09:16","0","0","2302 [Enroll] A drug use status and trends report; to provide a penalty; and to declare an emergency. http://bitly.com/W1me42","","","","834693361722392577","https://twitter.com/LegiScanND/status/834693361722392577"
"LegiScanND","2017-02-22 01:36","0","0","1304 [Enroll] Prohibiting the wearing of masks, hoods, and face coverings during the commission of a criminal off... http://bitly.com/XzT9Lg","","","","834215300128059392","https://twitter.com/LegiScanND/status/834215300128059392"
"LegiScanND","2017-02-21 04:56","0","0","2320 [Engross] Drug paraphernalia guidelines and a syringe exchange program; and to declare an emergency. http://bitly.com/W5zvIN","","","","833903077426073602","https://twitter.com/LegiScanND/status/833903077426073602"
"LegiScanND","2017-02-18 14:46","0","0","1060 [Engross] Criminal history record checks requested by the department of commerce for volunteers providing me... http://bitly.com/UzaKAo","","","","832964416505249792","https://twitter.com/LegiScanND/status/832964416505249792"
"LegiScanND","2017-02-18 08:06","0","0","2249 [Engross] Prohibiting participation in extracurricular activities by students who have committed a criminal ... http://bitly.com/XWJTRq","","","","832863858066935808","https://twitter.com/LegiScanND/status/832863858066935808"
"LegiScanND","2017-02-18 03:06","0","0","1270 [Engross] Aggravating factors in drug offenses; and to provide a penalty. http://bitly.com/XA9pvI","","","","832788312138063872","https://twitter.com/LegiScanND/status/832788312138063872"
"LegiScanND","2017-02-18 01:06","0","0","2131 [Engross] Criminal history record checks by the North Dakota board of physical therapy for physical therapis... http://bitly.com/WBMQUk","","","","832758147865464832","https://twitter.com/LegiScanND/status/832758147865464832"
