"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"evee","2017-04-19 22:20","0","1","Drinking a Space Dust IPA by @ElysianBrewing @101 Bottles of Beer on the Wall  http://untp.beer/s/c442195709","","@ElysianBrewing @101","","854821953219301376","https://twitter.com/evee/status/854821953219301376"
"evee","2017-04-19 21:31","0","1","Drinking a Juicy Truth by @Rhinegeist @101 Bottles of Beer on the Wall  http://untp.beer/s/c442178688","","@Rhinegeist @101","","854809690747916289","https://twitter.com/evee/status/854809690747916289"
"evee","2017-04-19 21:20","0","0","Drinking a Brew Free! or Die IPA (Blood Orange) by @21stAmendment @101 Bottles of Beer on the Wall  http://untp.beer/s/c442175359","","@21stAmendment @101","","854806951926124544","https://twitter.com/evee/status/854806951926124544"
"evee","2017-04-19 21:17","0","0","Aggressive - Drinking a Hop JuJu by @FatHeadsBeer @101 Bottles of Beer on the Wall  http://untp.beer/s/c442174472","","@FatHeadsBeer @101","","854806279340118021","https://twitter.com/evee/status/854806279340118021"
"evee","2017-04-19 21:14","0","1","- Drinking a Zombie Dust by @3floyds @101 Bottles of Beer on the Wall  http://untp.beer/s/c442173536 #photo","","@3floyds @101","#photo","854805529465638914","https://twitter.com/evee/status/854805529465638914"
"fitchbear","2017-04-19 19:00","0","0","I'm at Discount Drug Mart in Mason, OH https://www.swarmapp.com/c/30h9TtwV3AY","","","","854771687795159040","https://twitter.com/fitchbear/status/854771687795159040"
"TonyPMihalic","2017-04-19 15:05","0","0","I'm at Discount Drug Mart in Lorain, OH https://www.swarmapp.com/c/f0ziXuRw4LW","","","","854712548352032772","https://twitter.com/TonyPMihalic/status/854712548352032772"
"JuanM_arti","2017-04-19 13:45","0","0","Twilight #sunrise_sunsets_aroundworld #city #ohio #morning #photooftheday #mexico #colors #art https://www.instagram.com/p/BTEa8fcAxjG/","","","#sunrise_sunsets_aroundworld #city #ohio #morning #photooftheday #mexico #colors #art","854692352388202497","https://twitter.com/JuanM_arti/status/854692352388202497"
"ColumbusCP","2017-04-19 13:00","0","0","Drug-sniffing lizard joins Arizona police force. http://nbc4i.co/2pBn22n","","","","854681149301374976","https://twitter.com/ColumbusCP/status/854681149301374976"
"fitchbear","2017-04-19 10:50","0","0","I'm at Discount Drug Mart in Mason, OH https://www.swarmapp.com/c/45FoIM595U5","","","","854648433524842497","https://twitter.com/fitchbear/status/854648433524842497"
"xaviersreality","2017-04-19 01:09","0","0","It's wall art. #247sauce #cool #answers #xr66 @Cleveland Heights-University Heights Public Library https://www.instagram.com/p/BTDEgzYjjsM/","","@Cleveland","#247sauce #cool #answers #xr66","854502286185385988","https://twitter.com/xaviersreality/status/854502286185385988"
"cadfile","2017-04-18 19:53","0","0","Hanging out with Mad Anthony Wayne and the gang @Fallen Timbers Monument https://www.instagram.com/p/BTCgWzjBNIg/","","@Fallen","","854422775955574786","https://twitter.com/cadfile/status/854422775955574786"
"MarraX2","2017-04-18 19:29","0","2","Sometimes I like to pretend my dog is a criminal on the loose and chase him around with a water https://www.instagram.com/p/BTCdi2mlglC/","","","","854416603768909824","https://twitter.com/MarraX2/status/854416603768909824"
"GirlsWithSole","2017-04-18 18:58","1","3","On May 20, 2017 I'll be Conquering the Wall for Girls With Sole. Obstacles are placed before us, https://www.instagram.com/p/BTCZ_c5jF5h/","","","","854408783791104000","https://twitter.com/GirlsWithSole/status/854408783791104000"
"TonyPMihalic","2017-04-18 17:56","0","0","I'm at Discount @Drug_Mart in Amherst, OH https://www.swarmapp.com/c/elmyZWwoJAx","","@Drug_Mart","","854393109056294913","https://twitter.com/TonyPMihalic/status/854393109056294913"
"TonyPMihalic","2017-04-18 17:18","0","0","I'm at Discount Drug Mart in Lorain, OH https://www.swarmapp.com/c/4QwL8zy8pMA","","","","854383701320278017","https://twitter.com/TonyPMihalic/status/854383701320278017"
"DJAlexKay","2017-04-17 22:44","0","0","Video guys doing video things. 4mm 30' curved LED wall and a digital way-finding tower @NPi https://www.instagram.com/p/BTAPEORjmN3/","","@NPi","","854103284533137409","https://twitter.com/DJAlexKay/status/854103284533137409"
"NickAlanIngram","2017-04-17 21:28","0","2","Got a Rogue One vinyl today! Can't wait to hang it on the wall and add it to the Star Wars https://www.instagram.com/p/BTAGZM7htZx/","","","","854084214895001601","https://twitter.com/NickAlanIngram/status/854084214895001601"
"TonyPMihalic","2017-04-17 17:06","0","0","I'm at Discount Drug Mart in Lorain, OH https://www.swarmapp.com/c/jP8TKXdkRNI","","","","854018169165557761","https://twitter.com/TonyPMihalic/status/854018169165557761"
"MrBonde1","2017-04-17 16:51","0","0","Before we cross the border back into #Canada I have to pick my two #BestFriends from #America https://www.instagram.com/p/BS_mtiHA3fq/","","","#Canada #BestFriends #America","854014543378472960","https://twitter.com/MrBonde1/status/854014543378472960"
"fitchbear","2017-04-17 11:48","0","0","I'm at Discount Drug Mart in Mason, OH https://www.swarmapp.com/c/lGY5jgIyJ9n","","","","853938221197217792","https://twitter.com/fitchbear/status/853938221197217792"
"fitchbear","2017-04-17 10:30","0","0","I'm at Discount Drug Mart in Mason, OH https://www.swarmapp.com/c/5jJ9Au9Zg78","","","","853918588851433473","https://twitter.com/fitchbear/status/853918588851433473"
"fitchbear","2017-04-17 03:46","0","0","I'm at Discount Drug Mart in Mason, OH https://www.swarmapp.com/c/5mCJuZI6fTL","","","","853816993216114690","https://twitter.com/fitchbear/status/853816993216114690"
"t_geissy","2017-04-17 01:43","0","4","Almost got the whole gang back home, but so nice to be with the fam bam again. Happy Easter from https://www.instagram.com/p/BS9-zBnDJtH/","","","","853786032277508097","https://twitter.com/t_geissy/status/853786032277508097"
"jtudor","2017-04-16 17:03","0","0","That's right, I drug her out for this. (@AMC Easton Town Center 30 - @amctheatres for The Fate of the Furious) https://www.swarmapp.com/c/d9VUbgXMrvB","","@AMC @amctheatres","","853655091815043073","https://twitter.com/jtudor/status/853655091815043073"
"Klunkernaught1","2017-04-16 15:16","0","0","Just posted a photo @Michigan-Ohio Border https://www.instagram.com/p/BS83C4sD0yWPF9EEkdpJdR9GrI9pOjIidisMpY0/ ","","@Michigan","","853628252816117761","https://twitter.com/Klunkernaught1/status/853628252816117761"
