"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"mattwjanitor","2017-04-18 00:20","0","0","#LHHATL Oh No, please tell me Joseline didn't have to take a drug test","","","#LHHATL","854127459129847808","https://twitter.com/mattwjanitor/status/854127459129847808"
"patrickcrain73","2017-04-17 22:52","0","1","Now watching - The Wolf of Wall Street (2013) #martinscorsese @Crain Manor https://www.instagram.com/p/BTAQBDfgwIs/","","@Crain","#martinscorsese","854105370083590149","https://twitter.com/patrickcrain73/status/854105370083590149"
"dblakesmart","2017-04-17 22:49","0","4","NEVER BOOK THE LAST FLIGHT OUT OF A SMALL AIRPORT! #iknowbetter #drivehard @Kansas/Oklahoma Border https://www.instagram.com/p/BTAPrvMgKkD/","","@Kansas","#iknowbetter #drivehard","854104636671832065","https://twitter.com/dblakesmart/status/854104636671832065"
"grubs_dickson","2017-04-17 22:41","0","0","Come watch the NBA & NHL playoffs with us on our 9 panel TV wall! We have $5 & $8 happy hour https://www.instagram.com/p/BTAOvHmjs87/","","","","854102560990527489","https://twitter.com/grubs_dickson/status/854102560990527489"
"T_Geez","2017-04-17 20:21","0","1","When you finally get tatted ... Gang @Fort Smith, Arkansas https://www.instagram.com/p/BS_-wUbBOA5TSan-IverGdF1ZlsMS-BoYMBl1k0/ ","","@Fort","","854067425825898496","https://twitter.com/T_Geez/status/854067425825898496"
"JenScanlan","2017-04-17 18:12","0","0","More images from this weekend: the haunting exhibition 'Border Cantos' at Crystal Bridges. The https://www.instagram.com/p/BS_v76wjrD0/","","","","854034827250720770","https://twitter.com/JenScanlan/status/854034827250720770"
"HortonRecordsOK","2017-04-16 05:34","0","0","wink_burcham and the gang doing it right at the_colony_tulsa - that's @jacobtovarmusic's cowboy https://www.instagram.com/p/BS70cT3gm1J/","","@jacobtovarmusic","","853481786159931392","https://twitter.com/HortonRecordsOK/status/853481786159931392"
"Osas____","2017-04-15 02:05","0","0","just here tensioning the #smalltwinpeaks gang. God dey sha","","","#smalltwinpeaks","853066605886156801","https://twitter.com/Osas____/status/853066605886156801"
"SofiaHathaway","2017-04-15 00:45","0","0","Border Cantos @Crystal Bridges Museum of American Art https://www.instagram.com/p/BS4ujH4jsl_/","","@Crystal","","853046618127552516","https://twitter.com/SofiaHathaway/status/853046618127552516"
"MastonSeth","2017-04-14 19:39","0","2","All custom like we on the border. #NightLite #bkirk @Alva, Oklahoma https://www.instagram.com/p/BS2wlibBGQdL4QvoDf_AQqFaq-0hdDsxPC3puE0/ ","","@Alva","#NightLite #bkirk","852969636329136129","https://twitter.com/MastonSeth/status/852969636329136129"
"cbd_wichita","2017-04-14 18:02","0","0","Its fun to change it up and walk over to the whiteboard wall to express our thoughts on https://www.instagram.com/p/BS4Aaw9ga7t/","","","","852945170412838912","https://twitter.com/cbd_wichita/status/852945170412838912"
"hbooki1","2017-04-14 12:30","0","0","Drug test for job (@Quest Diagnostics in Bentonville, AR) https://www.swarmapp.com/c/jh4CrrePRmh","","@Quest","","852861594421927936","https://twitter.com/hbooki1/status/852861594421927936"
"scottmo","2017-04-14 04:03","1","2","Late night Led light wall demo. Looks amazing. #eastersunday @southpointeokc @Southpointe Church https://www.instagram.com/p/BS2gcJpFIC5/","","@southpointeokc @Southpointe","#eastersunday","852734146514309120","https://twitter.com/scottmo/status/852734146514309120"
