"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"FriedEggLove","2017-04-18 05:26","0","0","Our living wall is alive again, thanks to ln_krause and her magnificent green thumb. @ https://www.instagram.com/p/BTA9H-nFchf/","","@","","854204569215217667","https://twitter.com/FriedEggLove/status/854204569215217667"
"Smokeyssalem","2017-04-16 20:08","0","0","Santa Cruz shredders 20% off reg price (cookies-Taylor gang are in stock) TODAY ONLY SALE ENDS https://www.instagram.com/p/BS9Ya5AgGwz/","","","","853701635331280900","https://twitter.com/Smokeyssalem/status/853701635331280900"
"nicoleamiles","2017-04-16 06:02","0","0","Support your local girl gang #ijustwannarock #hellokittytruck #bananas @Bridgeport Village https://www.instagram.com/p/BS73TEYA-wR/","","@Bridgeport","#ijustwannarock #hellokittytruck #bananas","853488666416742401","https://twitter.com/nicoleamiles/status/853488666416742401"
"_TheRealFox_","2017-04-16 04:49","0","0","Columbia River and Coyote Wall from Mosier Plateau - Mosier, Oregon. #oregon https://www.instagram.com/p/BS7vPD5DUuS/","","","#oregon","853470334376443908","https://twitter.com/_TheRealFox_/status/853470334376443908"
"AlmineBarton1","2017-04-14 17:37","0","3","""Karen"" #WOD today! 150 wall-balls for time. #getafterit #crossfit #crossfitthrice #goodmorning https://www.instagram.com/p/BS39kbsgdW-/","","","#WOD #getafterit #crossfit #crossfitthrice #goodmorning","852938909612994560","https://twitter.com/AlmineBarton1/status/852938909612994560"
"SandMasterPark","2017-04-14 16:07","0","1","Wall mural @Eugene, Oregon https://www.instagram.com/p/BS3zNFoFvKy/","","@Eugene","","852916123066658816","https://twitter.com/SandMasterPark/status/852916123066658816"
"chefjamesandrew","2017-04-14 03:33","0","0","I'm at El Sol De Mexico in Corvallis, OR https://www.swarmapp.com/c/2bI7H8pITq5","","","","852726497194409984","https://twitter.com/chefjamesandrew/status/852726497194409984"
"Kazzuzzu","2017-04-14 03:28","0","2","Purple Gang #pnw #artofvisuals #instamood # #pdx #purple #visualsoflife @Wooden Shoe https://www.instagram.com/p/BS2cX9XlOyo/","","@Wooden","#pnw #artofvisuals #instamood # #pdx #purple #visualsoflife","852725193827115008","https://twitter.com/Kazzuzzu/status/852725193827115008"
"Idiomism","2017-04-14 03:15","0","0","#sunset #bikeride @Washington-Oregon Border https://www.instagram.com/p/BS2a2wMlldc/","","@Washington","#sunset #bikeride","852721837125640193","https://twitter.com/Idiomism/status/852721837125640193"
"Idiomism","2017-04-14 03:13","0","0","#sunset #bikeride #borderhopping #oregon #washington #205 #centerlane @Washington-Oregon Border https://www.instagram.com/p/BS2ar0TFP9g/","","@Washington","#sunset #bikeride #borderhopping #oregon #washington #205 #centerlane","852721461106225152","https://twitter.com/Idiomism/status/852721461106225152"
"divajj","2017-04-13 19:24","0","6","I didn't kick the bucket. Chilling before they discharge me. Glad surgery is over. Fentanyl is a hell of a drug! #woooo","","","#woooo","852603439171293184","https://twitter.com/divajj/status/852603439171293184"
"liberatr","2017-04-10 20:44","0","0","Hail! Hail! The gang's all here! @Cedar Crossing Covered Bridge https://www.instagram.com/p/BSt_0t5DsDE/","","@Cedar","","851536488642867201","https://twitter.com/liberatr/status/851536488642867201"
"SoUnDWaVeSbeats","2017-04-10 15:10","0","0","Volcano+Rocks+Wall=Art. #volcano #redmond #oregon #photography #art #soundwavesofficial #wall https://www.instagram.com/p/BStZg3-lueT/","","","#volcano #redmond #oregon #photography #art #soundwavesofficial #wall","851452248634925057","https://twitter.com/SoUnDWaVeSbeats/status/851452248634925057"
"JENuinelyME","2017-04-09 18:33","0","1","Some of the best bnh mi joints are the hole-in-the-wall establishments in the sketchy https://www.instagram.com/p/BSrMAZUFxLt/","","","","851141074592649217","https://twitter.com/JENuinelyME/status/851141074592649217"
