"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"chuckgianakos","2017-04-19 18:44","0","0","On a wall on #mainstreet #art #work #city #stroudsburg #pa #pennsylvania - I thoroughly enjoyed https://www.instagram.com/p/BTE9MeDhLqj/","","","#mainstreet #art #work #city #stroudsburg #pa #pennsylvania","854767668578078720","https://twitter.com/chuckgianakos/status/854767668578078720"
"LegiScanPA","2017-04-19 18:06","0","0","HB1255 [NEW] In governance of the system, further providing for criminal laboratory user fee. http://bitly.com/YjmyJW","","","","854758000778661888","https://twitter.com/LegiScanPA/status/854758000778661888"
"LegiScanPA","2017-04-18 22:46","0","0","SB635 [NEW] In culpability, further providing for causal relationship between conduct and result; in criminal hom... http://bitly.com/Yy1L5n","","","","854466258330431488","https://twitter.com/LegiScanPA/status/854466258330431488"
"GarageStrength","2017-04-17 11:30","0","0","When that far wall comes down, this place is going to be incredible. #GarageStrength https://www.instagram.com/p/BS_B47GFUb4/","","","#GarageStrength","853933573044396032","https://twitter.com/GarageStrength/status/853933573044396032"
"CRotondi","2017-04-16 21:28","0","0","I'm at Mason-Dixon Line (Maryland / Pennsylvania State Border) in Greencastle, PA https://www.swarmapp.com/c/4UgxSnD4mFE","","","","853721677896830978","https://twitter.com/CRotondi/status/853721677896830978"
"Robellious1","2017-04-16 17:24","0","0","Early family Christmas card #penn #collegereunion #cabinfever #gang https://www.instagram.com/p/BS9FqjVBDSZmx84Bps8LTZgxnp_JJ_fOjpFetY0/ ","","","#penn #collegereunion #cabinfever #gang","853660396384681984","https://twitter.com/Robellious1/status/853660396384681984"
"sueprice1968","2017-04-15 21:06","0","0","I joined Cletus at the wall!!! #cletus #dogs #dogmom #dogsofinstgram @Shade Gap Area https://www.instagram.com/p/BS66OFYB_Y0/","","@Shade","#cletus #dogs #dogmom #dogsofinstgram","853353750718627840","https://twitter.com/sueprice1968/status/853353750718627840"
"VintageMeegan","2017-04-15 16:16","0","0","Nothing says Spring like psychedelic wall art... frogs butterflies mushrooms ... this piece https://www.instagram.com/p/BS6ZEUHjh3G/","","","","853280849239961604","https://twitter.com/VintageMeegan/status/853280849239961604"
"DonnyCaltrider","2017-04-15 13:33","0","1","""Hold your tongue!"" ""You do not know to whom you speak. This is no common criminal. This is https://www.instagram.com/p/BS6Ga8Cg1nN/","","","","853239842163101696","https://twitter.com/DonnyCaltrider/status/853239842163101696"
"ShoreCakeSupply","2017-04-14 20:44","0","0","I'm hanging at hersheypark this weekend with my gang, so thought this a good one! Lol. Great https://www.instagram.com/p/BS4TACWF5aW/","","","","852986038393987072","https://twitter.com/ShoreCakeSupply/status/852986038393987072"
"PhillyKelsey","2017-04-14 15:31","0","0","Taped the passport office wall. No make-up, hair a mess; Figured it wouldn't matter anyway ha! https://www.instagram.com/p/BS3vG0BhuPx/","","","","852907100309147648","https://twitter.com/PhillyKelsey/status/852907100309147648"
