"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"jsemedo5","2017-04-19 02:11","0","1","Damn I was bout to start episode 2 lol RT @shinellmonique: season five of prison break is border line whackerrrr than season theee bruh","","@shinellmonique","","854517771358621696","https://twitter.com/jsemedo5/status/854517771358621696"
"xbrenner5","2017-04-19 01:18","0","0","4-18-2017 my favorite mural in providence #art #mural #wall #brick #paint #mushrooms #colors https://www.instagram.com/p/BTDFhedDpI9/","","","#art #mural #wall #brick #paint #mushrooms #colors","854504509900550144","https://twitter.com/xbrenner5/status/854504509900550144"
"RealDJInkognito","2017-04-18 22:16","0","2","80s Rap Video...hangin wit my mini me jvlianna - haven't pulled the foot/back wall move https://www.instagram.com/p/BTCwuAJjRry/","","","","854458762203201537","https://twitter.com/RealDJInkognito/status/854458762203201537"
"LegiScanRI","2017-04-17 20:56","0","0","S0778 [NEW] Relating To Criminal Offenses-assaults http://bitly.com/YcayvJ","","","","854076063617609729","https://twitter.com/LegiScanRI/status/854076063617609729"
"syafiq_man","2017-04-17 01:35","0","0","Make America Great Again #ss #makeamericagreatagain @Newport, Rhode Island https://www.instagram.com/p/BS9939UhAsw/","","@Newport","#ss #makeamericagreatagain","853784001772789761","https://twitter.com/syafiq_man/status/853784001772789761"
"HighKingCam","2017-04-16 18:06","0","0","Trapped behind a wall #stone #wall #vine #night #bar #spring #dark #carja @Arcade at Biergarten https://www.instagram.com/p/BS9KgyNjS6a/","","@Arcade","#stone #wall #vine #night #bar #spring #dark #carja","853671057546510336","https://twitter.com/HighKingCam/status/853671057546510336"
"bostoninthecity","2017-04-10 17:35","0","0","dancers - love this wall @FestBalletProv #tutumuchdesign #tutus #ballet #dance #showtime @ https://www.instagram.com/p/BStqMhSh0lQ/","","@FestBalletProv @","#tutumuchdesign #tutus #ballet #dance #showtime","851488927802208256","https://twitter.com/bostoninthecity/status/851488927802208256"
"TheClookie","2017-04-10 01:10","0","2","Providence wall tag by Yours Truly! I always forget how happy art projects make me! This one https://www.instagram.com/p/BSr5bXHhQcW/","","","","851240949703262209","https://twitter.com/TheClookie/status/851240949703262209"
"benedicteverley","2017-04-10 00:55","0","0","Sea wall on my daily walk ... #ocean #seawall #lilrhody #rhodeisland #coastal #texture #art https://www.instagram.com/p/BSr3uGPAgPx/","","","#ocean #seawall #lilrhody #rhodeisland #coastal #texture #art","851237189908410369","https://twitter.com/benedicteverley/status/851237189908410369"
"AmyMBlanchette","2017-04-09 00:07","0","0","Found this #art on the wall at the Narrows Center for the Arts. I loved it so much I had to take https://www.instagram.com/p/BSpNYRFD9_r/","","","#art","850862610467651584","https://twitter.com/AmyMBlanchette/status/850862610467651584"
"cobeezer","2017-04-05 10:04","0","0","Humpty Trumpty sat his Fat Ass on all Wall. Humpty Trumpty will have a Great Fall!","","","","849563350111531008","https://twitter.com/cobeezer/status/849563350111531008"
"DJDamienPaul","2017-04-01 23:49","0","0","#supremesoundandlighting killing this video wall at @tightcrew #spacejam @Fete Music Hall https://www.instagram.com/p/BSXJwY9DE7m/","","@tightcrew @Fete","#supremesoundandlighting #spacejam","848321408300142592","https://twitter.com/DJDamienPaul/status/848321408300142592"
"nathansmcnamara","2017-04-01 21:09","0","0","Wall-to-wall carpeting @Kingstown Bowl Club Roxx https://www.instagram.com/p/BSW3gV7DV9N/","","@Kingstown","","848281233574461440","https://twitter.com/nathansmcnamara/status/848281233574461440"
"joyfully_jen","2017-03-31 19:20","0","3","""Because I am T Hug the THug"" . . . Because I saw this on the wall during my ear training exam https://www.instagram.com/p/BSUGLbVDsn9/","","","","847891287739117570","https://twitter.com/joyfully_jen/status/847891287739117570"
"LegiScanRI","2017-03-31 11:46","0","0","H6021 [NEW] Rhode Island Values Act--enhanced Community Protection In Immigration Enforcement Action http://bitly.com/10zLSkG","","","","847777017860902913","https://twitter.com/LegiScanRI/status/847777017860902913"
"ShoreSoapCo","2017-03-28 22:25","0","0","Off season upgrades, fresh wall. @Shore Soap Co. https://www.instagram.com/p/BSMtDUQDxKs/","","@Shore","","846850874454528001","https://twitter.com/ShoreSoapCo/status/846850874454528001"
"ShoreSoapCo","2017-03-28 21:36","0","0","Off season store updates, fresh wall. @Shore Soap Co. https://www.instagram.com/p/BSMnW2njzQi/","","@Shore","","846838350753468416","https://twitter.com/ShoreSoapCo/status/846838350753468416"
"TotalTrafficPVD","2017-03-28 09:04","0","0","Closed due to bridge demolition work in #EastProvidence on Rt. 152 Both EB/WB between RI-114 and RI--MA State Border #traffic","","","#EastProvidence #traffic","846649124787306497","https://twitter.com/TotalTrafficPVD/status/846649124787306497"
"solomon_dy","2017-03-27 17:22","0","0","Looking for a pick me up on this Rainy Monday. Come on down to Phred's Drug for the newly https://www.instagram.com/p/BSJlg69hA5y/","","","","846412083289767936","https://twitter.com/solomon_dy/status/846412083289767936"
"WOOFWOOFRI","2017-03-27 14:03","0","0","Happy Monday from the WOOF! WOOF! gang #woofwoofri #woofwoof #woofwoofboutique https://www.instagram.com/p/BSJOv0whWs5/","","","#woofwoofri #woofwoof #woofwoofboutique","846362017443168256","https://twitter.com/WOOFWOOFRI/status/846362017443168256"
"TotalTrafficPVD","2017-03-27 13:28","0","0","Closed due to bridge demolition work in #EastProvidence on Rt. 152 Both EB/WB between RI-114 and RI--MA State Border #traffic","","","#EastProvidence #traffic","846353281844756481","https://twitter.com/TotalTrafficPVD/status/846353281844756481"
"TotalTrafficPVD","2017-03-27 09:02","0","0","Road construction, single line traffic-alternate directions in #EastProvidence on Rt. 152 Both EB/WB between RI-114 and RI--MA State Border","","","#EastProvidence","846286296041623552","https://twitter.com/TotalTrafficPVD/status/846286296041623552"
"TotalTrafficPVD","2017-03-26 10:59","0","0","Road construction, single line traffic-alternate directions in #EastProvidence on Rt. 152 Both EB/WB between RI-114 and RI--MA State Border","","","#EastProvidence","845953441302220800","https://twitter.com/TotalTrafficPVD/status/845953441302220800"
"TotalTrafficPVD","2017-03-25 18:16","0","0","Road construction, single line traffic-alternate directions in #EastProvidence on Rt. 152 Both EB/WB between RI-114 and RI--MA State Border","","","#EastProvidence","845700867609251844","https://twitter.com/TotalTrafficPVD/status/845700867609251844"
"TotalTrafficPVD","2017-03-25 10:37","0","0","Road construction, single line traffic-alternate directions in #EastProvidence on Rt. 152 Both EB/WB between RI-114 and RI--MA State Border","","","#EastProvidence","845585379029757953","https://twitter.com/TotalTrafficPVD/status/845585379029757953"
