"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"maryannswood","2017-04-19 22:00","0","0","Takeout! (@Real Mexico in Columbia, SC) https://www.swarmapp.com/c/khUqMk6JTli","","@Real","","854817074065133569","https://twitter.com/maryannswood/status/854817074065133569"
"chsfoodwriter","2017-04-19 18:19","0","0","Today while working on a special project downtown, I came across this beautiful wall mounted https://www.instagram.com/p/BTE6S0_hBG0/","","","","854761288987099137","https://twitter.com/chsfoodwriter/status/854761288987099137"
"SCHomeTeam","2017-04-19 16:43","0","0","See a virtual tour of my listing on 872 Wall St #Iva #SC #realestate http://www.upstateschometours.cdanjoyner.com/home/XUUSVF pic.twitter.com/NEXR55W1sk","","","#Iva #SC #realestate","854737272888938496","https://twitter.com/SCHomeTeam/status/854737272888938496"
"richarthr","2017-04-19 15:39","0","0","Just wanted to take a moment to introduce you to the wall outlet on https://www.instagram.com/p/BTEoAeahqsFangZkT-ypWNuaBRK2WEMIXefebI0/ ","","","","854721075002753025","https://twitter.com/richarthr/status/854721075002753025"
"rpsigns","2017-04-18 23:55","0","0","Wall wraps and ceiling signs for brandalliance in their Charlotte office! We have provided https://www.instagram.com/p/BTC7-Keg8yD/","","","","854483501768421379","https://twitter.com/rpsigns/status/854483501768421379"
"Pwooing","2017-04-18 22:04","0","0","I'm at Real Mexico in Columbia, SC https://www.swarmapp.com/c/1HyitTX6Zxn","","","","854455631432089600","https://twitter.com/Pwooing/status/854455631432089600"
"djmiketech","2017-04-18 02:10","0","0","THX GIRLFRIEND I HOPE YOURE FEELING WELL @South Of The Border South Carolina https://www.instagram.com/p/BTAmprHAJmE/","","@South","","854155141116817408","https://twitter.com/djmiketech/status/854155141116817408"
"KirbyTrevor","2017-04-17 19:33","0","0","The bonus round gang! #36aday @TPC Myrtle Beach https://www.instagram.com/p/BS_5QLNhhC5/","","@TPC","#36aday","854055314370437121","https://twitter.com/KirbyTrevor/status/854055314370437121"
"rabrab2525","2017-04-17 15:46","0","0","Tearing out this wall to open up the kitchen in to the living room going to put in a hidden https://www.instagram.com/p/BS_fScmjiKA/","","","","853998219298308096","https://twitter.com/rabrab2525/status/853998219298308096"
"TheBrockbank","2017-04-16 04:30","0","1","Goodnight, please enjoy my spooky bathroom candle illuminating the brick wall behind it. https://www.instagram.com/p/BS7tC3jgHcE/","","","","853465521349693441","https://twitter.com/TheBrockbank/status/853465521349693441"
"_cdg304","2017-04-15 23:36","0","0","""Crashing hit a wall right now i need a miracle"" -Chainesmokers @North Charleston Coliseum https://www.instagram.com/p/BS7LYxBglcY/","","@North","","853391500767612930","https://twitter.com/_cdg304/status/853391500767612930"
"jennydalton28","2017-04-15 01:59","0","1","The gang @Wet Willie's Columbia, SC https://www.instagram.com/p/BS42-6FDnN6/","","@Wet","","853065170704379904","https://twitter.com/jennydalton28/status/853065170704379904"
"pwarrenbrown","2017-04-13 20:44","0","0","Just posted a photo @Georgia/South Carolina Border https://www.instagram.com/p/BS1uH0DlwFq/","","@Georgia","","852623465635082241","https://twitter.com/pwarrenbrown/status/852623465635082241"
"lorimland","2017-04-13 15:00","0","1","hunterland24 with a big hit yesterday in our game against Palmetto. This one hit the wall! @ https://www.instagram.com/p/BS1GvYflr-o/","","@","","852536897142484993","https://twitter.com/lorimland/status/852536897142484993"
"SCHomeTeam","2017-04-12 19:07","0","0","I am looking for a buyer on 872 Wall St #Iva #SC #realestate http://www.upstateschometours.cdanjoyner.com/home/XUUSVF pic.twitter.com/e1BoGI5a2r","","","#Iva #SC #realestate","852236778681520128","https://twitter.com/SCHomeTeam/status/852236778681520128"
"SCHomeTeam","2017-04-11 21:27","0","0","I am looking for a buyer on 872 Wall St #Iva #SC #realestate http://www.upstateschometours.cdanjoyner.com/home/XUUSVF pic.twitter.com/v2D0b9hgNF","","","#Iva #SC #realestate","851909535371476996","https://twitter.com/SCHomeTeam/status/851909535371476996"
"jcrankinx13","2017-04-10 00:56","0","1","Sports banquet with the Gang Gang!! Love you guys! #GoKoalas @ https://www.instagram.com/p/BSr3zdpDG8nL6AimQE6g8sTs1O9Do0NZ6V18eQ0/ ","","@","#GoKoalas","851237376701603840","https://twitter.com/jcrankinx13/status/851237376701603840"
"vincejohnson","2017-04-09 17:24","0","0","From the champions wall in #themasters press building. These 2 in the Sunday hunt to wear green https://www.instagram.com/p/BSrEDEfF49u/","","","#themasters","851123574291259394","https://twitter.com/vincejohnson/status/851123574291259394"
"morgan_ames_","2017-04-09 16:45","0","0","if u ever need us on a sunday, we'll be by this same brick wall :) @ https://www.instagram.com/p/BSq_rUcDLLIxjk3z8PBFkVJSa4uvsROLzt0Xqs0/ ","","@","","851113954524966913","https://twitter.com/morgan_ames_/status/851113954524966913"
"1TootieP","2017-04-09 01:09","0","0","Livin fuckin life New music on the way #moneyman #survival #gang #hiphop #blog #doingwell @ https://www.instagram.com/p/BSpUezngQKU/","","@","#moneyman #survival #gang #hiphop #blog #doingwell","850878224796188672","https://twitter.com/1TootieP/status/850878224796188672"
"Bgarten23","2017-04-08 23:54","0","0","Just posted a photo @South Of The Border South Carolina https://www.instagram.com/p/BSpL8O6AoycMlf5vXeYq-pKEx4nYsxRpWMeCG40/ ","","@South","","850859444971950080","https://twitter.com/Bgarten23/status/850859444971950080"
"BullFitness","2017-04-08 11:09","0","1","Good to be back! Time for some box jumps and wall balls! #getbullfit #bullfitness #vwod #wod https://www.instagram.com/p/BSn0XWQjyey/","","","#getbullfit #bullfitness #vwod #wod","850666864258822144","https://twitter.com/BullFitness/status/850666864258822144"
"LegiScanSC","2017-04-07 18:36","0","0","S0179 [Engross] Drug or Alcohol-Related Overdose Medical Treatment http://bitly.com/UzTfzX","","","","850417046722621440","https://twitter.com/LegiScanSC/status/850417046722621440"
"BrettGorney","2017-04-07 13:48","0","2","Great running into majoredpulido and his gang from @foldsofhonor at the @mobilegolfevent https://www.instagram.com/p/BSlhuo6AGI_/","","@foldsofhonor @mobilegolfevent","","850344409845641216","https://twitter.com/BrettGorney/status/850344409845641216"
"PlayfulPrinces3","2017-04-07 04:21","0","0","Mmmmmm... Nothin like.. A taco.. And nachos.. From South of the. Border... For a late nite snack. Lol pic.twitter.com/N1TCHevpg8","","","","850201814615982087","https://twitter.com/PlayfulPrinces3/status/850201814615982087"
"hairpin61","2017-04-06 19:14","0","0","That's a LONG wall- and I get to fill it, along with at least 5 more impressive stretches of https://www.instagram.com/p/BSjiS5jBW0z/","","","","850064181915115520","https://twitter.com/hairpin61/status/850064181915115520"
"SamG528","2017-04-06 19:11","0","0","Yall know the name of that Rich Gang song they be playing on the radio ???","","","","850063323873804288","https://twitter.com/SamG528/status/850063323873804288"
"TheBrockbank","2017-04-06 01:17","0","0","I love this overgrown garden beyond their stone wall #charleston #garden #secretgarden https://www.instagram.com/p/BShnCS8AYkK/","","","#charleston #garden #secretgarden","849793128005611521","https://twitter.com/TheBrockbank/status/849793128005611521"
"MsJudyYu","2017-04-05 20:40","0","0","#skirtathon2017 Day 3: Mirror mirror on the wall... what's the fairest crumple it in a ball and https://www.instagram.com/p/BShHWYNFbmX/","","","#skirtathon2017","849723465141817344","https://twitter.com/MsJudyYu/status/849723465141817344"
"LegiScanSC","2017-04-05 19:56","0","0","H3824 [Engross] Prescription drug monitoring program http://bitly.com/ZRoGYo","","","","849712364819804160","https://twitter.com/LegiScanSC/status/849712364819804160"
"LegiScanSC","2017-04-05 19:26","0","0","H3968 [Engross] Prior criminal conviction effects http://bitly.com/YwaYu7","","","","849704800061186048","https://twitter.com/LegiScanSC/status/849704800061186048"
"LegiScanSC","2017-04-05 02:06","2","0","H3041 [Engross] Criminal background check requirements of Real Estate Commission http://bitly.com/131npBQ","","","","849443071079198721","https://twitter.com/LegiScanSC/status/849443071079198721"
"LegiScanSC","2017-04-04 20:06","0","0","H3438 [Enroll] Drug substitutions http://bitly.com/YgaCZt","","","","849352516265553920","https://twitter.com/LegiScanSC/status/849352516265553920"
"t1951","2017-04-04 03:46","0","0","Final from Glendale Arizona in an uneven basketball game: Goats (UNC) 71 zags 65. Coach Williams gang closed on a 9-2 run !","","","","849105748231671808","https://twitter.com/t1951/status/849105748231671808"
"nicoleimiller","2017-04-04 03:30","0","0","Crusty............................................ #museum #wall #brick #brickwall #layers https://www.instagram.com/p/BScsn-zjfg5/","","","#museum #wall #brick #brickwall #layers","849101733762650112","https://twitter.com/nicoleimiller/status/849101733762650112"
"spotternetwork","2017-04-03 20:11","0","0","Spotr 3 miles WNW of BLACKVILLE, SC @20:10 UTC Not Rotating Wall Cloud>-Just passed over us 3 west of blackville","","@20","","848991449337212930","https://twitter.com/spotternetwork/status/848991449337212930"
"csatcofc","2017-04-03 14:52","0","0","Revamping the first floor collaborative research space! New visualization wall is up! @College https://www.instagram.com/p/BSbV-OThMII/","","@College","","848911180798214144","https://twitter.com/csatcofc/status/848911180798214144"
"BarbaraBlue","2017-04-03 12:40","0","0","Elaine convinced Sam to order the ""Tour of Mexico"" at #lahacienda ! We started laughing because https://www.instagram.com/p/BSbG0NZgZyz/","","","#lahacienda","848877852363829248","https://twitter.com/BarbaraBlue/status/848877852363829248"
"RolandoPujol","2017-04-02 21:40","2","2","Pedro towers over South of the Border, the wonderfully kitschy roadside attraction along I-95, https://www.instagram.com/p/BSZf0P1gfhO/","","","","848651353765408769","https://twitter.com/RolandoPujol/status/848651353765408769"
"_SANDMANE_","2017-04-02 21:00","0","1","With @NoReups gang shit #ganggang @Tega Cay, South Carolina https://www.instagram.com/p/BSZbM4JANqs/","","@NoReups @Tega","#ganggang","848641203323236353","https://twitter.com/_SANDMANE_/status/848641203323236353"
"LegiScanSC","2017-04-02 06:56","0","0","H4031 [NEW] Provide For Administrative, Civil, And Criminal Immunity For Physicians Who Report Domestic Violence ... http://bitly.com/ZlRhZU","","","","848428796294434816","https://twitter.com/LegiScanSC/status/848428796294434816"
"kayyystrizzle","2017-03-31 21:16","1","1","Signing the wall. Cooper River Bridge Run 2017, let's do this. @ https://www.instagram.com/p/BSUTb5fF6e0m_xU4c4uI-_JhsDaARYSyX7bEIc0/ ","","@","","847920450814574593","https://twitter.com/kayyystrizzle/status/847920450814574593"
"BusinessManJB","2017-03-31 19:40","0","0","""Prepare for war in the time of peace.."" Jabari Shaffer Head Coach: 16u Team Wall https://www.instagram.com/p/BSUIh1UlIYT/","","","","847896463925530626","https://twitter.com/BusinessManJB/status/847896463925530626"
