"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"areuter07","2017-04-09 18:26","0","1","Lunch time! (@Wall Drug in Wall, SD) https://www.swarmapp.com/c/2H8NKKlYUxL","","@Wall","","851139294265782272","https://twitter.com/areuter07/status/851139294265782272"
"howelltracks","2017-03-20 23:54","0","0","#wallsd #fms_wall #fmsphotoaday #jackelope #southdakota @Wall Drug https://www.instagram.com/p/BR4Q3DXjpFt/","","@Wall","#wallsd #fms_wall #fmsphotoaday #jackelope #southdakota","843974130814898176","https://twitter.com/howelltracks/status/843974130814898176"
"thelastdad","2017-03-17 13:03","0","2","Dad are they real? #beMoreAwesome #parenting #walldrug @Wall Drug https://www.instagram.com/p/BRvX9cSALSg/","","@Wall","#beMoreAwesome #parenting #walldrug","842723100382978049","https://twitter.com/thelastdad/status/842723100382978049"
"LegiScanSD","2017-03-16 03:36","0","0","HB1183 [Passed] Provide and revise certain provisions regarding mental health procedures in criminal justice, to ... http://bitly.com/Y2AszV","","","","842218105183043584","https://twitter.com/LegiScanSD/status/842218105183043584"
"LegiScanSD","2017-03-16 02:56","0","0","SB117 [Passed] Increase accountability in South Dakota's criminal justice system. http://bitly.com/VZmIaK","","","","842207857219108865","https://twitter.com/LegiScanSD/status/842207857219108865"
"LegiScanSD","2017-03-10 06:16","0","0","SB1 [Passed] Revise certain provisions of the prescription drug monitoring program. http://bitly.com/WCwRWi","","","","840083834020417536","https://twitter.com/LegiScanSD/status/840083834020417536"
"LegiScanSD","2017-03-08 12:36","0","0","HB1044 [Passed] Revise certain provisions regarding wholesale drug distributors, to provide for licensure and re... http://bitly.com/138TLvr","","","","839454686449123334","https://twitter.com/LegiScanSD/status/839454686449123334"
"LegiScanSD","2017-03-07 06:26","0","0","SB117 [Enroll] Increase accountability in South Dakota's criminal justice system. http://bitly.com/VZmIaK","","","","838999348700655616","https://twitter.com/LegiScanSD/status/838999348700655616"
"iembot_unr","2017-03-06 18:39","0","0","At 11:15 AM, 1 NW Wall [Pennington Co, SD] AWOS reports NON-TSTM WND GST of M55 MPH #UNR http://mesonet.agron.iastate.edu/lsr/#UNR/201703061815/201703061815 ","","","#UNR #UNR","838821287438987264","https://twitter.com/iembot_unr/status/838821287438987264"
"iembot_unr","2017-03-06 18:30","0","0","At 11:20 AM, 8 S Wall [Pennington Co, SD] MESONET reports NON-TSTM WND GST of M54 MPH #UNR http://mesonet.agron.iastate.edu/lsr/#UNR/201703061820/201703061820 ","","","#UNR #UNR","838819088084389888","https://twitter.com/iembot_unr/status/838819088084389888"
"iembot_unr","2017-03-06 18:30","0","0","At 11:20 AM, 8 S Wall [Pennington Co, SD] MESONET reports HIGH SUST WINDS of M40 MPH #UNR http://mesonet.agron.iastate.edu/lsr/#UNR/201703061820/201703061820 ","","","#UNR #UNR","838819087958568960","https://twitter.com/iembot_unr/status/838819087958568960"
"LegiScanSD","2017-03-02 01:06","0","0","HB1183 [Enroll] Provide and revise certain provisions regarding mental health procedures in criminal justice, to ... http://bitly.com/Y2AszV","","","","837106698569592832","https://twitter.com/LegiScanSD/status/837106698569592832"
"LegiScanSD","2017-02-28 09:06","0","0","HB1044 [Enroll] Revise certain provisions regarding wholesale drug distributors, to provide for licensure and re... http://bitly.com/138TLvr","","","","836502754168352768","https://twitter.com/LegiScanSD/status/836502754168352768"
"LegiScanSD","2017-02-28 07:26","0","0","SB1 [Enroll] Revise certain provisions of the prescription drug monitoring program. http://bitly.com/WCwRWi","","","","836477580958121984","https://twitter.com/LegiScanSD/status/836477580958121984"
"LegiScanSD","2017-02-24 06:46","0","0","HB1183 [Engross] Provide and revise certain provisions regarding mental health procedures in criminal justice, to... http://bitly.com/Y2AszV","","","","835018017562116096","https://twitter.com/LegiScanSD/status/835018017562116096"
"LegiScanSD","2017-02-23 03:37","0","0","SB117 [Engross] Increase accountability in South Dakota's criminal justice system. http://bitly.com/VZmIaK","","","","834607980284936192","https://twitter.com/LegiScanSD/status/834607980284936192"
"ryhorsemanship","2017-02-19 01:50","0","0","STILL AVAILABLE BY OWNER $350 13 week old short-haired male chocolate/white border collie https://www.instagram.com/p/BQrOM7nhJNI/","","","","833131495564783616","https://twitter.com/ryhorsemanship/status/833131495564783616"
"LegiScanSD","2017-02-10 01:56","0","0","HB1033 [Passed] Authorize criminal background checks for certain executive branch employees and state contractors... http://bitly.com/Vuik0m","","","","829871613738962944","https://twitter.com/LegiScanSD/status/829871613738962944"
"LegiScanSD","2017-02-09 05:37","0","0","HB1096 [Engross] Provide for a criminal penalty for any person who prevents the enforcement of a secured creditor... http://bitly.com/VPSk2y","","","","829564748043841536","https://twitter.com/LegiScanSD/status/829564748043841536"
"LegiScanSD","2017-02-08 10:46","0","0","HB1044 [Engross] Revise certain provisions regarding wholesale drug distributors, to provide for licensure and r... http://bitly.com/138TLvr","","","","829280286122897409","https://twitter.com/LegiScanSD/status/829280286122897409"
"LegiScanSD","2017-02-03 05:36","0","0","HB1183 [NEW] Provide and revise certain provisions regarding mental health procedures in criminal justice, to mak... http://bitly.com/Y2AszV","","","","827390293322321920","https://twitter.com/LegiScanSD/status/827390293322321920"
