"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"2_Shay","2017-04-19 22:34","0","0","Ruled out of order by the chairman of house criminal committee https://www.instagram.com/p/BTFXgEjAVLS5Llk9dSl29mkPSnbP7KwcK1dqrA0/ ","","","","854825516477632512","https://twitter.com/2_Shay/status/854825516477632512"
"Danyelcosmetics","2017-04-19 21:07","0","0","Had a fabulous time with Devon O'Day & #Nashvilletoday & the gang on WSM 650! Thanks for having https://www.instagram.com/p/BTFNiebjDgP/","","","#Nashvilletoday","854803610244460544","https://twitter.com/Danyelcosmetics/status/854803610244460544"
"boomermaru","2017-04-19 13:20","0","0","And Mexico is going to pay for the stupid wall!lol!","","","","854686201177133058","https://twitter.com/boomermaru/status/854686201177133058"
"xtinalynne","2017-04-19 04:44","0","0","Coke. What I really want (and deserve) is a big ass bottle of wine. (@Kroger 4579 wall triana madison al) https://www.swarmapp.com/c/dkrnun8wZSF","","@Kroger","","854556247902781440","https://twitter.com/xtinalynne/status/854556247902781440"
"honestfarm","2017-04-19 02:29","0","1","Here's the #Prince section of the flower border. #purple #gardening #perennials @Hillsboro West https://www.instagram.com/p/BTDNmWZB8Xi/","","@Hillsboro","#Prince #purple #gardening #perennials","854522266163363841","https://twitter.com/honestfarm/status/854522266163363841"
"JonesyLitton","2017-04-19 01:02","0","0","I will conquer you wall. Even if I have to march 7times around you. https://www.instagram.com/p/BTDDqwIhXEVU-T8Ywy6YobqBlrnQud4RxCfNrA0/ ","","","","854500428397948928","https://twitter.com/JonesyLitton/status/854500428397948928"
"StreetJelly","2017-04-18 23:30","0","1","#LiveStreamMusic Vinja Mother, should I build a wall? http://www.StreetJelly.com/Vinja #Rock #Vocal","","","#LiveStreamMusic #Rock #Vocal","854477224417914885","https://twitter.com/StreetJelly/status/854477224417914885"
"cthompso27","2017-04-18 19:12","0","0","Records wall @The Johnny Cash Museum https://www.instagram.com/p/BTCbnzCgQJ2dg0iNHX6LLlZT9vUpAdMKTiS24o0/ ","","@The","","854412365789528065","https://twitter.com/cthompso27/status/854412365789528065"
"KonaIceMiddleTn","2017-04-18 18:10","0","0","""Drive through"" ... Kona Ice to Go!!! @Reeves-Sain Drug Store https://www.instagram.com/p/BTCUiDjlM9z/","","@Reeves","","854396780880044033","https://twitter.com/KonaIceMiddleTn/status/854396780880044033"
"KonaIceMiddleTn","2017-04-18 18:04","0","0","""It is What it Is"". .... the best shaved ice in the world Kona Ice!!!! @Reeves-Sain Drug Store https://www.instagram.com/p/BTCTyDIF9cv/","","@Reeves","","854395132782759936","https://twitter.com/KonaIceMiddleTn/status/854395132782759936"
"KonaIceMiddleTn","2017-04-18 16:31","0","0","Getting ready to ""Shred It"" ... Kona Ice that is! @Reeves-Sain Drug Store https://www.instagram.com/p/BTCJNXDlu4q/","","@Reeves","","854371880442187777","https://twitter.com/KonaIceMiddleTn/status/854371880442187777"
"KonaIceMiddleTn","2017-04-18 15:58","1","2","Chill Out Day has just begun! FREE Kona Ice from 11-1 @Reeves-Sain Drug Store https://www.instagram.com/p/BTCFZURFjaN/","","@Reeves","","854363495579742208","https://twitter.com/KonaIceMiddleTn/status/854363495579742208"
"overFloPro","2017-04-18 03:59","0","1","Great Easter weekend thanks so much to igotofaith for letting us be a part via some LED Wall https://www.instagram.com/p/BTAzKzZDwOJ/","","","","854182693642358785","https://twitter.com/overFloPro/status/854182693642358785"
"TPfannk","2017-04-17 17:48","0","0","The words on the wall say it all @Nashville, Tennessee https://www.instagram.com/p/BS_tMJ_l-JE/","","@Nashville","","854028792838443010","https://twitter.com/TPfannk/status/854028792838443010"
"poisonnivyyy","2017-04-17 16:19","0","0","Your love is literally my drug. @Scruggs Bridge Overlook Area https://www.instagram.com/p/BS_jBd5lDPUvDlZVIN1UeYdJlbWp22e0ynrwDA0/ ","","@Scruggs","","854006432173367296","https://twitter.com/poisonnivyyy/status/854006432173367296"
"alyssalopez61","2017-04-17 01:57","0","0","happy easter!!! (we obviously liked this wall) (& i liked this https://www.instagram.com/p/BS-AaQ5lHZbPIjQTmr90EL9nDkY8GlFUyoxiXk0/ ","","","","853789585264062464","https://twitter.com/alyssalopez61/status/853789585264062464"
"23justine","2017-04-16 12:45","1","0","Wall art #nashville #photography @Courtyard Nashville Downtown https://www.instagram.com/p/BS8lu0FgvXr/","","@Courtyard","#nashville #photography","853590171652153344","https://twitter.com/23justine/status/853590171652153344"
"mynameistotalBS","2017-04-16 01:54","0","0","Our soul sister, Angel! Glitter gang right hererree!!!!! #goingoutwithabang #bangthis https://www.instagram.com/p/BS7bQKpDC0x/","","","#goingoutwithabang #bangthis","853426395267182594","https://twitter.com/mynameistotalBS/status/853426395267182594"
"lilmeach1130","2017-04-15 17:09","0","0","Micah at #highpoint #climbing on the wall #outside @High Point Climbing And Fitness https://www.instagram.com/p/BS6fJzcFuZ2/","","@High","#highpoint #climbing #outside","853294237315731457","https://twitter.com/lilmeach1130/status/853294237315731457"
"libra_zebra","2017-04-15 15:45","0","0","Dinner's not complete unless there's a piano wall meggywap1738 @Champions Nashville https://www.instagram.com/p/BS6Vkbygr2O/","","@Champions","","853273161038782465","https://twitter.com/libra_zebra/status/853273161038782465"
"OurThriftStore","2017-04-15 13:06","0","1","In honor of Leonardo Da Vinci's birthday, all hanging wall art is 25% off! @Downtown https://www.instagram.com/p/BS6DT4VhXHl/","","@Downtown","","853233006227501058","https://twitter.com/OurThriftStore/status/853233006227501058"
"MOB514","2017-04-15 04:38","0","0","The Wall of Skulls @Downtown Nashville https://www.instagram.com/p/BS5JLKwFCzQ/","","@Downtown","","853105168652619776","https://twitter.com/MOB514/status/853105168652619776"
"sarahsavageart","2017-04-15 00:45","0","0","Pallet wall with an American flag center complete for some local friends. A long day has got my https://www.instagram.com/p/BS4uf37FXF4/","","","","853046505934073856","https://twitter.com/sarahsavageart/status/853046505934073856"
"caitlynnn_jo","2017-04-15 00:27","0","2","Who's the first person you scream for when you hit a brick wall head on and see your finger at a https://www.instagram.com/p/BS4sd8TBB3A/","","","","853042034814234624","https://twitter.com/caitlynnn_jo/status/853042034814234624"
"teamtwansmom","2017-04-14 15:48","0","0","It amazes me how in the year 2017 the norm for our children is gang banging, kids dying, kids https://www.instagram.com/p/BS3xHwWFvwm/","","","","852911544220495872","https://twitter.com/teamtwansmom/status/852911544220495872"
"Circle_R185","2017-04-14 12:33","0","1","Get'er done (!) RT @jimdwrench: Criminal charges for IRS targeting conspiracy ringleader Lois Lerner? http://canadafreepress.com.ln.is/QSZZf","","@jimdwrench","","852862369986379776","https://twitter.com/Circle_R185/status/852862369986379776"
"PhotoCaptures","2017-04-14 00:36","0","0","Oreo calf close view You deserve having me in your home hanging upon your wall Brightening your https://www.instagram.com/p/BS2Is3Uh6-A/","","","","852681907032645632","https://twitter.com/PhotoCaptures/status/852681907032645632"
"lex_partyrock","2017-04-13 23:14","0","0","Go, Dj! That's my Dj!! #Inkwell #LatinVibes #Colombia #Mexico #ExpressLife #PartyRock @Hard https://www.instagram.com/p/BS1_XsfljOo/","","@Hard","#Inkwell #LatinVibes #Colombia #Mexico #ExpressLife #PartyRock","852661396076732418","https://twitter.com/lex_partyrock/status/852661396076732418"
"ChiokeMusic","2017-04-13 22:40","0","0","5 Important Facts From the #CFDAs New #Immigration #Report - https://www.instagram.com/p/BSu2jBoBb40/","","","#CFDA #Immigration #Report","852652621206757376","https://twitter.com/ChiokeMusic/status/852652621206757376"
"joyiscooking","2017-04-13 16:42","0","0","#onlyinNashville the local post office has a wall filled with photos https://www.instagram.com/p/BS1Sf3BBh30rpzoF7AIg9Tkg7I1-mWBpbE0PGM0/ ","","","#onlyinNashville","852562743840260096","https://twitter.com/joyiscooking/status/852562743840260096"
"Circle_R185","2017-04-12 23:29","1","0","RT @bfraser747: "" #PresidentTrump will find a way to pay for the border wall whether Sen. (cont) http://tl.gd/nnlfe8","","@bfraser747","#PresidentTrump","852302741942751234","https://twitter.com/Circle_R185/status/852302741942751234"
"Circle_R185","2017-04-12 22:08","0","0","@MSM @foxandfriends @orileyfactor RT @_Proud_American: BREAKING : Criminal Illegal Charged With (cont) http://tl.gd/nnlf9h","","@MSM @foxandfriends @orileyfactor @_Proud_American","","852282297541939202","https://twitter.com/Circle_R185/status/852282297541939202"
"comforttwitt","2017-04-12 19:21","0","2","Deathwish Death Spray green/yellow 8.0 & Giant Gang Logo silver/black 8.25 #deathwishskateboards https://www.instagram.com/p/BSy_1-8BE_K/","","","#deathwishskateboards","852240221533896704","https://twitter.com/comforttwitt/status/852240221533896704"
"sarahsavageart","2017-04-12 17:29","0","0","Preparing for a local pallet wall installation. This American flag will be in the center of the https://www.instagram.com/p/BSyzAbYliML/","","","","852211997278183424","https://twitter.com/sarahsavageart/status/852211997278183424"
"papajinx","2017-04-12 16:09","0","1","I'm at Great Wall of China Restaurant in Franklin, TN https://www.swarmapp.com/c/3OEsr4ZOQ0L","","","","852192069535891456","https://twitter.com/papajinx/status/852192069535891456"
"ChiokeMusic","2017-04-12 16:09","0","0","5 Important Facts From the #CFDAs New #Immigration #Report - https://www.instagram.com/p/BSu2jBoBb40/","","","#CFDA #Immigration #Report","852191974664699904","https://twitter.com/ChiokeMusic/status/852191974664699904"
"firekidmusic","2017-04-12 00:45","0","2","Wall washer. Mold murderer. Paint prepper. @Florence, Alabama https://www.instagram.com/p/BSxALihlz4T/","","@Florence","","851959495081295872","https://twitter.com/firekidmusic/status/851959495081295872"
"comforttwitt","2017-04-11 16:45","0","2","Wade Desarmo is one of the illest so we will always have his board in the wall... Unless you https://www.instagram.com/p/BSwJLzqhx11/","","","","851838553558458368","https://twitter.com/comforttwitt/status/851838553558458368"
"ChiokeMusic","2017-04-11 04:43","0","0","5 Important Facts From the #CFDAs New #Immigration #Report - https://www.instagram.com/p/BSu2jBoBb40/","","","#CFDA #Immigration #Report","851656828651847681","https://twitter.com/ChiokeMusic/status/851656828651847681"
"CONCRETE615","2017-04-10 20:07","0","0","The wall of fame!! #nashville #rex2 #concretemagazine @Nashville, Tennessee https://www.instagram.com/p/BSt7fEaBY5V/","","@Nashville","#nashville #rex2 #concretemagazine","851526951818874881","https://twitter.com/CONCRETE615/status/851526951818874881"
"Prxncekay_","2017-04-10 14:36","0","0","Hello, My name is Deandre Brown, a Criminal Justice major from Birmingham Al. and it is my https://www.instagram.com/p/BStVr6KFUnI/","","","","851443831530815489","https://twitter.com/Prxncekay_/status/851443831530815489"
"RobDeeNashville","2017-04-10 14:08","1","1","Manufacturers that appreciate your business. You ain't seen a Rap Artist on the wall with Dolly https://www.instagram.com/p/BStSfjuFnIV/","","","","851436811620687873","https://twitter.com/RobDeeNashville/status/851436811620687873"
"memhousewives","2017-04-09 21:58","0","2","bathroom wall...commitment-phobe #graffiti artist . . . . . #memphishousewivesinthecity https://www.instagram.com/p/BSrjaMZj2Ov/","","","#graffiti #memphishousewivesinthecity","851192530813280259","https://twitter.com/memhousewives/status/851192530813280259"
"sarahsavageart","2017-04-09 21:54","0","0","Need a wood wall for a prop or photo booth at your wedding? This was simple enough to make, even https://www.instagram.com/p/BSrjCL0lP_4/","","","","851191709207801857","https://twitter.com/sarahsavageart/status/851191709207801857"
"irobyn","2017-04-09 20:10","0","0","My Pussy Riot gang took over this space this afternoon! #phdlife #queerscholar https://www.instagram.com/p/BSrXDWSAiex/","","","#phdlife #queerscholar","851165358287446016","https://twitter.com/irobyn/status/851165358287446016"
"NYC_PJ","2017-04-08 21:46","1","0","This approach to Hole in the Wall island is rather Games of Thronse-y... @Percy Priest Lake https://www.instagram.com/p/BSo9UGiAiVh/","","@Percy","","850827278015660032","https://twitter.com/NYC_PJ/status/850827278015660032"
"_ashleone_","2017-04-07 22:54","0","1","""go stand by that wall you're gonna want this tomorrow"" @BryceDrewMusic happy to have played https://www.instagram.com/p/BSmgSNEhF66/","","@BryceDrewMusic","","850481971167764484","https://twitter.com/_ashleone_/status/850481971167764484"
"amorganaudio","2017-04-07 20:03","0","0","Studio 2.0 starting to come together!! 20'x17' diffusion wall complete! #dreamstudio https://www.instagram.com/p/BSmMp0BAiiY/","","","#dreamstudio","850438799045820416","https://twitter.com/amorganaudio/status/850438799045820416"
"hazelwoodlabs","2017-04-07 19:30","0","0","I'm in love with antique push-button style wall switches. This will be the On/Off switch for the https://www.instagram.com/p/BSmI8iUAXW-/","","","","850430643943219200","https://twitter.com/hazelwoodlabs/status/850430643943219200"
"nashnightowl","2017-04-07 19:00","1","0","#tonight #Johnnyneel & The Criminal Element Come get #funky with your favorite #nightowls https://www.instagram.com/p/BSmFcpsDJ-X/","","","#tonight #Johnnyneel #funky #nightowls","850422955985305600","https://twitter.com/nashnightowl/status/850422955985305600"
"InsuranceAnswer","2017-04-07 18:42","0","0","Public Adjusting is Now Licensed in New Mexico http://bit.ly/2o6yD9c #Insurance #Answers","","","#Insurance #Answers","850418417320382464","https://twitter.com/InsuranceAnswer/status/850418417320382464"
"UAgaYoga","2017-04-07 17:12","0","0","Just posted a photo @Tennessee/Kentucky Border https://www.instagram.com/p/BSl5JZilAPU/","","@Tennessee","","850395908625883136","https://twitter.com/UAgaYoga/status/850395908625883136"
"WGNSRadio","2017-04-07 14:31","0","0","Action Line - Assistant Rutherford Co. District Attorney J. Paul Newman talks past criminal cases http://dlvr.it/NqgHpG -Podcast","","","","850355268189732865","https://twitter.com/WGNSRadio/status/850355268189732865"
"AlgoTraffic","2017-04-07 14:05","0","0","Barrier Wall / Divider on I-65 ANY OTHER at Bibb Garrett Rd","","","","850348847268331520","https://twitter.com/AlgoTraffic/status/850348847268331520"
"jpjipjerk","2017-04-07 00:13","0","0","Kentucky wall art....not as hectic as not colourful as Montreal but so https://www.instagram.com/p/BSkEh-TFhff/","","","","850139468212436992","https://twitter.com/jpjipjerk/status/850139468212436992"
"rewebcoach","2017-04-07 00:08","0","1","Good times listening to some tunes wildhorsesaloon with daknocom gang before the #REBCNASH @ https://www.instagram.com/p/BSkD4ybDRtd/","","@","#REBCNASH","850138047849144321","https://twitter.com/rewebcoach/status/850138047849144321"
"AlgoTraffic","2017-04-06 21:08","0","0","Barrier Wall / Divider on I-65 ANY OTHER at Bibb Garrett Rd","","","","850092928131375105","https://twitter.com/AlgoTraffic/status/850092928131375105"
"guysbowtie","2017-04-06 01:06","0","1","Good eats in Nashville at #jacksbbq with gang from securitynationallife @Jack's Bar-B-Que https://www.instagram.com/p/BShlzS-liBz/","","@Jack","#jacksbbq","849790418443276288","https://twitter.com/guysbowtie/status/849790418443276288"
"HenryRothenberg","2017-04-06 01:06","0","0","Outside of newschannel5. An hour ago we were wall-to-wall with tornado warnings. #TNwx #KYwx https://www.instagram.com/p/BShlxTAD-tB/","","","#TNwx #KYwx","849790347290976256","https://twitter.com/HenryRothenberg/status/849790347290976256"
"gavoweb","2017-04-06 00:54","0","0","What do you do when there are high winds that border on tornado warning status? Why stay up past https://www.instagram.com/p/BShkbTMBDbf/","","","","849787395394330624","https://twitter.com/gavoweb/status/849787395394330624"
"spotternetwork","2017-04-05 22:36","2","2","Spotr 2 miles SSW of SPENCER, TN @22:36 UTC Rotating Wall Cloud>-Rotating wall cloud South of Spencer 10 min ago mvmt NE @35 MPH","","@22 @35","","849752630545068033","https://twitter.com/spotternetwork/status/849752630545068033"
"spotternetwork","2017-04-05 22:32","2","1","Spotr 2 miles SSW of SPENCER, TN @22:32 UTC Rotating Wall Cloud>- Rotating wall cloud South of Spencer moving NE @30 to 40 MPH","","@22 @30","","849751731038801920","https://twitter.com/spotternetwork/status/849751731038801920"
"Johnathan123486","2017-04-05 17:28","0","0","Do do Business with thugs and gang members and people that sale drugs...they nun but trouble and https://www.instagram.com/p/BSgxYQBBFmF/","","","","849675139285266432","https://twitter.com/Johnathan123486/status/849675139285266432"
"DJSkiWeezy","2017-04-05 16:51","0","0","From rocking small venues and hope in the wall clubs, to on stage with mainstream artists, Dj https://www.instagram.com/p/BSgtI9Gl5_O/","","","","849665819701325825","https://twitter.com/DJSkiWeezy/status/849665819701325825"
"BillyHaley","2017-04-05 04:41","0","1","When Shaun Lewis visits your church...he tags the wall. momma_t.lewis aj.lewis @ https://www.instagram.com/p/BSfZoahArOA/","","@","","849482179004518400","https://twitter.com/BillyHaley/status/849482179004518400"
"katrinaburgoyne","2017-04-05 04:27","0","6","Studio A | I could feel magic in the grain on the wall... So many hits by so many artists I https://www.instagram.com/p/BSfX9ZIAR-D/","","","","849478500981641216","https://twitter.com/katrinaburgoyne/status/849478500981641216"
"nick_gw_","2017-04-05 02:40","0","0","And the wife hung up our hats on the wall in such a simple, https://www.instagram.com/p/BSfLvYjgovINgCdWTW2aQykYs-9N-cRXJ5i74I0/ ","","","","849451635059429376","https://twitter.com/nick_gw_/status/849451635059429376"
"kayle_brook27","2017-04-02 19:19","0","0","Thanks for not getting mad at me when I drug you out of bed last https://www.instagram.com/p/BSZPrFtBx4E2CB918FRkIM5jkNjS-SX12b_MVY0/ ","","","","848615855805956096","https://twitter.com/kayle_brook27/status/848615855805956096"
"Jtimbit","2017-04-02 14:35","0","0","Sometimes you need to make America great again #Tootsies https://www.instagram.com/p/BSYvJhvjQbNRxux7j-KMi9C8FxftB-5Pri6elw0/ ","","","#Tootsies","848544339638853634","https://twitter.com/Jtimbit/status/848544339638853634"
"miiacom","2017-04-02 00:22","0","0","Paul's Wall at #artcrawl @driver49 Get in here and buy something! @The Nashville Arcade https://www.instagram.com/p/BSXNiC7lJvb/","","@driver49 @The","#artcrawl","848329674883289088","https://twitter.com/miiacom/status/848329674883289088"
"Circle_R185","2017-04-01 22:12","1","0","@FoxNews @foxandfriends @orileyfactor RT BREAKING : Huge Drug Bust at Ohio State University http://ln.is/truthfeed.com/breaki/oYkfW ","","@FoxNews @foxandfriends @orileyfactor","","848297011384332289","https://twitter.com/Circle_R185/status/848297011384332289"
"lolokmc","2017-04-01 19:43","0","0","Because everyone looks a little bit cooler standing in front of a wall. @The Blue Room at https://www.instagram.com/p/BSWtmnZD8Td/","","@The","","848259463895281666","https://twitter.com/lolokmc/status/848259463895281666"
"dirty_livin","2017-04-01 18:35","0","0","TOMORROW! Join Dirty Livin' and the rest of the Porter East gang in our first Sunday event! https://www.instagram.com/p/BSWl5b5A0Af/","","","","848242529153802240","https://twitter.com/dirty_livin/status/848242529153802240"
"graceekuhn","2017-04-01 05:36","0","0","Haven't hit the late night {velcro} wall yet! Dance Big Red 2017 is https://www.instagram.com/p/BSVMt34B8rFE9LqsaYwD_da6Qu3lSI8pjKpurg0/ ","","","","848046402483634177","https://twitter.com/graceekuhn/status/848046402483634177"
"rachelfarrer74","2017-04-01 01:37","0","0","Just posted a photo @Tennessee/Kentucky Border https://www.instagram.com/p/BSUxX4yAZKJy-A0E0usq7ZxTTq7FPcb3deBvko0/ ","","@Tennessee","","847986272001982468","https://twitter.com/rachelfarrer74/status/847986272001982468"
"wichitarecs","2017-03-31 23:15","0","0","Who's playing that banjo? @Alabama /Tennessee border. https://www.instagram.com/p/BSUhIoBDlep/","","@Alabama","","847950564499628032","https://twitter.com/wichitarecs/status/847950564499628032"
"tlegs75","2017-03-31 22:01","0","0","County Music Hall of Fame wall of hits. So much cool history. https://www.instagram.com/p/BSUYrTvhqRVe1QsKdUd_x_6KHFbEEk_54sEB7c0/ ","","","","847931966829637633","https://twitter.com/tlegs75/status/847931966829637633"
"kennysmoov","2017-03-31 20:21","0","0","The Internet Wins Again! #I85 - Damn That Wall...Build This Bridge! @92Q http://ln.is/www.instagram.com/p/4XYjs ","","@92Q","#I85","847906627474923521","https://twitter.com/kennysmoov/status/847906627474923521"
"SuddenlyPersian","2017-03-31 19:07","0","1","Mushroom wall! @The Country, Antioch, Tennessee https://www.instagram.com/p/BSUExtejRbi/","","@The","","847888207308050434","https://twitter.com/SuddenlyPersian/status/847888207308050434"
"mvillarjones","2017-03-31 18:13","0","0","Rivergate Alterations Wall of Stars!! Mary is the best at https://www.instagram.com/p/BST-g2jl-ZqcdbWLTRPQMzplNQj1A4_lu0O1A80/ ","","","","847874440797016064","https://twitter.com/mvillarjones/status/847874440797016064"
"katfreakinfried","2017-03-31 03:06","0","0","the girl gang rolled up to support our boi @atomicike during his opening night -- we love u so https://www.instagram.com/p/BSSWtBcF8Dl/","","@atomicike","","847646163108995072","https://twitter.com/katfreakinfried/status/847646163108995072"
"tayxdmnd","2017-03-30 15:55","0","1","GANG $HIT LIL BITCHMuch love to everyone that came out and supported last night : https://www.instagram.com/p/BSRJ9RWhR_c/","","","","847477385784049664","https://twitter.com/tayxdmnd/status/847477385784049664"
