"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"thehomestoretx","2017-04-19 22:46","0","0","NEW Framed Feedsack wall art! Must come check out! #thehomestore #newarrivals #homedecor @The https://www.instagram.com/p/BTFY4LEFXlP/","","@The","#thehomestore #newarrivals #homedecor","854828550691672064","https://twitter.com/thehomestoretx/status/854828550691672064"
"morganalwilborn","2017-04-19 22:40","0","0","Hanging with the good ole gang at Paul Quinn. #charlamagnethagod #pqc #paulquinncollege https://www.instagram.com/p/BTFYOAFB1xz/","","","#charlamagnethagod #pqc #paulquinncollege","854827116310872064","https://twitter.com/morganalwilborn/status/854827116310872064"
"SoyArriet","2017-04-19 22:36","0","0","Just posted a photo @Guanajuato, Mexico https://www.instagram.com/p/BTFXxRCDnTp/","","@Guanajuato","","854826108910538753","https://twitter.com/SoyArriet/status/854826108910538753"
"thehomestoretx","2017-04-19 22:09","0","0","New Arrivals! Stop by @thehomestoretx and check out all of our NEW wall art! #thehomestore https://www.instagram.com/p/BTFUsmFlg4i/","","@thehomestoretx","#thehomestore","854819357590945794","https://twitter.com/thehomestoretx/status/854819357590945794"
"CelticVixxen","2017-04-19 21:16","0","0","I'm at @Montereys Little Mexico in Humble, TX https://www.swarmapp.com/c/c5xcHjVtQKL","","@Montereys","","854805881099350016","https://twitter.com/CelticVixxen/status/854805881099350016"
"conchita6de8htx","2017-04-19 20:15","0","0","I want a new drug, one that won't make me sick One that won't make me crash my car Or make me https://www.instagram.com/p/BTFHlHRg5qg/","","","","854790504571166720","https://twitter.com/conchita6de8htx/status/854790504571166720"
"KnoppZimmerman","2017-04-19 20:07","0","0","Criminal Justice Day #LB17 bcschamber #betterinbryan @TEEX - Infrastructure & Safety Training https://www.instagram.com/p/BTFGufOjVu2/","","@TEEX","#LB17 #betterinbryan","854788631210467328","https://twitter.com/KnoppZimmerman/status/854788631210467328"
"deneyterrio","2017-04-19 19:56","0","0","Animal Anarchy, Houston 2017 . . . . . #houston#masks #animalmasks #gang #gangs #highway https://www.instagram.com/p/BTFFcGnDBs0/","","","#houston #masks #animalmasks #gang #gangs #highway","854785801506443271","https://twitter.com/deneyterrio/status/854785801506443271"
"LilJoeyBear","2017-04-19 19:22","0","0","Dang, I'm a freakin photographer! #adventure with #you are hashtag perfect @Austin Graffiti Wall https://www.instagram.com/p/BTFBikCjHc-/","","@Austin","#adventure #you","854777223424901120","https://twitter.com/LilJoeyBear/status/854777223424901120"
"poshdeluxe","2017-04-19 17:52","0","1","Why yes, I am about to fly to Mexico for a vacay. How'd you know? @Austin-Bergstrom https://www.instagram.com/p/BTE3MeyAJDY/","","@Austin","","854754477668257792","https://twitter.com/poshdeluxe/status/854754477668257792"
