"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"Lebzzz","2017-04-18 09:48","0","0","So what was that people were saying about immigration? @St. Mark's Hospital https://www.instagram.com/p/BTBbFJBl74B/","","@St","","854270443846500352","https://twitter.com/Lebzzz/status/854270443846500352"
"cup_o_skate","2017-04-18 00:54","0","1","'Hitting the Wall' #slc #utah #utahgram #utahisrad #utahphotographer #igslc #igutah #visitslc https://www.instagram.com/p/BTAd9oyjEjC/","","","#slc #utah #utahgram #utahisrad #utahphotographer #igslc #igutah #visitslc","854136044790439936","https://twitter.com/cup_o_skate/status/854136044790439936"
"annmarieinutah","2017-04-17 17:08","0","1","I saw these two #giraffe paintings on the wall at my kid's #neurology appointment and I thought https://www.instagram.com/p/BS_opI6AStT/","","","#giraffe #neurology","854018789846986752","https://twitter.com/annmarieinutah/status/854018789846986752"
"wildbrad","2017-04-17 04:00","0","0","When you hit the wall in your law paper, and concede that baking may be the way to open up your https://www.instagram.com/p/BS-OaOTDkkR/","","","","853820360906743809","https://twitter.com/wildbrad/status/853820360906743809"
"thesaltyblock","2017-04-16 00:53","0","0","Hanging with the gang at Kilby Court @Cera_Music @nicknordmusic wearecityanimals https://www.instagram.com/p/BS7UST0DpcH/","","@Cera_Music @nicknordmusic","","853411071599808512","https://twitter.com/thesaltyblock/status/853411071599808512"
"caduse","2017-04-15 15:17","0","0","Yeah! #preyingmatus #thrivelife #thrive #itsyourturn #blacklabel @Wyoming Border Line https://www.instagram.com/p/BS6SS81j7zF/","","@Wyoming","#preyingmatus #thrivelife #thrive #itsyourturn #blacklabel","853265969480966147","https://twitter.com/caduse/status/853265969480966147"
"ENDZLGC","2017-04-15 01:24","0","0","#THE4OURTOUR in da muthafuckin house Salt Lake City, Utah ! Catch the gang on @krclradio 90.9FM https://www.instagram.com/p/BS4zACIlP85/","","@krclradio","#THE4OURTOUR","853056419372945408","https://twitter.com/ENDZLGC/status/853056419372945408"
"jwoody1972","2017-04-13 18:09","0","1","What's in the tank you ask? #Foltecsg #Pervade #Quicksilver #Floratine #knife #Border #Andersons https://www.instagram.com/p/BS1ccEDA5pK/","","","#Foltecsg #Pervade #Quicksilver #Floratine #knife #Border #Andersons","852584579135397888","https://twitter.com/jwoody1972/status/852584579135397888"
"aqjarvis","2017-04-13 02:22","0","0","Women Crush Wednesday goes to those fine ladies, and that wall. https://www.instagram.com/p/BSzwEbWlNxQ/","","","","852346273776717824","https://twitter.com/aqjarvis/status/852346273776717824"
"kenthawkins","2017-04-10 18:14","0","1","Backed up against a wall! #NavajoRocks #Moab #Utah #BikeLife #Poser #2017 #OptOutside https://www.instagram.com/p/BStuoovjKGF/","","","#NavajoRocks #Moab #Utah #BikeLife #Poser #2017 #OptOutside","851498692997730305","https://twitter.com/kenthawkins/status/851498692997730305"
"dsuperiormusic","2017-04-08 22:56","0","1","Just posted a video @Utah/Nevada Border https://www.instagram.com/p/BSpFU_OBQWJ/","","@Utah","","850844919774101504","https://twitter.com/dsuperiormusic/status/850844919774101504"
"dsuperiormusic","2017-04-08 22:55","0","1","Just posted a video @Utah/Nevada Border https://www.instagram.com/p/BSpFHpnBLdT/","","@Utah","","850844479586058240","https://twitter.com/dsuperiormusic/status/850844479586058240"
"RyanSBrown","2017-04-05 23:00","0","0","This new studio wall is 24 feet long. It didn't take long to fill it up with studies and other https://www.instagram.com/p/BShXUDjAqNg/","","","","849758552742920193","https://twitter.com/RyanSBrown/status/849758552742920193"
"CougarCentreSLC","2017-04-03 18:49","0","0","Another profile view of the east wall of the #SaltLakeTemple at #twilight. #LDStemple https://www.instagram.com/p/BSbxCJNAwWp/","","","#SaltLakeTemple #twilight #LDStemple","848970703751839745","https://twitter.com/CougarCentreSLC/status/848970703751839745"
"NishWeiseth","2017-04-03 15:48","0","6","Adios, SLC! We're off to Playa del Carmen, Mexico for our first ever family vacation! My flight https://www.instagram.com/p/BSbcWVGhs46/","","","","848925202498990081","https://twitter.com/NishWeiseth/status/848925202498990081"
"HnRcrew","2017-04-01 18:44","0","1","CREW IS OFF THE WALL IN UTAH TODAY! #HNRLIVE #LiveScreenprinting #Vans / Photo by https://www.instagram.com/p/BSWm591FKqq/","","","#HNRLIVE #LiveScreenprinting #Vans","848244743557480448","https://twitter.com/HnRcrew/status/848244743557480448"
"on_andrews_wall","2017-03-31 20:48","0","0","#GiveThanks Friday to those of you who have or commented or followed this week. Special S/O https://www.instagram.com/p/BSUQTOgAIS6/","","","#GiveThanks","847913545580896256","https://twitter.com/on_andrews_wall/status/847913545580896256"
"CesarAReyes1","2017-03-31 19:36","0","0","VIVA MXICO! Fuck Donald Trump!  Super 78 headlining Kilby Court tonight for Rock Against https://www.instagram.com/p/BSUIC8yjIAi/","","","","847895397511069703","https://twitter.com/CesarAReyes1/status/847895397511069703"
"LegiScanUT","2017-03-30 09:16","0","0","SB0118 [Passed] Criminal Law Amendments http://bitly.com/UlW1hu","","","","847376888590770178","https://twitter.com/LegiScanUT/status/847376888590770178"
"GeminiJen529","2017-03-30 05:00","0","1","The BMR gang's all here @skisolitude #bmrfamily #skiutah #skiingislife #skiing @Solitude https://www.instagram.com/p/BSP_CNBjKnB/","","@skisolitude @Solitude","#bmrfamily #skiutah #skiingislife #skiing","847312640070213632","https://twitter.com/GeminiJen529/status/847312640070213632"
"LegiScanUT","2017-03-29 21:56","0","0","HB0369 [Passed] Criminal Penalty Enhancements for Sexual Offenses http://bitly.com/X6xMU6","","","","847205834685845504","https://twitter.com/LegiScanUT/status/847205834685845504"
"LegiScanUT","2017-03-29 07:06","0","0","HB0139 [Passed] Criminal Intent Amendments http://bitly.com/YY7kKK","","","","846981852737015809","https://twitter.com/LegiScanUT/status/846981852737015809"
"imacraven","2017-03-29 05:31","0","0","This little gang of thugs were just startled as I was when I walked https://www.instagram.com/p/BSNds4ylDIOFZDe6jMyCVDHk_LZ56Qq15z5TNQ0/ ","","","","846957858612809730","https://twitter.com/imacraven/status/846957858612809730"
"LegiScanUT","2017-03-29 03:26","0","0","SB0226 [Passed] Permanent Criminal Stalking Injunction Amendments http://bitly.com/ZoJN5L","","","","846926505586425856","https://twitter.com/LegiScanUT/status/846926505586425856"
"on_andrews_wall","2017-03-28 21:00","0","0","This is nothing fancy, but very #expedient for every home owner, small business owner, or https://www.instagram.com/p/BSMjRLogtsH/","","","#expedient","846829359763783681","https://twitter.com/on_andrews_wall/status/846829359763783681"
"mollyharrell","2017-03-28 01:37","0","0","Thunder and lightening. @mollyharrell @Utah / Colorado Border https://www.instagram.com/p/BSKeLxQFQgX/","","@mollyharrell @Utah","","846536704655851520","https://twitter.com/mollyharrell/status/846536704655851520"
"on_andrews_wall","2017-03-27 21:06","0","0","This will be a laundry room when all is finished. I'm looking at the framing & plumbing https://www.instagram.com/p/BSJ_LSwgQhF/","","","","846468514634498049","https://twitter.com/on_andrews_wall/status/846468514634498049"
"on_andrews_wall","2017-03-27 15:52","0","0","Slight progress on our new residence. There is a hole in the ground. Not much to brag about now, https://www.instagram.com/p/BSJbOToAnVB/","","","","846389452251516928","https://twitter.com/on_andrews_wall/status/846389452251516928"
"gzchef","2017-03-27 02:30","1","30","A serious wall of snow deserves a serious winter hat. @MontageDV @Deer_Valley #basesnow https://www.instagram.com/p/BSH_f3RlZl3/","","@MontageDV @Deer_Valley","#basesnow","846187761149337600","https://twitter.com/gzchef/status/846187761149337600"
"CougarCentreSLC","2017-03-27 01:48","0","0","The #TempleSquareSisters today are Sister Cabello (From Mexico ) & Sister Lee (From Singapore https://www.instagram.com/p/BSH6mJ4gF1m/","","","#TempleSquareSisters","846176977296003072","https://twitter.com/CougarCentreSLC/status/846176977296003072"
"computerhope","2017-03-26 15:04","1","0","Today in 1976: The First Annual World Altair Computer convention and first convention of computer hobbyists is held in New Mexico.","","","","846014901394915328","https://twitter.com/computerhope/status/846014901394915328"
"LegiScanUT","2017-03-25 20:06","0","0","SB0251 [Passed] Local Government Criminal Penalty Amendments http://bitly.com/ZBYZwD","","","","845728543250243586","https://twitter.com/LegiScanUT/status/845728543250243586"
"LegiScanUT","2017-03-25 00:56","0","0","SB0071 [Passed] Criminal Accounts Receivable Amendments http://bitly.com/WJf2d2","","","","845439295557120000","https://twitter.com/LegiScanUT/status/845439295557120000"
"LissaFone","2017-03-24 23:28","0","0","New state for Boo. #utah @Utah Border I-70w. https://www.instagram.com/p/BSChB1bhJ9w/","","@Utah","#utah","845417056774193152","https://twitter.com/LissaFone/status/845417056774193152"
"santosxguzman","2017-03-24 02:28","0","0","I can't wait for tomorrow and this weekend to see all my New Mexico/Arizona/Texas family. All my https://www.instagram.com/p/BSAQ3DNhB_h/","","","","845100048908107776","https://twitter.com/santosxguzman/status/845100048908107776"
"AKnitInTime","2017-03-24 01:18","0","0","Craft Night with the gang! #crafts #friends @The Wood Connection https://www.instagram.com/p/BSAI2RfBTD1/","","@The","#crafts #friends","845082412895760385","https://twitter.com/AKnitInTime/status/845082412895760385"
"on_andrews_wall","2017-03-23 20:41","0","0","#ThrowBackThursday to yesterday when I received the #SherwinWilliamsPaint #ColorMix 2017 https://www.instagram.com/p/BR_pF79AinL/","","","#ThrowBackThursday #SherwinWilliamsPaint #ColorMix","845012577251999745","https://twitter.com/on_andrews_wall/status/845012577251999745"
"on_andrews_wall","2017-03-22 20:47","0","0","Here is another simple #DIYhome project that you can do if you have a phone and a library card. https://www.instagram.com/p/BR9FCEFgzal/","","","#DIYhome","844651803484532736","https://twitter.com/on_andrews_wall/status/844651803484532736"
"PurezaSpa","2017-03-22 13:26","0","1","#Repost naturabisse  #TheMindfulTouch arrives in Mexico with a very special #BubblePureAir https://www.instagram.com/p/BR8SgJLAhHv/","","","#Repost #TheMindfulTouch #BubblePureAir","844540698716262400","https://twitter.com/PurezaSpa/status/844540698716262400"
"on_andrews_wall","2017-03-21 23:10","0","0","#ModelHomes What do you think of them? Do they inspire? Do they add #threedimensional clarity to https://www.instagram.com/p/BR6wklUAX6U/","","","#ModelHomes #threedimensional","844325335441313792","https://twitter.com/on_andrews_wall/status/844325335441313792"
"bigcolmomma1","2017-03-21 02:22","0","0","the gang @Yeet https://www.instagram.com/p/BR4hzXhj5oXNkswOvHPX5xMRCIPmAqc633VKTg0/ ","","@Yeet","","844011389287055360","https://twitter.com/bigcolmomma1/status/844011389287055360"
"powderpipeline","2017-03-19 18:58","0","0","Day 2 of skiing with our customers visiting from Mexico City. We bounced between Alta & Snowbird https://www.instagram.com/p/BR1KJ5-FUiY/","","","","843537178999308288","https://twitter.com/powderpipeline/status/843537178999308288"
"kacey_kogianes","2017-03-19 02:37","0","0","My 400th memory. #silence #purebliss @Utah/Nevada Border https://www.instagram.com/p/BRzZ3NeBQPL/","","@Utah","#silence #purebliss","843290235987345408","https://twitter.com/kacey_kogianes/status/843290235987345408"
