"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"GrahamJohnston","2017-04-18 00:59","0","0","Got my little wall-hung cabinet project glued up tonight. @Vermont Woodworking School https://www.instagram.com/p/BTAeftZjKb7/","","@Vermont","","854137209041104898","https://twitter.com/GrahamJohnston/status/854137209041104898"
"GreenMountRepub","2017-04-15 16:12","0","0","New Immigration Solutions coming forward, ICE combined with wall, new technology to secure https://www.instagram.com/p/BPoC0dAg04p/","","","","853279890048778240","https://twitter.com/GreenMountRepub/status/853279890048778240"
"LegiScanVT","2017-04-14 20:36","0","0","HCR122 [Passed] House concurrent resolution designating April 13, 2017 as Drug Overdose Awareness Day at the Stat... http://bitly.com/ZlWbWX","","","","852983808098021377","https://twitter.com/LegiScanVT/status/852983808098021377"
"BizzyIzzyAms","2017-04-13 01:57","0","0","When kids discover the brochure wall. . . . #AtticusMarley https://www.instagram.com/p/BSztO9ejnE6SQEtQHOW0cgKFAJCBlqB5kvdc-A0/ ","","","#AtticusMarley","852340033029910528","https://twitter.com/BizzyIzzyAms/status/852340033029910528"
"LegiScanVT","2017-04-06 22:16","0","0","S0146 [NEW] An act relating to prescription drug pricing standards for State purchasers http://bitly.com/XfYw4s","","","","850109987577876480","https://twitter.com/LegiScanVT/status/850109987577876480"
"briocoffeeworks","2017-04-02 09:36","0","3","Mexico bound! Lots of awesome coffee awaits us on the other side. @Burlington International https://www.instagram.com/p/BSYM_jxDBa4/","","@Burlington","","848469226637668352","https://twitter.com/briocoffeeworks/status/848469226637668352"
"ElizabethHarris","2017-03-28 19:28","0","1","Wall sculpture, 2017. #encaustic #wallsculpture #whiteart #blackandwhite https://www.instagram.com/p/BSMYuhPDuEL/","","","#encaustic #wallsculpture #whiteart #blackandwhite","846806178344681474","https://twitter.com/ElizabethHarris/status/846806178344681474"
"ElizabethHarris","2017-03-28 19:08","0","1","Adding to the wall.. @Vermont Studio Center https://www.instagram.com/p/BSMWb4ujALD/","","@Vermont","","846801136044658689","https://twitter.com/ElizabethHarris/status/846801136044658689"
"LegiScanVT","2017-03-28 17:06","0","0","H0308 [Engross] An act relating to a committee to reorganize and reclassify Vermont's criminal statutes http://bitly.com/ZhKYUB","","","","846770465259577346","https://twitter.com/LegiScanVT/status/846770465259577346"
"jeneratorrant","2017-03-23 21:18","0","0","Wall hanging? Sure, okay.    #whatswithallthesehashtags #wip #screenprint #artistresidency https://www.instagram.com/p/BR_tYI7h4Do/","","","#whatswithallthesehashtags #wip #screenprint #artistresidency","845021997469843456","https://twitter.com/jeneratorrant/status/845021997469843456"
"LegiScanVT","2017-03-23 16:36","0","0","S0140 [NEW] An act relating to using a single wholesale drug distributor to supply prescription drugs for Vermont... http://bitly.com/ZyBMvd","","","","844951082971344896","https://twitter.com/LegiScanVT/status/844951082971344896"
"BekeBeau","2017-03-17 00:14","0","1","God greeted me at the border.... #inthevalley #lookingforblessings @Fair Haven, Vermont https://www.instagram.com/p/BRt_9_Ll2M_/","","@Fair","#inthevalley #lookingforblessings","842529612341088256","https://twitter.com/BekeBeau/status/842529612341088256"
"jasoncomedy1","2017-03-08 18:49","0","0","On the way to Montreal. I'm at the Vermont/Canada border with nataliecastilla https://www.instagram.com/p/BRY0WhZjBOY/","","","","839548574979538944","https://twitter.com/jasoncomedy1/status/839548574979538944"
"LegiScanVT","2017-02-28 21:56","0","0","S0107 [NEW] An act relating to limiting drug-related criminal liability and civil forfeiture actions against pers... http://bitly.com/Z18vt0","","","","836696707287121921","https://twitter.com/LegiScanVT/status/836696707287121921"
"AndSheShines","2017-02-25 00:52","0","0","This is why I love the brick wall at Muddy Waters. #notesinthebrickwall #penisflower @Muddy https://www.instagram.com/p/BQ6kbs8jETY/","","@Muddy","#notesinthebrickwall #penisflower","835291443627450368","https://twitter.com/AndSheShines/status/835291443627450368"
"LegiScanVT","2017-02-24 15:36","0","0","H0456 [NEW] An act relating to waiver of criminal history record fees for certain DAIL volunteers http://bitly.com/XfB9rY","","","","835151437176897537","https://twitter.com/LegiScanVT/status/835151437176897537"
"LegiScanVT","2017-02-23 16:36","0","0","H0423 [NEW] An act relating to monetary thresholds for criminal penalties http://bitly.com/ZFoBso","","","","834804076906938372","https://twitter.com/LegiScanVT/status/834804076906938372"
"LegiScanVT","2017-02-22 21:56","0","0","H0419 [NEW] An act relating to recording of criminal and civil offenses by law enforcement officers http://bitly.com/Xe16rI","","","","834522290901622785","https://twitter.com/LegiScanVT/status/834522290901622785"
"_noxious01","2017-02-22 03:40","0","2","Wall art! Found this beauty around the corner #grafitti #wallArt @ https://www.instagram.com/p/BQzJPbJg1Ln--yZXGI6hmkuuvIqUgYhM4fAIHk0/ ","","@","#grafitti #wallArt","834246482584883200","https://twitter.com/_noxious01/status/834246482584883200"
"GreenMountRepub","2017-02-22 00:34","0","0","New Immigration Solutions coming forward, ICE combined with wall, new technology to secure https://www.instagram.com/p/BPoC0dAg04p/","","","","834199530501447680","https://twitter.com/GreenMountRepub/status/834199530501447680"
"handyslunch","2017-02-20 23:55","0","3","Today was one of my favorite days, TB yes the ""coach"" Tom Brennan is finally on the wall of https://www.instagram.com/p/BQwKr_yFYhb/","","","","833827469555793921","https://twitter.com/handyslunch/status/833827469555793921"
"LegiScanVT","2017-02-17 23:16","0","0","H0353 [NEW] An act relating to interstate drug trafficking http://bitly.com/ZnhUeA","","","","832730394348838916","https://twitter.com/LegiScanVT/status/832730394348838916"
"LegiScanVT","2017-02-16 18:46","0","0","H0308 [NEW] An act relating to a committee to reorganize and reclassify Vermont's criminal statutes http://bitly.com/ZhKYUB","","","","832300110889570304","https://twitter.com/LegiScanVT/status/832300110889570304"
"samuelburriss","2017-02-16 17:45","0","0","Mirror Mirror on the wall Scabada bap scap scrababall . . . #portrait #mood #moody #girl https://www.instagram.com/p/BQlNK2GFry2/","","","#portrait #mood #moody #girl","832284807853985794","https://twitter.com/samuelburriss/status/832284807853985794"
"LegiScanVT","2017-02-16 08:26","0","0","JRS019 [NEW] Joint resolution relating to prescription drug pricing http://bitly.com/ZYtviy","","","","832144169372155904","https://twitter.com/LegiScanVT/status/832144169372155904"
"GreenMountRepub","2017-02-15 18:04","0","0","Leaking Confidential information is a Criminal Act. The prior potus44 Administration and both of https://www.instagram.com/p/BQiqj_eguHM/","","","","831927219446566916","https://twitter.com/GreenMountRepub/status/831927219446566916"
"GreenMountRepub","2017-02-14 12:35","0","0","Joy Villa ""Make America Great Again"" for America beat back the fascist regimes during World War https://www.instagram.com/p/BQfgEFMgwDC/","","","","831481920945025024","https://twitter.com/GreenMountRepub/status/831481920945025024"
"handyslunch","2017-02-10 15:39","0","1","Handy's wall of famer maymariek came to town, couldn't pass up#btvbreakfast #allamericaneast https://www.instagram.com/p/BQVh-VJASZF/","","","#btvbreakfast #allamericaneast","830078751513915392","https://twitter.com/handyslunch/status/830078751513915392"
"GreenMountRepub","2017-02-09 23:35","0","0","9th Circuit Court upholds Suspension of Trump Immigration Order for 90 and 120 days suspensions https://www.instagram.com/p/BQTzoKCAVsW/","","","","829836093629616128","https://twitter.com/GreenMountRepub/status/829836093629616128"
"LegiScanVT","2017-02-07 22:06","0","0","H0213 [NEW] An act relating to establishing statewide access to drug and DUI treatment courts http://bitly.com/WxkcJ5","","","","829088953919762432","https://twitter.com/LegiScanVT/status/829088953919762432"
"shannashanes","2017-02-07 14:45","0","0","This was on the wall today, could not have started off 2017 Recovery https://www.instagram.com/p/BQNtdXJBiBGzldKrqO_xxD7FroHACkdXWMEdH80/ ","","","","828978103825293313","https://twitter.com/shannashanes/status/828978103825293313"
"mattlags","2017-02-04 17:23","0","0","Cool wall @Foam Brewers https://www.instagram.com/p/BQGRGaiD4Up/","","@Foam","","827930581002489857","https://twitter.com/mattlags/status/827930581002489857"
"LegiScanVT","2017-02-02 01:26","0","0","S0064 [NEW] An act relating to science-based drug education http://bitly.com/WgFUkz","","","","826965049218576384","https://twitter.com/LegiScanVT/status/826965049218576384"
"lovecrossbones","2017-01-31 19:55","0","0","They played Wire, Gang of Four the Wipers and the Slits at @radiobean I might never leave https://www.instagram.com/p/BP8PVasjIvL/","","@radiobean","","826519323145551873","https://twitter.com/lovecrossbones/status/826519323145551873"
"LegiScanVT","2017-01-31 19:16","0","0","H0167 [NEW] An act relating to establishing drug possession thresholds to distinguish misdemeanor and felony crimes http://bitly.com/YANvZV","","","","826509508033785856","https://twitter.com/LegiScanVT/status/826509508033785856"
"GreenMountRepub","2017-01-31 16:43","0","0","Sanctuary Cities stand to lose a lot, judging by the gross imbalance of trade between Mexico  https://www.instagram.com/p/BPvWoAMgkX2/","","","","826470996429438980","https://twitter.com/GreenMountRepub/status/826470996429438980"
"GreenMountRepub","2017-01-31 16:42","0","0","New Immigration Solutions coming forward, ICE combined with wall, new technology to secure https://www.instagram.com/p/BPoC0dAg04p/","","","","826470669017817089","https://twitter.com/GreenMountRepub/status/826470669017817089"
"LegiScanVT","2017-01-30 18:06","0","0","S0057 [NEW] An act relating to increase consumer awareness of prescription drug prices http://bitly.com/Y4CQq2","","","","826129452711235588","https://twitter.com/LegiScanVT/status/826129452711235588"
"ESGJRConsulting","2017-01-30 04:09","0","0","Quebec City, Canada just North of the Vermont Border. #QuebecCity @E.S.G. JR. Consulting, Inc. http://ln.is/Ma4wc","","@E","#QuebecCity","825918914551021568","https://twitter.com/ESGJRConsulting/status/825918914551021568"
"GreenMountRepub","2017-01-30 04:07","0","0","Quebec City, Canada just North of the Vermont Border. #GreenMountainRepublicans #QuebecCity @ https://www.instagram.com/p/BP39_gIgq4q/","","@","#GreenMountainRepublicans #QuebecCity","825918235040215040","https://twitter.com/GreenMountRepub/status/825918235040215040"
"coachkimdubrul","2017-01-28 18:01","0","0","My kids are very distracted looking at something on the wall- I finally looked- it's this https://www.instagram.com/p/BP0T8a6APue/","","","","825403561425174528","https://twitter.com/coachkimdubrul/status/825403561425174528"
"Alex_Waterhouse","2017-01-28 01:23","0","1","Today we reset the wave wall. So psyched to train on all these big pinches! #climbing https://www.instagram.com/p/BPyhrG-BJcP/","","","#climbing","825152277052665857","https://twitter.com/Alex_Waterhouse/status/825152277052665857"
"LegiScanVT","2017-01-27 21:06","0","0","S0055 [NEW] An act relating to territorial jurisdiction over regulated drug sales http://bitly.com/W59dGo","","","","825087567351541760","https://twitter.com/LegiScanVT/status/825087567351541760"
"BemisClaire","2017-01-27 12:39","0","0","I know a solution !! Let's build a wall around you Mr president.","","","","824959955472154626","https://twitter.com/BemisClaire/status/824959955472154626"
"GreenMountRepub","2017-01-26 19:49","0","0","Sanctuary Cities stand to lose a lot, judging by the gross imbalance of trade between Mexico  https://www.instagram.com/p/BPvWoAMgkX2/","","","","824705765151830022","https://twitter.com/GreenMountRepub/status/824705765151830022"
"GreenMountRepub","2017-01-26 18:21","0","0","We can now get out of NAFTA and stop all American Tax Payer Monies going to Mexico! What a https://www.instagram.com/p/BPvMoPOA4I7/","","","","824683782624182272","https://twitter.com/GreenMountRepub/status/824683782624182272"
"LegiScanVT","2017-01-26 17:16","0","0","H0140 [NEW] An act relating to the validity of criminal statutes and conditions of probation or release related t... http://bitly.com/YpGw5I","","","","824667426113650689","https://twitter.com/LegiScanVT/status/824667426113650689"
"a12eggs","2017-01-26 16:54","0","0","""Use the Aldo Wall with great thought""-Tim Gunn, Project Runway @A Dozen Eggs Bake Shoppe https://www.instagram.com/p/BPvCqBqgRNd/","","@A","","824661854320463872","https://twitter.com/a12eggs/status/824661854320463872"
"Rhode207","2017-01-26 03:31","0","1","flowershopunited PRESENTS LIL MONSTERS WED 2/8 WHOLE GANG IN THE https://www.instagram.com/p/BPtmujDgCJUAFki_tsH7aWz_9kI8brgBSH-STk0/ ","","","","824459706303442948","https://twitter.com/Rhode207/status/824459706303442948"
"GreenMountRepub","2017-01-25 21:59","0","0","President Donald J. Trump living up to his Campaign promises, building the Wall across our https://www.instagram.com/p/BPtAr9oAsVZ/","","","","824376050947911680","https://twitter.com/GreenMountRepub/status/824376050947911680"
"KindredSpiritVT","2017-01-24 18:49","0","1","New Wall Art on display. #shoplocal #rutlandvt #vermont #decor #wallart #kindredspirit https://www.instagram.com/p/BPqGLSBAeEm/","","","#shoplocal #rutlandvt #vermont #decor #wallart #kindredspirit","823965908951584768","https://twitter.com/KindredSpiritVT/status/823965908951584768"
"GreenMountRepub","2017-01-23 23:41","0","0","New Immigration Solutions coming forward, ICE combined with wall, new technology to secure https://www.instagram.com/p/BPoC0dAg04p/","","","","823677052821864448","https://twitter.com/GreenMountRepub/status/823677052821864448"
"GreenMountRepub","2017-01-23 19:04","0","0","1st question is about the border wall, whether ObamaHillaryGruber Care Mandates and Penalties to https://www.instagram.com/p/BPnjIC-gWkH/","","","","823607359687819264","https://twitter.com/GreenMountRepub/status/823607359687819264"
"LegiScanVT","2017-01-23 06:07","0","0","H0101 [NEW] An act relating to drug-free workplace workers' compensation premium reductions http://bitly.com/YxKWaP","","","","823411829464584196","https://twitter.com/LegiScanVT/status/823411829464584196"
"LegiScanVT","2017-01-23 05:38","0","0","H0108 [NEW] An act relating to limiting drug-related criminal liability and civil forfeiture actions against pers... http://bitly.com/YxQuCh","","","","823404435665784832","https://twitter.com/LegiScanVT/status/823404435665784832"
"mads_hatter13","2017-01-23 04:01","0","0","Two of my favorites ever last gang up before Kyra's moves. Can't wait for you to visit, babe https://www.instagram.com/p/BPl7zIYDe3w/","","","","823380145490849792","https://twitter.com/mads_hatter13/status/823380145490849792"
