"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"lcollins13579","2017-04-19 21:21","0","0","Happy Wacky Wednesday from Spotty and the gang. #wackywednesday #hemissedtongueouttuesday https://www.instagram.com/p/BTFPNwLFdvZ/","","","#wackywednesday #hemissedtongueouttuesday","854807301798211584","https://twitter.com/lcollins13579/status/854807301798211584"
"murderofcrows","2017-04-19 18:16","0","1","#atlpenshow2017 21 bottles of ink on the wall. Take one down... @wellapptdesk @skylabltrpress @ https://www.instagram.com/p/BTE5_cKFxys/","","@wellapptdesk @skylabltrpress @","#atlpenshow2017","854760635988574209","https://twitter.com/murderofcrows/status/854760635988574209"
"IamTrevorMay","2017-04-19 04:36","0","9","And these are going on the wall, TOMORROW. #nerd #twitch #streamer #gamer #baseball https://www.instagram.com/p/BTDcJ4uDXEl/","","","#nerd #twitch #streamer #gamer #baseball","854554274973573120","https://twitter.com/IamTrevorMay/status/854554274973573120"
"LegiScanWA","2017-04-19 03:56","0","0","HB1765 [Enroll] Concerning donations to the prescription drug donation program. http://bitly.com/WBaXHZ","","","","854544310242508801","https://twitter.com/LegiScanWA/status/854544310242508801"
"JesseJamesMOB","2017-04-19 03:22","0","0","Bearded board versus guitar synth fun times with Michael Powers as he joins the gang tonight https://www.instagram.com/p/BTDTvVDAHWy/","","","","854535768521527297","https://twitter.com/JesseJamesMOB/status/854535768521527297"
"AliceVictoria16","2017-04-18 20:09","0","0","Gum Wall. @Seattle's Gum Wall https://www.instagram.com/p/BTCiItChXxWpZ4fkP5G2Pq3I5mHkoWjoy580G80/ ","","@Seattle","","854426694983204864","https://twitter.com/AliceVictoria16/status/854426694983204864"
"williehonolulu","2017-04-18 17:45","0","0","I'm at Arcade @Great Wall https://www.swarmapp.com/c/fU3jL3RqOc9","","@Great","","854390369890570240","https://twitter.com/williehonolulu/status/854390369890570240"
"imdjencore","2017-04-18 01:14","0","0","Used To Stick It Under The Desk. Now They Got A Wall For It. #GumWall #Seattle #Washington @ https://www.instagram.com/p/BTAgRMDAjC-/","","@","#GumWall #Seattle #Washington","854141108376436736","https://twitter.com/imdjencore/status/854141108376436736"
"whatsyourbiglie","2017-04-17 23:29","0","0","More truths on a wall #mybiglie #ontour @Skagit Valley College https://www.instagram.com/p/BTAUMz0jEjx/","","@Skagit","#mybiglie #ontour","854114571711393793","https://twitter.com/whatsyourbiglie/status/854114571711393793"
"SeattleCP","2017-04-17 22:42","0","1","Seattle / Newark - Mexico City, Mexico. $268 round trip with American Airlines https://milesreport.com//us/seattle","","","","854102831913025540","https://twitter.com/SeattleCP/status/854102831913025540"
"LeicaStoreWA","2017-04-17 21:58","0","0","Congratulations to Dale Tu, this month's featured photographer on our Oskar Barnack Wall! https://www.instagram.com/p/BTAJw8cFtPb/","","","","854091630357475329","https://twitter.com/LeicaStoreWA/status/854091630357475329"
"SeattleLuxeLord","2017-04-17 21:35","0","0","Spied on the wall outside my meeting place today. Childhood photos and list of favorite things https://www.instagram.com/p/BTAHIezD8_o/","","","","854085838371782657","https://twitter.com/SeattleLuxeLord/status/854085838371782657"
"ItsHerbz","2017-04-17 19:40","0","0","Another one.. #DreadHead #Locs #TheWarriors #Seattle #modeling @The Great Gum Wall of Seattle https://www.instagram.com/p/BS_6AQ8BJn5/","","@The","#DreadHead #Locs #TheWarriors #Seattle #modeling","854056964720009216","https://twitter.com/ItsHerbz/status/854056964720009216"
"Bauky14","2017-04-17 10:39","0","0","The famous Gum Wall in all its beauty...fairly disturbing haha @rookwindsor loved it #Seattle https://www.instagram.com/p/BS-8DiRF5IV/","","@rookwindsor","#Seattle","853920745180758016","https://twitter.com/Bauky14/status/853920745180758016"
"sonnycole","2017-04-17 08:58","0","0","A new mural on the wall outside Easy Street Records in Alaska Junction West Seattle @Tukwila, https://www.instagram.com/p/BS-wjuzhsa6/","","@Tukwila","","853895451484880896","https://twitter.com/sonnycole/status/853895451484880896"
"dinabaiduri","2017-04-17 04:13","0","0","#gumwall #seattle #@The Great Gum Wall of Seattle https://www.instagram.com/p/BS-P4BDAE0L/","","@The","#gumwall #seattle #","853823587458985984","https://twitter.com/dinabaiduri/status/853823587458985984"
"hello_henny","2017-04-17 02:52","0","0","hubba bubba @Seattle's Gum Wall https://www.instagram.com/p/BS-Gqbejk8G/","","@Seattle","","853803327196450816","https://twitter.com/hello_henny/status/853803327196450816"
"danmiller3","2017-04-17 00:27","0","0","It's good to be nine. #birthday #gumwall @downtownseattle @Gum Wall, Post Alley, Pike Place Market https://www.instagram.com/p/BS92BkpASCW/","","@downtownseattle @Gum","#birthday #gumwall","853766739288567808","https://twitter.com/danmiller3/status/853766739288567808"
"senorcam","2017-04-16 23:09","0","3","Bow tie gang. #seattle @Cross and Crown Church https://www.instagram.com/p/BS9tHfMjDas/","","@Cross","#seattle","853747158348115968","https://twitter.com/senorcam/status/853747158348115968"
"adrienlo","2017-04-16 18:52","0","0","Gum Wall. @Seattle's Gum Wall https://www.instagram.com/p/BS9PujyFa6A/","","@Seattle","","853682528678555648","https://twitter.com/adrienlo/status/853682528678555648"
"DaveSalsbury","2017-04-16 17:49","0","0","My favorite #Easter #sunrise setting to date. On the way to #mexico baby! He is risen indeed! @ https://www.instagram.com/p/BS9IeV-g2_4/","","@","#Easter #sunrise #mexico","853666569657962496","https://twitter.com/DaveSalsbury/status/853666569657962496"
"MikSean","2017-04-16 00:34","0","0","Fate @Gum Wall, Post Alley, Pike Place Market https://www.instagram.com/p/BS7SD1-Dnwk/","","@Gum","","853406176247238656","https://twitter.com/MikSean/status/853406176247238656"
"jakevoor","2017-04-15 23:14","0","0","Successfully across the border!! Jeep Grand Cherokee rental and all gunna be epic. This is https://www.instagram.com/p/BS7I3fIAcgo/","","","","853385958233976832","https://twitter.com/jakevoor/status/853385958233976832"
"_goCstudio","2017-04-15 22:45","0","0","Ethan Murrow at work today on his cowboy wall drawing. opening reception this Tuesday https://www.instagram.com/p/BS7FnBEllxF/","","","","853378805058207746","https://twitter.com/_goCstudio/status/853378805058207746"
"kyd_kokanee","2017-04-15 21:32","0","0","it finally made it across the border for me! scuttlebuttbrewingco https://www.instagram.com/p/BS69TFDD8pDzotyuRXVhGzoOs1Ls_um_P7VVX40/ ","","","","853360523148238849","https://twitter.com/kyd_kokanee/status/853360523148238849"
"tmmrbe","2017-04-15 21:05","0","0","Sticky icky icky @Gum Wall, Post Alley, Pike Place Market https://www.instagram.com/p/BS66Jwmhyc0YY1HEbSWVbkxw9l34v_NvvgP25w0/ ","","@Gum","","853353606539395073","https://twitter.com/tmmrbe/status/853353606539395073"
"habdessamad","2017-04-15 21:05","1","0","Let's Make #GumWalls Great Again in #Seattle. @The Great Gum Wall of Seattle https://www.instagram.com/p/BS66G2Sjo4K/","","@The","#GumWalls #Seattle","853353507495325696","https://twitter.com/habdessamad/status/853353507495325696"
"Recess206","2017-04-15 17:56","0","0","#miro #miro on the wall.... @Recess https://www.instagram.com/p/BS6kiIXFait/","","@Recess","#miro #miro","853306068914589698","https://twitter.com/Recess206/status/853306068914589698"
"Wygle","2017-04-15 14:56","0","2","its best to throw your fruit out the window before getting to the border.","","","","853260669562437632","https://twitter.com/Wygle/status/853260669562437632"
