"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"KDsPub","2017-04-19 05:08","0","0","Come see @ellenlawton_3 And the rest of the gang @KD's Pub & Grub https://www.instagram.com/p/BTDf2rhjBzi/","","@ellenlawton_3 @KD","","854562415966552065","https://twitter.com/KDsPub/status/854562415966552065"
"BigDaddyMoses","2017-04-17 14:09","0","0","The wall @Youth Services System, Inc. https://www.instagram.com/p/BS_UGPqFeTd/","","@Youth","","853973616022740993","https://twitter.com/BigDaddyMoses/status/853973616022740993"
"maybeshxrty","2017-04-16 22:03","1","4","I'm the Goat, so everybody gon eat on me.. If you not Gang you will never get CC'd.. @ https://www.instagram.com/p/BS9lizqA79u/","","@","","853730506034343936","https://twitter.com/maybeshxrty/status/853730506034343936"
"WVDocSoccerMatt","2017-04-15 21:34","0","0","Goofing off, on the #endlesswalltrail @Endless Wall Trail https://www.instagram.com/p/BS69dgOjtolxqOcdKZCMixQVSOWnTMJHEeDlt00/ ","","@Endless","#endlesswalltrail","853360881547268096","https://twitter.com/WVDocSoccerMatt/status/853360881547268096"
"ucitykid88","2017-04-15 17:42","0","0","Right near the West Virginia/Ohio border there was some idiot weaving in and out of traffic like https://www.instagram.com/p/BS6i5Q8FkDJ/","","","","853302466988912643","https://twitter.com/ucitykid88/status/853302466988912643"
"chefbillfuller","2017-04-12 14:00","0","0","Misty and quiet. @Endless Wall Trail https://www.instagram.com/p/BSybFm7ldkf/","","@Endless","","852159401523900417","https://twitter.com/chefbillfuller/status/852159401523900417"
"LegiScanWV","2017-04-11 23:06","0","0","SB206 [Passed] Relating generally to criminal offense of kidnapping http://bitly.com/WSvA2v","","","","851934618198695936","https://twitter.com/LegiScanWV/status/851934618198695936"
"Xpwords","2017-04-09 22:45","0","0","Glo gang, tag her if you know her lls, met Gordon Hayward and crashed a formal for the free https://www.instagram.com/p/BSro38iDMsG/","","","","851204545468301312","https://twitter.com/Xpwords/status/851204545468301312"
"LegiScanWV","2017-04-09 20:06","0","0","HCR129 [Engross] Study of the West Virginia Office on Drug Policy. http://bitly.com/XYdX2D","","","","851164394482528257","https://twitter.com/LegiScanWV/status/851164394482528257"
"LegiScanWV","2017-04-09 07:06","0","0","HB2585 [Enroll] Creating felony crime of conducting financial transactions involving proceeds of criminal activity http://bitly.com/WZjxAt","","","","850968029328527362","https://twitter.com/LegiScanWV/status/850968029328527362"
"LegiScanWV","2017-04-09 05:56","0","0","HB2620 [Enroll] West Virginia Drug Overdose Monitoring Act http://bitly.com/X7o0AW","","","","850950428623867905","https://twitter.com/LegiScanWV/status/850950428623867905"
"LegiScanWV","2017-04-09 04:46","0","0","HB2303 [Enroll] Increasing criminal penalties for littering http://bitly.com/YYjxPx","","","","850932833736642561","https://twitter.com/LegiScanWV/status/850932833736642561"
"LegiScanWV","2017-04-09 01:16","0","0","HB2367 [Enroll] Establishing a criminal offense of organized retail crime http://bitly.com/YZDbuA","","","","850880004862902273","https://twitter.com/LegiScanWV/status/850880004862902273"
"LegiScanWV","2017-04-08 21:36","0","0","HB2083 [Enroll] Increasing the felony criminal penalties for exposing children to methamphetamine manufacturing http://bitly.com/WKaumR","","","","850824603496833025","https://twitter.com/LegiScanWV/status/850824603496833025"
"LegiScanWV","2017-04-08 05:06","0","0","HCR129 [NEW] Study of the West Virginia Office on Drug Policy. http://bitly.com/XYdX2D","","","","850575515060772864","https://twitter.com/LegiScanWV/status/850575515060772864"
"HopefullyDan","2017-04-07 22:37","0","0","I've made it. I'm finally on the green room wall all the People's Bank Theatre in Beautiful https://www.instagram.com/p/BSmeTb_A4VF/","","","","850477611256086528","https://twitter.com/HopefullyDan/status/850477611256086528"
"LegiScanWV","2017-04-07 00:46","0","0","HB2195 [Enroll] Relating to requiring comprehensive drug awareness and prevention program in all public schools http://bitly.com/YYRgsb","","","","850147732731854849","https://twitter.com/LegiScanWV/status/850147732731854849"
"LegiScanWV","2017-04-06 19:16","0","0","HB2404 [Enroll] Barring persons who are convicted of certain criminal offenses from acquiring property from their... http://bitly.com/Z40kMz","","","","850064576913780736","https://twitter.com/LegiScanWV/status/850064576913780736"
"LegiScanWV","2017-04-06 08:16","0","0","HB2898 [Enroll] Authorizing the Joint Committee on Government and Finance to request and obtain criminal backgrou... http://bitly.com/Y8Fhtn","","","","849898550502846464","https://twitter.com/LegiScanWV/status/849898550502846464"
"LegiScanWV","2017-03-30 21:16","0","0","HB2766 [Passed] Establishing a new special revenue fund, designated the Adult Drug Court Participation Fund http://bitly.com/Xg3nm8","","","","847558225163628544","https://twitter.com/LegiScanWV/status/847558225163628544"
"LegiScanWV","2017-03-29 20:56","0","0","SB406 [Engross] Relating to generic drug products http://bitly.com/XghNTx","","","","847190807132213251","https://twitter.com/LegiScanWV/status/847190807132213251"
"LegiScanWV","2017-03-29 19:26","0","0","HB2195 [Engross] Relating to requiring comprehensive drug awareness and prevention program in all public schools http://bitly.com/YYRgsb","","","","847168119219085313","https://twitter.com/LegiScanWV/status/847168119219085313"
"LegiScanWV","2017-03-25 23:56","0","0","HB3020 [Engross] Relating to criminal penalties for the offenses of hunting, trapping or fishing on the lands of ... http://bitly.com/ZWI06w","","","","845786389996285952","https://twitter.com/LegiScanWV/status/845786389996285952"
"cassmessenger","2017-03-25 16:11","0","0","Mirror mirror on the wall, who has the cutest pup of all! #nash https://www.instagram.com/p/BSETyQGjiESzhPYKuD4HR10CtfmXnzSxPhA5EY0/ ","","","#nash","845669411105259521","https://twitter.com/cassmessenger/status/845669411105259521"
"LegiScanWV","2017-03-22 19:06","0","0","HB2766 [Enroll] Establishing a new special revenue fund, designated the Adult Drug Court Participation Fund http://bitly.com/Xg3nm8","","","","844626283145388035","https://twitter.com/LegiScanWV/status/844626283145388035"
"LegiScanWV","2017-03-20 16:26","0","0","HB2898 [Engross] Authorizing the Joint Committee on Government and Finance to request and obtain criminal backgro... http://bitly.com/Y8Fhtn","","","","843861258239725572","https://twitter.com/LegiScanWV/status/843861258239725572"
"mylifesadesert","2017-03-19 03:02","0","0","Pharmacists Pushing for DIR Relief | Drug Topics Is your https://www.instagram.com/p/BRzcs89h6Dsgqyjt69YKou0o1iFXMNyRQZyisw0/ ","","","","843296479028506624","https://twitter.com/mylifesadesert/status/843296479028506624"
"LegiScanWV","2017-03-18 11:26","0","0","HB3098 [NEW] Relating to the crime of defrauding drug and alcohol screening tests and its penalties http://bitly.com/15OMUFL","","","","843060926278488065","https://twitter.com/LegiScanWV/status/843060926278488065"
"LegiScanWV","2017-03-18 00:06","0","0","HB2766 [Engross] Establishing a new special revenue fund, designated the Adult Drug Court Participation Fund http://bitly.com/Xg3nm8","","","","842889889792376832","https://twitter.com/LegiScanWV/status/842889889792376832"
"LegiScanWV","2017-03-17 10:16","0","0","HB3020 [NEW] Relating to criminal penalties for the offenses of hunting, trapping or fishing on the lands of anot... http://bitly.com/ZWI06w","","","","842680967076724736","https://twitter.com/LegiScanWV/status/842680967076724736"
"LegiScanWV","2017-03-16 05:56","0","0","HB3033 [NEW] Relating to the procedures for driver's license suspension and revocation in criminal proceedings f... http://bitly.com/10qlLJR","","","","842253179886698496","https://twitter.com/LegiScanWV/status/842253179886698496"
"LegiScanWV","2017-03-15 10:56","0","0","HB3069 [NEW] Permitting persons who voluntarily enroll in a drug rehabilitation program to be included in an exis... http://bitly.com/Zi04H6","","","","841966264646045696","https://twitter.com/LegiScanWV/status/841966264646045696"
"LegiScanWV","2017-03-13 17:06","0","0","HB2956 [NEW] Establishing a new special revenue fund, designated the Adult Drug Court Participation Fund http://bitly.com/ZNvndW","","","","841334576245018626","https://twitter.com/LegiScanWV/status/841334576245018626"
"LegiScanWV","2017-03-12 00:36","0","0","SB538 [NEW] Requiring parolees engage in alcohol or drug therapy as condition of parole http://bitly.com/ZCGSEV","","","","840723026169778178","https://twitter.com/LegiScanWV/status/840723026169778178"
"LegiScanWV","2017-03-11 16:56","0","0","SB492 [Engross] Eliminating requirement every circuit court participate in drug court program http://bitly.com/Y9t9sd","","","","840607256282615808","https://twitter.com/LegiScanWV/status/840607256282615808"
"LegiScanWV","2017-03-11 04:46","0","0","HB2920 [NEW] Providing mandatory minimum sentences for trafficking drugs into the state and for other drug offenses http://bitly.com/ZA4DgZ","","","","840423630244835328","https://twitter.com/LegiScanWV/status/840423630244835328"
"cathedral_cafe","2017-03-11 03:41","0","0","SATURDAY ~ CLOSING @2PM!! Hey gang, we will be closing at 2pm tomorrow for a wedding AND https://www.instagram.com/p/BRe60_-g7vN/","","@2PM","","840407238351212544","https://twitter.com/cathedral_cafe/status/840407238351212544"
"LegiScanWV","2017-03-10 16:46","0","0","HB2898 [NEW] Authorizing the Joint Committee on Government and Finance to request and obtain criminal background ... http://bitly.com/Y8Fhtn","","","","840242396977856513","https://twitter.com/LegiScanWV/status/840242396977856513"
"LegiScanWV","2017-03-10 01:06","0","0","HB2877 [NEW] Relating to fees collected to conduct criminal background checks http://bitly.com/ZxHN9G","","","","840005929466753024","https://twitter.com/LegiScanWV/status/840005929466753024"
"LegiScanWV","2017-03-10 00:06","0","2","SB567 [NEW] Relating to fees collected to conduct criminal background checks http://bitly.com/ZQwMAy","","","","839990846334369793","https://twitter.com/LegiScanWV/status/839990846334369793"
"AthVol","2017-03-09 00:31","0","0","I'm at Great Escapes Cinemas for The Great Wall in Nitro, WV https://www.swarmapp.com/c/gQ5D7TTpyAv pic.twitter.com/19s7P9xpn2","","","","839634617028251648","https://twitter.com/AthVol/status/839634617028251648"
"LegiScanWV","2017-03-07 21:27","0","0","HB2367 [Engross] Establishing a criminal offense of organized retail crime http://bitly.com/YZDbuA","","","","839225951728857088","https://twitter.com/LegiScanWV/status/839225951728857088"
"Jstover_13","2017-03-05 21:45","0","0","Smokey and the Bandit @Endless Wall Trail https://www.instagram.com/p/BRRaIupgEWS/","","@Endless","","838505766294257670","https://twitter.com/Jstover_13/status/838505766294257670"
"LegiScanWV","2017-03-04 03:16","0","0","SB510 [NEW] Eliminating requirement of no prior or subsequent conviction in order to have criminal conviction exp... http://bitly.com/ZzTtc3","","","","837864388682002438","https://twitter.com/LegiScanWV/status/837864388682002438"
"LegiScanWV","2017-03-03 18:26","0","0","SB439 [Engross] Relating to venue for civil and criminal actions at Salem Correctional Center http://bitly.com/Y8Nlul","","","","837730910351069184","https://twitter.com/LegiScanWV/status/837730910351069184"
"LegiScanWV","2017-03-03 17:16","0","0","HB2743 [NEW] Requiring the release of an unemancipated minor's medical records for drug testing http://bitly.com/XbmFcx","","","","837713358900113408","https://twitter.com/LegiScanWV/status/837713358900113408"
"LegiScanWV","2017-03-02 23:26","0","0","HB2052 [NEW] Increasing criminal penalties for the illegal killing, taking, or possessing of certain wildlife http://bitly.com/YYI332","","","","837444099485618176","https://twitter.com/LegiScanWV/status/837444099485618176"
"LegiScanWV","2017-03-02 10:56","0","0","SB492 [NEW] Relating to court participation in drug court program http://bitly.com/Y9t9sd","","","","837255188205486080","https://twitter.com/LegiScanWV/status/837255188205486080"
"LegiScanWV","2017-03-02 05:37","0","0","HB2766 [NEW] Establishing a new special revenue fund, designated the Adult Drug Court Participation Fund http://bitly.com/Xg3nm8","","","","837174953212522496","https://twitter.com/LegiScanWV/status/837174953212522496"
"LegiScanWV","2017-02-28 22:26","0","0","HB2083 [Engross] Increasing the felony criminal penalties for exposing children to methamphetamine manufacturing http://bitly.com/WKaumR","","","","836704116848099328","https://twitter.com/LegiScanWV/status/836704116848099328"
