"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"Nicole_Malek","2017-04-19 23:27","0","0","Dinner (@Casa Mexico in Two Rivers, WI) https://www.swarmapp.com/c/g1XOvsKWfOC","","@Casa","","854838950866935808","https://twitter.com/Nicole_Malek/status/854838950866935808"
"RachelFulkerson","2017-04-19 04:59","0","0","And one final thing...The writing is on the wall Goodnight #goodnight #goofball #bedtime https://www.instagram.com/p/BTDevy8gXGC/","","","#goodnight #goofball #bedtime","854559980351082496","https://twitter.com/RachelFulkerson/status/854559980351082496"
"opheliaflame","2017-04-19 01:37","0","2","Honored to be on the dressing room wall of shame...I mean FAME at Five Nightclub in Madison, WI https://www.instagram.com/p/BTDHrHSAoTL/","","","","854509234540732416","https://twitter.com/opheliaflame/status/854509234540732416"
"trevor_heide91","2017-04-18 19:46","0","0","""Why are you staring at that brick wall?"" That's no wall, it's our https://www.instagram.com/p/BTCfd7mljFcdBcqN6zCeCk3eMbyGG-CZ2FhR1Q0/ ","","","","854420831920934913","https://twitter.com/trevor_heide91/status/854420831920934913"
"AntigoDJ","2017-04-16 21:59","0","0","Drug raid shakes up neighborhood. http://www.antigodailyjournal.com/index.php?ID=28288 ","","","","853729470913667072","https://twitter.com/AntigoDJ/status/853729470913667072"
"AntigoDJ","2017-04-16 21:58","0","0","Officers explain opioid, other drug problems at library program. http://www.antigodailyjournal.com/index.php?ID=28280 ","","","","853729457017954304","https://twitter.com/AntigoDJ/status/853729457017954304"
"HolsNicole","2017-04-16 20:29","0","0","Favorite part of my drive home...driving into #minnesota @Minnesota / Wisconsin Border https://www.instagram.com/p/BS9a2o5Ffod/","","@Minnesota","#minnesota","853706996658425858","https://twitter.com/HolsNicole/status/853706996658425858"
"oohshinyglass","2017-04-12 01:16","0","0","""Don't let anyone dull your sparkle"" I received this sweet little metallic wall hanging from my https://www.instagram.com/p/BSxDuTpBbou/","","","","851967279831031811","https://twitter.com/oohshinyglass/status/851967279831031811"
"wedge1620","2017-04-08 23:11","0","0","Celebrating cooper's birthday! (@Casa Mexico in Two Rivers, WI) https://www.swarmapp.com/c/9MB3xS2OAzI","","@Casa","","850848706870083593","https://twitter.com/wedge1620/status/850848706870083593"
"Garymichaelsmic","2017-04-08 02:45","0","0","#nationalbeerday #beer #imperialipa #piranha #aquarium @Minnesota / Wisconsin Border https://www.instagram.com/p/BSm6r85jUV6/","","@Minnesota","#nationalbeerday #beer #imperialipa #piranha #aquarium","850540028929466369","https://twitter.com/Garymichaelsmic/status/850540028929466369"
"Maria7z","2017-04-06 16:11","0","1","#gymmotivation This is on the wall at the gym today. Did 300 squats, 200 sit-ups, 100 push-ups, https://www.instagram.com/p/BSjNYbrDTaw/","","","#gymmotivation","850018195792691200","https://twitter.com/Maria7z/status/850018195792691200"
"LegiScanWI","2017-04-05 15:46","0","0","AB10 [Engross] Position authorization for criminal investigation agents at the Department of Justice. (FE) http://bitly.com/YmGeg4","","","","849649489501724673","https://twitter.com/LegiScanWI/status/849649489501724673"
"pchanytl","2017-04-04 06:47","0","0","Gang over squad with my son traveler_james01 @University of Wisconsin-Madison https://www.instagram.com/p/BSdDKovAbPl/","","@University","","849151297861320704","https://twitter.com/pchanytl/status/849151297861320704"
"seanviguefit","2017-04-03 00:08","0","0","Are YOU a handstand lover too?! Soon these feet will be totally off the wall. Practice and one https://www.instagram.com/p/BSZwwKnDc4h/","","","","848688594080452609","https://twitter.com/seanviguefit/status/848688594080452609"
"sccusack","2017-04-01 23:11","0","1","Spent the afternoon laying mulch and border stones. #cabin #soreness https://www.instagram.com/p/BSXFbN_hiJ9EZEDiOJqzfC935NQPliLXC6Vo5U0/ ","","","#cabin #soreness","848311842707456000","https://twitter.com/sccusack/status/848311842707456000"
"MACswimteam","2017-04-01 00:17","0","1","Getting creative with the bands today! Wall kick followed by resisted push offs and kicking with https://www.instagram.com/p/BSUoK0eAxi2/","","","","847966032849403906","https://twitter.com/MACswimteam/status/847966032849403906"
"8BallDa8Dawg","2017-03-31 20:42","0","0","Beard Gang (@Satin Wave Barber & Beauty Salon in Milwaukee, WI) https://www.swarmapp.com/c/8FE97sYfQ8u","","@Satin","","847912084348305409","https://twitter.com/8BallDa8Dawg/status/847912084348305409"
"delfuego13","2017-03-31 02:44","0","0","and what you know about his legacy or about Mxico at all .https://www.google.com/search?client=safari&hl=en-us&ei=CsLdWMX7KufQjwSH7biwBg&q=callate+el+hocico+meme&oq=callate+el+hocico+translation&gs_l=mobile-gws-serp.1.0.0i71k1l5.0.0.0.32467.1.1.0.0.0.0.0.0..0.0....0...1c..64.mobile-gws-serp..1.0.0.U-dDZs3NWIQ#imgrc=WoTm0TNtmyYVHM :","","","#imgrc","847640708554997760","https://twitter.com/delfuego13/status/847640708554997760"
"UberDorkGirlie","2017-03-30 23:34","0","1","Our favorite local drug dealer. #antibiotics (at @Walgreens in Menomonee Falls, WI) https://www.swarmapp.com/c/3asBcTVpom9","","@Walgreens","#antibiotics","847592782667673600","https://twitter.com/UberDorkGirlie/status/847592782667673600"
"Gospelfunk7","2017-03-30 18:18","0","0","It's these hole in wall BBQ joints that get me every time.... #FRIKKINYUM #BBQ #towerlife https://www.instagram.com/p/BSRaWVTDwk-/","","","#FRIKKINYUM #BBQ #towerlife","847513432207249409","https://twitter.com/Gospelfunk7/status/847513432207249409"
"LegiScanWI","2017-03-30 15:26","0","0","SB132 [NEW] Regulating the use of certain professional credentials and providing a criminal penalty. (FE) http://bitly.com/YnvMVJ","","","","847470127889104896","https://twitter.com/LegiScanWI/status/847470127889104896"
"KeeganKincaid_7","2017-03-30 13:11","0","0","#Repost kgkphoto with @repostapp  Hug a wall today !!!! torcoffroad crandonoffroad https://www.instagram.com/p/BSQ3NBlhmvL/","","@repostapp","#Repost","847436145860333569","https://twitter.com/KeeganKincaid_7/status/847436145860333569"
"seanviguefit","2017-03-29 21:48","0","0","Find a wall and hug it for awhile. How does it feel? Want more? I sure do. #seanviguefitness https://www.instagram.com/p/BSPNkeMDhYU/","","","#seanviguefitness","847203852893990912","https://twitter.com/seanviguefit/status/847203852893990912"
"LegiScanWI","2017-03-29 10:36","0","0","AB184 [NEW] Regulating the use of certain professional credentials and providing a criminal penalty. (FE) http://bitly.com/WmgMsp","","","","847034627076362241","https://twitter.com/LegiScanWI/status/847034627076362241"
"steinbring","2017-03-27 15:00","0","0","... I do find ""this wall is obviously impossible to traverse without a rope or a ladder"" amusing.","","","","846376355243667456","https://twitter.com/steinbring/status/846376355243667456"
"steinbring","2017-03-27 14:58","0","0","#msnbc ""reporting live by drone"" from the Mexican border seems like an unnecessary gimmick. ... pic.twitter.com/YLRNQtaS2j","","","#msnbc","846375979060776960","https://twitter.com/steinbring/status/846375979060776960"
"awcmilwaukee","2017-03-23 00:41","1","0","We received a call for a #deadanimal smell in a wall in #waukeshacounty! It took one cut through https://www.instagram.com/p/BR9fvwrDBXV/","","","#deadanimal #waukeshacounty","844710552563830784","https://twitter.com/awcmilwaukee/status/844710552563830784"
"missdresix","2017-03-20 00:32","0","0","I'm at Taco Burrito Mexico in Green Bay, WI https://www.swarmapp.com/c/j9Tsp7da5Pp","","","","843621338401198080","https://twitter.com/missdresix/status/843621338401198080"
"MstrGoodmorning","2017-03-20 00:13","0","0","Dining car dinner at sunset. #amtrak #amtrakgram #empirebuilder @Minnesota / Wisconsin Border https://www.instagram.com/p/BR1uKvlhgso/","","@Minnesota","#amtrak #amtrakgram #empirebuilder","843616360424906752","https://twitter.com/MstrGoodmorning/status/843616360424906752"
"kevinmckissick","2017-03-16 17:47","0","2","Gas station bathroom wall quotes to live by. Be present. Be aware. Go do shit. @Abrams, Wisconsin https://www.instagram.com/p/BRtTmRbhRel/","","@Abrams","","842432033544642561","https://twitter.com/kevinmckissick/status/842432033544642561"
"LegiScanWI","2017-03-15 03:56","0","0","SB10 [NEW] Position authorization for criminal investigation agents at the Department of Justice. (FE) http://bitly.com/Ysf0o9","","","","841860642231443458","https://twitter.com/LegiScanWI/status/841860642231443458"
"androidodnetnin","2017-03-15 02:48","0","2","The Great Wall (@Marcus Majestic Cinema of Brookfield - @marcus_theatres for The Great Wall in Brookfield, WI) https://www.swarmapp.com/c/hktNthaeR20","","@Marcus @marcus_theatres","","841843570915082240","https://twitter.com/androidodnetnin/status/841843570915082240"
"LegiScanWI","2017-03-15 02:06","0","0","AB10 [NEW] Position authorization for criminal investigation agents at the Department of Justice. (FE) http://bitly.com/YmGeg4","","","","841832928854331392","https://twitter.com/LegiScanWI/status/841832928854331392"
"chadrick44","2017-03-11 16:05","0","0","Our gang of hooligans... #muttsofinstagram #dogs #puppylove @ https://www.instagram.com/p/BRgP8ZmgcmQ-Ip9gTxtDLmtjLbX4Emxa6V_CnQ0/ ","","@","#muttsofinstagram #dogs #puppylove","840594413718032384","https://twitter.com/chadrick44/status/840594413718032384"
"pchanytl","2017-03-11 04:15","1","0","Gang vibin to @ricohoudini @University of Wisconsin-Madison https://www.instagram.com/p/BRe-x9zgmxG/","","@ricohoudini @University","","840415929955713024","https://twitter.com/pchanytl/status/840415929955713024"
"RayNitti","2017-03-08 06:39","0","0","Only thing changed is the type of conversations we having. It's still GANG.. I'm a make sure the https://www.instagram.com/p/BRXgzKnBH6P/","","","","839364838031646720","https://twitter.com/RayNitti/status/839364838031646720"
"Orin_Bigo_Eckes","2017-03-07 23:29","0","0","Look at that wall cloud #wiwx @University of Wisconsin-Madison https://www.instagram.com/p/BRWvp_agEYLKpAurdJQSIHdB5Q5v6LLk6vT6wU0/ ","","@University","#wiwx","839256774632943618","https://twitter.com/Orin_Bigo_Eckes/status/839256774632943618"
"LegiScanWI","2017-03-07 10:06","0","0","AB127 [NEW] Prohibiting local ordinances, resolutions, and policies that prohibit immigration status inquiries an... http://bitly.com/WlVuv6","","","","839054587206250496","https://twitter.com/LegiScanWI/status/839054587206250496"
"LegiScanWI","2017-03-03 22:46","0","0","SB82 [NEW] Threat to use a firearm on school property to injure or kill a person and providing a criminal penalty. http://bitly.com/Wg8SAS","","","","837796259310219267","https://twitter.com/LegiScanWI/status/837796259310219267"
"TheBarreCode","2017-03-03 22:37","0","0","Grab your girl gang, head to the barre, make it a party. {via @BarreCode_Mad} #FriYAY @The https://www.instagram.com/p/BRMWhsLD9mQ/","","@BarreCode_Mad @The","#FriYAY","837794139093749765","https://twitter.com/TheBarreCode/status/837794139093749765"
"1o1Adam","2017-03-03 19:55","0","1","Wall of awesomeness! #Venom #IronMan #Marvel #Batman #SuperMan #Hulk #TheAvengers #Oshkosh https://www.instagram.com/p/BRMD9hEh9KS/","","","#Venom #IronMan #Marvel #Batman #SuperMan #Hulk #TheAvengers #Oshkosh","837753311696670720","https://twitter.com/1o1Adam/status/837753311696670720"
"lseroogy","2017-03-03 01:51","0","2","Had a blast at Hemlock Creek's family activity night GaGa ball, wall climbing, races and more! https://www.instagram.com/p/BRKH8bTgNH2/","","","","837480599686361088","https://twitter.com/lseroogy/status/837480599686361088"
"LegiScanWI","2017-03-02 13:36","0","0","AB111 [NEW] Threat to use a firearm on school property to injure or kill a person and providing a criminal penalty. http://bitly.com/WllaIm","","","","837295496599375872","https://twitter.com/LegiScanWI/status/837295496599375872"
"SMOMKE","2017-02-28 17:54","0","0","District 4 Wisconsin State Senator Lena Taylor walks us through lobbying on Criminal Justice https://www.instagram.com/p/BREHupUg65G/","","","","836635739513372676","https://twitter.com/SMOMKE/status/836635739513372676"
"MikeMichael68","2017-02-28 07:00","0","0","#greatideas For the wall above a staircase, no one knows to do with! @Madison, Wisconsin https://www.instagram.com/p/BRC83T_h6F6/","","@Madison","#greatideas","836471069066174464","https://twitter.com/MikeMichael68/status/836471069066174464"
"crimsonruari","2017-02-26 18:54","0","0","On the right, we see a drug dog for full-size SUVs. https://twitter.com/Hot_Dog_Wolf/status/835889066507829248 ","","","","835926026328883200","https://twitter.com/crimsonruari/status/835926026328883200"
"scknurr","2017-02-26 04:25","0","1","If you're not up on #GoldSprints, you should be! @fyxation, theknowz, and the rest of the gang https://www.instagram.com/p/BQ9hjQZFyK4/","","@fyxation","#GoldSprints","835707326548099072","https://twitter.com/scknurr/status/835707326548099072"
"FADSWisconsin","2017-02-26 01:10","0","0","Wall to wall!!! #winterball2017 @Milwaukee Marriott West https://www.instagram.com/p/BQ9LNVvjT6z/","","@Milwaukee","#winterball2017","835658295117508608","https://twitter.com/FADSWisconsin/status/835658295117508608"
"GreggAP","2017-02-25 19:58","0","1","""Up Against the Wall"" #madisonwi #capitolsquaremadison #madisonphotographymeetup #streetphotography #streetphoto_color #photographypic.twitter.com/Ss8e47yAis","","","#madisonwi #capitolsquaremadison #madisonphotographymeetup #streetphotography #streetphoto_color #photographypic","835579704606355456","https://twitter.com/GreggAP/status/835579704606355456"
"LegiScanWI","2017-02-25 18:16","0","0","AB97 [NEW] Mandatory period of confinement for homicide by intoxicated use of a vehicle and providing a criminal ... http://bitly.com/WgiqvN","","","","835554049814638592","https://twitter.com/LegiScanWI/status/835554049814638592"
"LegiScanWI","2017-02-25 10:36","0","0","AB98 [NEW] Court orders regarding the installation of an ignition interlock device and providing a criminal penal... http://bitly.com/WiyWLO","","","","835438250433073152","https://twitter.com/LegiScanWI/status/835438250433073152"
"LegiScanWI","2017-02-25 09:46","0","0","AB92 [NEW] Carjacking offenses and providing criminal penalties. http://bitly.com/Yj38Vu","","","","835425675062423553","https://twitter.com/LegiScanWI/status/835425675062423553"
"DavidOurs","2017-02-24 01:09","0","1","I'm at Marcus North Shore Cinema - @marcus_theatres for The Great Wall in Mequon, WI https://www.swarmapp.com/c/5sasa9e0mYq","","@marcus_theatres","","834933352331345920","https://twitter.com/DavidOurs/status/834933352331345920"
"RayNitti","2017-02-23 22:11","0","0","Gang #TBT @Menomonee River Hills, Milwaukee https://www.instagram.com/p/BQ3tH2xA43M/","","@Menomonee","#TBT","834888339706769413","https://twitter.com/RayNitti/status/834888339706769413"
"thalesblaso","2017-02-23 17:53","0","0","#zoo #shitzu #jackrussell #yorkie #gang #fromtheashes @Madison, Wisconsin https://www.instagram.com/p/BQ3PrclAuaz/","","@Madison","#zoo #shitzu #jackrussell #yorkie #gang #fromtheashes","834823592353419264","https://twitter.com/thalesblaso/status/834823592353419264"
"LegiScanWI","2017-02-22 14:26","0","0","SB74 [NEW] Court orders regarding the installation of an ignition interlock device and providing a criminal penal... http://bitly.com/W2bhPv","","","","834408918600314880","https://twitter.com/LegiScanWI/status/834408918600314880"
"LegiScanWI","2017-02-22 14:06","0","0","SB73 [NEW] Mandatory period of confinement for homicide by intoxicated use of a vehicle and providing a criminal ... http://bitly.com/YiMwNE","","","","834403939307180034","https://twitter.com/LegiScanWI/status/834403939307180034"
