source|text|created_at|retweet_count|favorite_count|is_retweet|id_str
Twitter for iPhone|Today I signed the Veterans (OUR HEROES) Choice Program Extension &amp; Improvement Act @ the @WhiteHouse. #S544 Watch… https://t.co/0sMv4sPrmf|04-19-2017 20:26:45|10614|48196|false|854793411110588418
Twitter for iPhone|#BuyAmericanHireAmerican🇺🇸 https://t.co/JPEXQTVR1E|04-19-2017 17:31:28|12938|54144|false|854749300114546688
Twitter for iPhone|Dems failed in Kansas and are now failing in Georgia. Great job Karen Handel! It is now Hollywood vs. Georgia on June 20th.|04-19-2017 12:43:18|15581|72852|false|854676780527079425
Twitter for iPhone|Despite major outside money, FAKE media support and eleven Republican candidates, BIG "R" win with runoff in Georgia. Glad to be of help!|04-19-2017 04:09:17|15355|77097|false|854547423464759296
Twitter for iPhone|#BuyAmericanHireAmerican🇺🇸Watch➡️https://t.co/AUqYcrgeyn https://t.co/rf9aivVb7g|04-18-2017 20:56:16|6772|33968|false|854438452661809152
Twitter for iPhone|Just learned that Jon @Ossoff, who is running for Congress in Georgia, doesn't even live in the district. Republicans, get out and vote!|04-18-2017 20:38:25|16473|63042|false|854433960566431746
Twitter for iPhone|Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime &amp; 2nd A.|04-18-2017 10:46:19|16046|62665|false|854284952539725828
Twitter for iPhone|Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and wants higher taxes. Say NO|04-18-2017 10:38:59|14367|56986|false|854283110191685634
Twitter for iPhone|I will be interviewed on @foxandfriends by @ainsleyearhardt starting at 6:00 A.M. Enjoy!|04-18-2017 09:48:10|4683|33641|false|854270321620287490
Twitter for iPhone|The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!|04-18-2017 09:39:25|17597|72694|false|854268119774367745
Twitter for iPhone|With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote "R" for lower taxes &amp; safety!|04-18-2017 02:18:38|13599|61163|false|854157191053553666
Twitter for iPhone|See you tomorrow Wisconsin!'Trump spurs small-business optimism in Milwaukee area'https://t.co/JUxhO3oqjO|04-17-2017 22:41:53|8319|42213|false|854102644394254341
Twitter for iPhone|TRUMP APPROVAL HITS 50%https://t.co/vjZkGTyQb9|04-17-2017 22:38:30|10793|56216|false|854101790886948866
Twitter for iPhone|RT @DRUDGE_REPORT: TRUMP APPROVAL HITS 50% https://t.co/TruX3WzR3U|04-17-2017 13:35:27|7632|0|true|853965129024712704
Twitter for iPhone|The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!|04-17-2017 13:31:03|19415|61174|false|853964023846588420
Twitter for iPhone|The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth!|04-17-2017 12:17:59|18607|83488|false|853945633903923200
Twitter for iPhone|A great book for your reading enjoyment: "REASONS TO VOTE FOR DEMOCRATS" by Michael J. Knowles.|04-17-2017 12:13:17|12663|53324|false|853944453538750464
Twitter for iPhone|"The first 90 days of my presidency has exposed the total failure of the last eight years of foreign policy!" So true. @foxandfriends|04-17-2017 12:07:16|16169|75933|false|853942936337350656
Twitter for iPhone|The recent Kansas election (Congress) was a really big media event, until the Republicans won. Now they play the same game with Georgia-BAD!|04-17-2017 00:45:01|12804|64082|false|853771244579282944
Twitter for iPhone|Our military is building and is rapidly becoming stronger than ever before. Frankly, we have no choice!|04-16-2017 13:41:47|20803|104462|false|853604334944354305
