"date","state","usage"
"01-06-2014","AL",5803
"01-06-2014","AK",NA
"01-06-2014","AZ",NA
"01-06-2014","AR",2701
"01-06-2014","CA",76075
"01-06-2014","CO",6795
"01-06-2014","CT",5859
"01-06-2014","DE",1994
"01-06-2014","DC",5355
"01-06-2014","FL",34733
"01-06-2014","GA",14092
"01-06-2014","HI",NA
"01-06-2014","ID",1187
"01-06-2014","IL",NA
"01-06-2014","IN",7178
"01-06-2014","IA",3832
"01-06-2014","KS",4506
"01-06-2014","KY",4954
"01-06-2014","LA",6322
"01-06-2014","ME",1614
"01-06-2014","MD",9189
"01-06-2014","MA",13600
"01-06-2014","MI",13405
"01-06-2014","MN",7973
"01-06-2014","MS",2464
"01-06-2014","MO",7359
"01-06-2014","MT",702
"01-06-2014","NE",2406
"01-06-2014","NV",7606
"01-06-2014","NH",1645
"01-06-2014","NJ",18884
"01-06-2014","NM",2043
"01-06-2014","NY",43245
"01-06-2014","NC",12592
"01-06-2014","ND",1107
"01-06-2014","OH",14662
"01-06-2014","OK",6019
"01-06-2014","OR",7979
"01-06-2014","PA",17518
"01-06-2014","RI",2261
"01-06-2014","SC",7331
"01-06-2014","SD",885
"01-06-2014","TN",8325
"01-06-2014","TX",41462
"01-06-2014","UT",2839
"01-06-2014","VT",664
"01-06-2014","VA",11034
"01-06-2014","WA",9255
"01-06-2014","WV",1861
"01-06-2014","WI",7172
"01-06-2014","WY",425
"01-06-2014","AS",NA
"01-06-2014","GU",NA
"01-06-2014","MP",NA
"01-06-2014","PR",NA
"01-06-2014","UM",NA
"01-06-2014","VI",NA
"02-06-2014","AL",6114
"02-06-2014","AK",5
"02-06-2014","AZ",NA
"02-06-2014","AR",2797
"02-06-2014","CA",69195
"02-06-2014","CO",6577
"02-06-2014","CT",5939
"02-06-2014","DE",1535
"02-06-2014","DC",5379
"02-06-2014","FL",33521
"02-06-2014","GA",15800
"02-06-2014","HI",NA
"02-06-2014","ID",1317
"02-06-2014","IL",18365
"02-06-2014","IN",6956
"02-06-2014","IA",3467
"02-06-2014","KS",3757
"02-06-2014","KY",4829
"02-06-2014","LA",7887
"02-06-2014","ME",1707
"02-06-2014","MD",8785
"02-06-2014","MA",11483
"02-06-2014","MI",13437
"02-06-2014","MN",6901
"02-06-2014","MS",2983
"02-06-2014","MO",7730
"02-06-2014","MT",684
"02-06-2014","NE",2371
"02-06-2014","NV",6501
"02-06-2014","NH",1651
"02-06-2014","NJ",15210
"02-06-2014","NM",2188
"02-06-2014","NY",42688
"02-06-2014","NC",12442
"02-06-2014","ND",983
"02-06-2014","OH",15279
"02-06-2014","OK",5952
"02-06-2014","OR",8264
"02-06-2014","PA",16704
"02-06-2014","RI",2077
"02-06-2014","SC",7801
"02-06-2014","SD",642
"02-06-2014","TN",7777
"02-06-2014","TX",42405
"02-06-2014","UT",3082
"02-06-2014","VT",617
"02-06-2014","VA",10669
"02-06-2014","WA",9236
"02-06-2014","WV",1849
"02-06-2014","WI",6167
"02-06-2014","WY",485
"02-06-2014","AS",NA
"02-06-2014","GU",NA
"02-06-2014","MP",NA
"02-06-2014","PR",NA
"02-06-2014","UM",NA
"02-06-2014","VI",NA
"03-06-2014","AL",5960
"03-06-2014","AK",5
"03-06-2014","AZ",8251
"03-06-2014","AR",3082
"03-06-2014","CA",70321
"03-06-2014","CO",6543
"03-06-2014","CT",5648
"03-06-2014","DE",1131
"03-06-2014","DC",6226
"03-06-2014","FL",33684
"03-06-2014","GA",17131
"03-06-2014","HI",NA
"03-06-2014","ID",1380
"03-06-2014","IL",18715
"03-06-2014","IN",6746
"03-06-2014","IA",3896
"03-06-2014","KS",3909
"03-06-2014","KY",5519
"03-06-2014","LA",7093
"03-06-2014","ME",1895
"03-06-2014","MD",8552
"03-06-2014","MA",11497
"03-06-2014","MI",12048
"03-06-2014","MN",7239
"03-06-2014","MS",2495
"03-06-2014","MO",8398
"03-06-2014","MT",630
"03-06-2014","NE",3111
"03-06-2014","NV",6122
"03-06-2014","NH",1790
"03-06-2014","NJ",16390
"03-06-2014","NM",2298
"03-06-2014","NY",40059
"03-06-2014","NC",12631
"03-06-2014","ND",1107
"03-06-2014","OH",14638
"03-06-2014","OK",6138
"03-06-2014","OR",8589
"03-06-2014","PA",16931
"03-06-2014","RI",2031
"03-06-2014","SC",7398
"03-06-2014","SD",723
"03-06-2014","TN",8404
"03-06-2014","TX",40133
"03-06-2014","UT",2956
"03-06-2014","VT",702
"03-06-2014","VA",11405
"03-06-2014","WA",8859
"03-06-2014","WV",1999
"03-06-2014","WI",5895
"03-06-2014","WY",506
"03-06-2014","AS",NA
"03-06-2014","GU",NA
"03-06-2014","MP",NA
"03-06-2014","PR",NA
"03-06-2014","UM",NA
"03-06-2014","VI",NA
"04-06-2014","AL",5678
"04-06-2014","AK",NA
"04-06-2014","AZ",7539
"04-06-2014","AR",2941
"04-06-2014","CA",73287
"04-06-2014","CO",6882
"04-06-2014","CT",6644
"04-06-2014","DE",1374
"04-06-2014","DC",5685
"04-06-2014","FL",35075
"04-06-2014","GA",16277
"04-06-2014","HI",NA
"04-06-2014","ID",1245
"04-06-2014","IL",17634
"04-06-2014","IN",6945
"04-06-2014","IA",3774
"04-06-2014","KS",3915
"04-06-2014","KY",5470
"04-06-2014","LA",6264
"04-06-2014","ME",1519
"04-06-2014","MD",8990
"04-06-2014","MA",12058
"04-06-2014","MI",14108
"04-06-2014","MN",7936
"04-06-2014","MS",2442
"04-06-2014","MO",8278
"04-06-2014","MT",626
"04-06-2014","NE",2397
"04-06-2014","NV",5725
"04-06-2014","NH",1816
"04-06-2014","NJ",16927
"04-06-2014","NM",1814
"04-06-2014","NY",44180
"04-06-2014","NC",12561
"04-06-2014","ND",922
"04-06-2014","OH",15809
"04-06-2014","OK",5560
"04-06-2014","OR",8264
"04-06-2014","PA",18288
"04-06-2014","RI",1908
"04-06-2014","SC",7611
"04-06-2014","SD",866
"04-06-2014","TN",9795
"04-06-2014","TX",41232
"04-06-2014","UT",2936
"04-06-2014","VT",725
"04-06-2014","VA",12465
"04-06-2014","WA",9525
"04-06-2014","WV",2329
"04-06-2014","WI",6090
"04-06-2014","WY",564
"04-06-2014","AS",NA
"04-06-2014","GU",NA
"04-06-2014","MP",NA
"04-06-2014","PR",NA
"04-06-2014","UM",NA
"04-06-2014","VI",NA
"05-06-2014","AL",6635
"05-06-2014","AK",NA
"05-06-2014","AZ",9904
"05-06-2014","AR",3199
"05-06-2014","CA",78068
"05-06-2014","CO",8088
"05-06-2014","CT",6637
"05-06-2014","DE",2146
"05-06-2014","DC",5751
"05-06-2014","FL",44784
"05-06-2014","GA",20046
"05-06-2014","HI",NA
"05-06-2014","ID",1239
"05-06-2014","IL",21950
"05-06-2014","IN",8402
"05-06-2014","IA",4178
"05-06-2014","KS",4537
"05-06-2014","KY",6750
"05-06-2014","LA",7251
"05-06-2014","ME",1611
"05-06-2014","MD",10545
"05-06-2014","MA",13361
"05-06-2014","MI",13999
"05-06-2014","MN",9218
"05-06-2014","MS",2920
"05-06-2014","MO",8964
"05-06-2014","MT",791
"05-06-2014","NE",2933
"05-06-2014","NV",7216
"05-06-2014","NH",2083
"05-06-2014","NJ",17871
"05-06-2014","NM",2656
"05-06-2014","NY",48256
"05-06-2014","NC",14747
"05-06-2014","ND",1233
"05-06-2014","OH",18899
"05-06-2014","OK",6892
"05-06-2014","OR",9266
"05-06-2014","PA",20076
"05-06-2014","RI",1981
"05-06-2014","SC",8510
"05-06-2014","SD",1048
"05-06-2014","TN",11284
"05-06-2014","TX",55463
"05-06-2014","UT",3377
"05-06-2014","VT",842
"05-06-2014","VA",12849
"05-06-2014","WA",10829
"05-06-2014","WV",2578
"05-06-2014","WI",7230
"05-06-2014","WY",558
"05-06-2014","AS",NA
"05-06-2014","GU",NA
"05-06-2014","MP",NA
"05-06-2014","PR",NA
"05-06-2014","UM",NA
"05-06-2014","VI",NA
"06-06-2014","AL",5857
"06-06-2014","AK",5
"06-06-2014","AZ",8876
"06-06-2014","AR",3376
"06-06-2014","CA",73388
"06-06-2014","CO",7614
"06-06-2014","CT",6112
"06-06-2014","DE",2042
"06-06-2014","DC",5340
"06-06-2014","FL",37634
"06-06-2014","GA",17429
"06-06-2014","HI",NA
